candidate_state,gamma_relative_delta_norm,blur_relative_delta_norm,gamma_recovery_probability_mse,blur_recovery_probability_mse,gamma_recovery_mask_dice,blur_recovery_mask_dice,foreground_gamma_auroc,foreground_gamma_spearman,foreground_blur_auroc,foreground_blur_spearman,foreground_pairwise_auroc,foreground_pairwise_spearman,foreground_tp_reliability_mean,foreground_fp_reliability_mean,foreground_fn_reliability_mean,foreground_tn_reliability_mean,source_mask_hybrid_probability_mse,action_mask_probability_mse,state_memory_mb
decoder_stage_1_low_to_high,0.08461543970874377,0.26537065261176657,4.7885119654113494e-05,0.0009378042595926672,0.992666330517035,0.9605407182902627,0.8618631870099207,0.3206739620386663,0.8228811505063985,0.25356004364694207,0.8344941078247262,0.2638200077711152,0.24314091216163497,0.04047202588459449,0.02205187531358236,0.5068729366879581,,,7.59375
penultimate_decoder_stage_output,0.03600509611091444,0.11202767517949853,1.5352495604962054e-06,2.2944710151153102e-05,0.9988576496636581,0.9953597948970735,0.8596709659413999,0.3066163858034096,0.7622185154579282,0.18967040612568112,0.7792642463907721,0.20691166100352276,0.17953143602793,0.0282746830799989,0.022570463684183185,0.5083504526943453,,,162.0
final_decoder_stage_input,0.08329199853220157,0.2830339936273439,1.7636331598299852e-07,4.309957048016193e-06,0.9995856656450165,0.9985926099073128,0.8626268600720322,0.3095488229860945,0.7586557283649641,0.1856789514681276,0.7778829162195413,0.20509487547103528,0.16333886850761478,0.025922011964584983,0.022530940277388743,0.5087700523860497,2.2431601819995957e-06,0.0,864.0
final_decoder_feature,0.05550470522471836,0.1805750589285578,1.7636331598299852e-07,4.309957048016193e-06,0.9995856656450165,0.9985926099073128,0.8626268600720322,0.3095488229860945,0.7586557283649641,0.1856789514681276,0.7778829162195413,0.20509487547103528,0.16333886850761478,0.025922011964584983,0.022530940277388743,0.5087700523860497,2.2431601819995957e-06,0.0,432.0
full_voxtell_reference,,,,,,,0.8637625701257025,0.31113759722260365,0.753961702019453,0.18044997120292275,0.7753069781464934,0.20239530200242484,0.15827984132141862,0.023995285449424517,0.02257791733440828,0.5088626789888947,,,13.5
