case,patch_index,patch_kind,candidate_state,action,state_shape,channels,spatial_resolution,tensor_memory_mb,normalized_mse,delta_rms,delta_l2_norm,relative_delta_norm,relative_delta_norm_valid,gamma_vs_blur_delta_cosine,gamma_vs_blur_delta_cosine_valid,state_variance,delta_variance
HEM_PA99.nii.gz,1,context,penultimate_decoder_stage_output,gamma,1x96x96x96x96,96,96x96x96,324.0,0.0032488747965544462,0.11562642455101013,1061.833984375,0.05704644322395325,True,0.12076569348573685,True,4.065406799316406,0.013357432559132576
HEM_PA99.nii.gz,1,context,penultimate_decoder_stage_output,blur,1x96x96x96x96,96,96x96x96,324.0,0.024355245754122734,0.32324954867362976,2964.916748046875,0.15928851068019867,True,0.12076569348573685,True,4.065406799316406,0.10445116460323334
HEM_PA99.nii.gz,1,context,final_decoder_stage_input,gamma,1x64x192x192x192,64,192x192x192,1728.0,0.008155416697263718,0.08484994620084763,1784.916748046875,0.09273456037044525,True,-0.062220249325037,True,0.8462772369384766,0.007196666207164526
HEM_PA99.nii.gz,1,context,final_decoder_stage_input,blur,1x64x192x192x192,64,192x192x192,1728.0,0.07524263113737106,0.26130566000938416,5523.25439453125,0.286958247423172,True,-0.062220249325037,True,0.8462772369384766,0.06828054040670395
HEM_PA99.nii.gz,1,context,final_decoder_feature,gamma,1x32x192x192x192,32,192x192x192,864.0,0.004330615047365427,0.044941212981939316,663.4482421875,0.06507236510515213,True,-0.07649347931146622,True,0.30790257453918457,0.002019482897594571
HEM_PA99.nii.gz,1,context,final_decoder_feature,blur,1x32x192x192x192,32,192x192x192,864.0,0.049322038888931274,0.15221598744392395,2253.015625,0.22098040580749512,True,-0.07649347931146622,True,0.30790257453918457,0.02316812053322792
HEM_PA99.nii.gz,2,foreground,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.03333538770675659,0.2167881429195404,432.5608215332031,0.18182849884033203,True,0.1127505898475647,True,1.3350740671157837,0.046991582959890366
HEM_PA99.nii.gz,2,foreground,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,0.13081055879592896,0.4267857074737549,851.5537719726562,0.3579536974430084,True,0.1127505898475647,True,1.3350740671157837,0.18208763003349304
HEM_PA99.nii.gz,2,foreground,penultimate_decoder_stage_output,gamma,1x96x96x96x96,96,96x96x96,324.0,0.004407951142638922,0.1304539293050766,1196.44091796875,0.06572054326534271,True,0.06336082518100739,True,3.886282205581665,0.017016883939504623
HEM_PA99.nii.gz,2,foreground,penultimate_decoder_stage_output,blur,1x96x96x96x96,96,96x96x96,324.0,0.023638246580958366,0.30212506651878357,2770.35302734375,0.15217559039592743,True,0.06336082518100739,True,3.886282205581665,0.09127787500619888
HEM_PA99.nii.gz,2,foreground,final_decoder_stage_input,gamma,1x64x192x192x192,64,192x192x192,1728.0,0.011615498922765255,0.0989387258887291,2081.412353515625,0.11005400866270065,True,-0.08958843350410461,True,0.8196695446968079,0.009788534604012966
HEM_PA99.nii.gz,2,foreground,final_decoder_stage_input,blur,1x64x192x192x192,64,192x192x192,1728.0,0.09078918397426605,0.27492257952690125,5813.89013671875,0.30740755796432495,True,-0.08958843350410461,True,0.8196695446968079,0.075569748878479
HEM_PA99.nii.gz,2,foreground,final_decoder_feature,gamma,1x32x192x192x192,32,192x192x192,864.0,0.006075948942452669,0.05317740514874458,784.99560546875,0.07711290568113327,True,-0.08085989207029343,True,0.3096664547920227,0.00282766530290246
HEM_PA99.nii.gz,2,foreground,final_decoder_feature,blur,1x32x192x192x192,32,192x192x192,864.0,0.05371027812361717,0.1582680493593216,2330.5908203125,0.22894221544265747,True,-0.08085989207029343,True,0.3096664547920227,0.02504858374595642
HEM_PA99.nii.gz,3,foreground,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.025656411424279213,0.18641537427902222,371.9616394042969,0.1621255874633789,True,0.1429121196269989,True,1.2321733236312866,0.03474812209606171
HEM_PA99.nii.gz,3,foreground,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,0.12559865415096283,0.40971532464027405,817.4960327148438,0.35631904006004333,True,0.1429121196269989,True,1.2321733236312866,0.16781949996948242
