prompt,action_family,strength,direction,variant_count,case_count,encoder_relative_delta_mean,prediction_probability_mse_mean,prediction_probability_mae_mean,mask_consistency_dice_mean,mask_consistency_iou_mean,source_case_dice_mean,action_case_dice_mean,case_dice_change_mean,source_case_miou_mean,action_case_miou_mean,case_miou_change_mean,descriptive_only
liver,bias_field,all,all,60,30,0.207011822055551,0.004125583950371947,0.007074688305632056,0.9463130051532248,0.9057905917223512,0.8929950331341047,0.8729703199997285,-0.020024713134376215,0.8974438716781977,0.882646577665118,-0.014797294013080005,True
liver,gamma,all,all,120,30,0.08219139510460836,0.0010448711976323466,0.002745650296128588,0.9801656322113097,0.9624894343393038,0.892995033134105,0.8909533959694087,-0.002041637164696284,0.8974438716781977,0.8961087769682549,-0.0013350947099430642,True
liver,gaussian_noise,all,all,60,30,0.16659077633239966,0.002497832034350722,0.005436309893654349,0.9616047981884912,0.9285173990661515,0.8929950331341047,0.882751975588302,-0.01024305754580305,0.8974438716781977,0.888789586571107,-0.008654285107090978,True
liver,intensity_scale,all,all,120,30,0.00030954381138671483,4.335814905812955e-08,5.84266355000788e-06,0.999958436756878,0.9999168827221177,0.892995033134105,0.8929933817977374,-1.6513363676020262e-06,0.8974438716781977,0.8974425363274772,-1.3353507206585272e-06,True
liver,intensity_shift,all,all,120,30,0.0038756742282574073,4.444368725353698e-06,7.638600238806248e-05,0.9995049781638246,0.9990125918370929,0.892995033134105,0.8929441437120016,-5.0889422103439495e-05,0.8974438716781977,0.8973989336097122,-4.4938068485863196e-05,True
