method,case,region,voxel_count,reliability_mean,aggregation
real_stage_pairwise_world_stability,HEM_PA29.nii.gz,TN,53293,0.5076039737290423,case_voxel_weighted
real_stage_pairwise_world_stability,HEM_PA29.nii.gz,TP,821,0.1870965903917561,case_voxel_weighted
confidence_rank,HEP_PA28.nii.gz,FN,767,0.4747417861646179,case_voxel_weighted
confidence_rank,HEP_PA28.nii.gz,FP,351,0.3324754748740857,case_voxel_weighted
confidence_rank,HEP_PA28.nii.gz,TN,53523,0.5055465186312305,case_voxel_weighted
confidence_rank,HEP_PA28.nii.gz,TP,655,0.1691717666998605,case_voxel_weighted
real_stage_blur_joint_product,HEP_PA28.nii.gz,FN,767,0.23888006408765516,case_voxel_weighted
real_stage_blur_joint_product,HEP_PA28.nii.gz,FP,351,0.2023776724903188,case_voxel_weighted
real_stage_blur_joint_product,HEP_PA28.nii.gz,TN,53523,0.28075398621765824,case_voxel_weighted
real_stage_blur_joint_product,HEP_PA28.nii.gz,TP,655,0.08658365874527854,case_voxel_weighted
real_stage_blur_world_stability,HEP_PA28.nii.gz,FN,767,0.4418627240511709,case_voxel_weighted
real_stage_blur_world_stability,HEP_PA28.nii.gz,FP,351,0.3658178210937739,case_voxel_weighted
real_stage_blur_world_stability,HEP_PA28.nii.gz,TN,53523,0.5056553628404448,case_voxel_weighted
real_stage_blur_world_stability,HEP_PA28.nii.gz,TP,655,0.17480496286435893,case_voxel_weighted
real_stage_gamma_joint_product,HEP_PA28.nii.gz,FN,767,0.27777562570564324,case_voxel_weighted
real_stage_gamma_joint_product,HEP_PA28.nii.gz,FP,351,0.23500818865641987,case_voxel_weighted
real_stage_gamma_joint_product,HEP_PA28.nii.gz,TN,53523,0.281819426862078,case_voxel_weighted
real_stage_gamma_joint_product,HEP_PA28.nii.gz,TP,655,0.08806742005672347,case_voxel_weighted
real_stage_gamma_world_stability,HEP_PA28.nii.gz,FN,767,0.5094105358074044,case_voxel_weighted
real_stage_gamma_world_stability,HEP_PA28.nii.gz,FP,351,0.400977889696757,case_voxel_weighted
real_stage_gamma_world_stability,HEP_PA28.nii.gz,TN,53523,0.5044157257052995,case_voxel_weighted
real_stage_gamma_world_stability,HEP_PA28.nii.gz,TP,655,0.17816183303148692,case_voxel_weighted
real_stage_pairwise_joint_product,HEP_PA28.nii.gz,FN,767,0.23910770799952552,case_voxel_weighted
real_stage_pairwise_joint_product,HEP_PA28.nii.gz,FP,351,0.19941897342117185,case_voxel_weighted
real_stage_pairwise_joint_product,HEP_PA28.nii.gz,TN,53523,0.28119168377518744,case_voxel_weighted
real_stage_pairwise_joint_product,HEP_PA28.nii.gz,TP,655,0.08578663373304958,case_voxel_weighted
real_stage_pairwise_world_stability,HEP_PA28.nii.gz,FN,767,0.44214622907563944,case_voxel_weighted
real_stage_pairwise_world_stability,HEP_PA28.nii.gz,FP,351,0.34606255085719617,case_voxel_weighted
real_stage_pairwise_world_stability,HEP_PA28.nii.gz,TN,53523,0.5057803672086502,case_voxel_weighted
real_stage_pairwise_world_stability,HEP_PA28.nii.gz,TP,655,0.17484472307540078,case_voxel_weighted
confidence_rank,HEM_PA107.nii.gz,FN,544,0.4031746430746085,case_voxel_weighted
confidence_rank,HEM_PA107.nii.gz,FP,32,0.2555440339638153,case_voxel_weighted
confidence_rank,HEM_PA107.nii.gz,TN,54028,0.5030716804550016,case_voxel_weighted
confidence_rank,HEM_PA107.nii.gz,TP,692,0.35049040084750177,case_voxel_weighted
real_stage_blur_joint_product,HEM_PA107.nii.gz,FN,544,0.24261649078304104,case_voxel_weighted
real_stage_blur_joint_product,HEM_PA107.nii.gz,FP,32,0.20947148659979575,case_voxel_weighted
real_stage_blur_joint_product,HEM_PA107.nii.gz,TN,54028,0.27725195187074125,case_voxel_weighted
real_stage_blur_joint_product,HEM_PA107.nii.gz,TP,692,0.1876061107852171,case_voxel_weighted
real_stage_blur_world_stability,HEM_PA107.nii.gz,FN,544,0.3936618639923194,case_voxel_weighted
real_stage_blur_world_stability,HEM_PA107.nii.gz,FP,32,0.33362267911434174,case_voxel_weighted
real_stage_blur_world_stability,HEM_PA107.nii.gz,TN,54028,0.503408494050695,case_voxel_weighted
real_stage_blur_world_stability,HEM_PA107.nii.gz,TP,692,0.3222802055708935,case_voxel_weighted
real_stage_gamma_joint_product,HEM_PA107.nii.gz,FN,544,0.26746486587073875,case_voxel_weighted
real_stage_gamma_joint_product,HEM_PA107.nii.gz,FP,32,0.19762659524440096,case_voxel_weighted
real_stage_gamma_joint_product,HEM_PA107.nii.gz,TN,54028,0.27688614649848925,case_voxel_weighted
real_stage_gamma_joint_product,HEM_PA107.nii.gz,TP,692,0.2328186229788877,case_voxel_weighted
real_stage_gamma_world_stability,HEM_PA107.nii.gz,FN,544,0.42957274571937676,case_voxel_weighted
real_stage_gamma_world_stability,HEM_PA107.nii.gz,FP,32,0.33840264193713665,case_voxel_weighted
real_stage_gamma_world_stability,HEM_PA107.nii.gz,TN,54028,0.5021135556750359,case_voxel_weighted
real_stage_gamma_world_stability,HEM_PA107.nii.gz,TP,692,0.3949311415239566,case_voxel_weighted
real_stage_pairwise_joint_product,HEM_PA107.nii.gz,FN,544,0.24619003390426736,case_voxel_weighted
real_stage_pairwise_joint_product,HEM_PA107.nii.gz,FP,32,0.19695652934433383,case_voxel_weighted
real_stage_pairwise_joint_product,HEM_PA107.nii.gz,TN,54028,0.27752335628601793,case_voxel_weighted
real_stage_pairwise_joint_product,HEM_PA107.nii.gz,TP,692,0.18848352451941672,case_voxel_weighted
real_stage_pairwise_world_stability,HEM_PA107.nii.gz,FN,544,0.3980982153512099,case_voxel_weighted
