case,patch_index,patch_kind,method,scope,voxel_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
CYST_PA62.nii.gz,1,context,real_stage_pairwise_joint_product,background,13179,0.9959025722740724,0.31864625283459763,0.9475583774250441,0.9996887979326002,0.09903857727806338
CYST_PA62.nii.gz,2,foreground,confidence_rank,overall,13824,0.9922598379629629,0.5000361868393826,0.7302460484602298,0.9958820082032301,0.0816627266617789
CYST_PA62.nii.gz,2,foreground,confidence_rank,foreground,377,0.8912466843501327,0.09931820223064085,0.4684596399535424,0.847159980186384,-0.034021353237975435
CYST_PA62.nii.gz,2,foreground,confidence_rank,background,13447,0.9950918420465531,0.5112707135142912,0.7066974203585817,0.9971084061398425,0.059300397231135525
CYST_PA62.nii.gz,2,foreground,real_stage_gamma_world_stability,overall,13824,0.9922598379629629,0.49996383101851855,0.7826603730005539,0.9974890877225006,0.08581106359389865
CYST_PA62.nii.gz,2,foreground,real_stage_gamma_world_stability,foreground,377,0.8912466843501327,0.08658930888542762,0.4913980836236934,0.8549110362348147,-0.009277006297392965
CYST_PA62.nii.gz,2,foreground,real_stage_gamma_world_stability,background,13447,0.9950918420465531,0.5115531962928679,0.751537118437948,0.9981077935214431,0.06089526908549689
CYST_PA62.nii.gz,2,foreground,real_stage_blur_world_stability,overall,13824,0.9922598379629629,0.49996383101851855,0.7718565338460565,0.9973678953843823,0.08253119482721642
CYST_PA62.nii.gz,2,foreground,real_stage_blur_world_stability,foreground,377,0.8912466843501327,0.17278277289013647,0.5189822880371661,0.8674405658898057,0.020472033116813698
CYST_PA62.nii.gz,2,foreground,real_stage_blur_world_stability,background,13447,0.9950918420465531,0.5091366769257395,0.7837039402318529,0.998397314549209,0.06868261785107596
CYST_PA62.nii.gz,2,foreground,real_stage_pairwise_world_stability,overall,13824,0.9922598379629629,0.49996383102714187,0.7796148309042806,0.997479584360762,0.08488648685204787
CYST_PA62.nii.gz,2,foreground,real_stage_pairwise_world_stability,foreground,377,0.8912466843501327,0.15951019746871462,0.5285641695702671,0.8692077115323213,0.030805908342126927
CYST_PA62.nii.gz,2,foreground,real_stage_pairwise_world_stability,background,13447,0.9950918420465531,0.5095087867683129,0.7869140549807168,0.9984121294246951,0.06945976280154242
CYST_PA62.nii.gz,2,foreground,real_stage_gamma_joint_product,overall,13824,0.9922598379629629,0.3089890641575202,0.7778900457103847,0.9974357547353477,0.0843628702925673
CYST_PA62.nii.gz,2,foreground,real_stage_gamma_joint_product,foreground,377,0.8912466843501327,0.028127460922172637,0.48976480836236935,0.8526467330205986,-0.011038457009010325
CYST_PA62.nii.gz,2,foreground,real_stage_gamma_joint_product,background,13447,0.9950918420465531,0.3168632981442627,0.7500854898284088,0.9980979942795143,0.06054384057530707
CYST_PA62.nii.gz,2,foreground,real_stage_blur_joint_product,overall,13824,0.9922598379629629,0.3055009233712139,0.7769811523867989,0.9974437364735114,0.08408694515319078
CYST_PA62.nii.gz,2,foreground,real_stage_blur_joint_product,foreground,377,0.8912466843501327,0.043243542519605244,0.5025406504065041,0.8594378064988623,0.002740042366555723
CYST_PA62.nii.gz,2,foreground,real_stage_blur_joint_product,background,13447,0.9950918420465531,0.31285356950648985,0.7735810386957536,0.9983214263630644,0.06623193853664773
CYST_PA62.nii.gz,2,foreground,real_stage_pairwise_joint_product,overall,13824,0.9922598379629629,0.3058835261720485,0.7795722478212792,0.9974852886425125,0.08487355932471485
CYST_PA62.nii.gz,2,foreground,real_stage_pairwise_joint_product,foreground,377,0.8912466843501327,0.04088621168603094,0.5106707317073171,0.8622897596470092,0.011508177939534035
CYST_PA62.nii.gz,2,foreground,real_stage_pairwise_joint_product,background,13447,0.9950918420465531,0.3133129890679531,0.7739014840128359,0.9983183931447334,0.06630951596916615
CYST_PA62.nii.gz,3,context_fill,confidence_rank,overall,13824,1.0,0.5000361800193787,,1.0,
CYST_PA62.nii.gz,3,context_fill,confidence_rank,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,confidence_rank,background,13824,1.0,0.5000361800193787,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_stage_gamma_world_stability,overall,13824,1.0,0.49996383101851855,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_stage_gamma_world_stability,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,real_stage_gamma_world_stability,background,13824,1.0,0.49996383101851855,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_stage_blur_world_stability,overall,13824,1.0,0.49996383101851855,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_stage_blur_world_stability,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,real_stage_blur_world_stability,background,13824,1.0,0.49996383101851855,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_stage_pairwise_world_stability,overall,13824,1.0,0.49996383101851855,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_stage_pairwise_world_stability,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,real_stage_pairwise_world_stability,background,13824,1.0,0.49996383101851855,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_stage_gamma_joint_product,overall,13824,1.0,0.2500000042081878,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_stage_gamma_joint_product,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,real_stage_gamma_joint_product,background,13824,1.0,0.2500000042081878,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_stage_blur_joint_product,overall,13824,1.0,0.2500000042081878,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_stage_blur_joint_product,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,real_stage_blur_joint_product,background,13824,1.0,0.2500000042081878,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_stage_pairwise_joint_product,overall,13824,1.0,0.2500000042081878,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_stage_pairwise_joint_product,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,real_stage_pairwise_joint_product,background,13824,1.0,0.2500000042081878,,1.0,
HEM_PA29.nii.gz,0,context,confidence_rank,overall,13824,1.0,0.5000361800193787,,1.0,
HEM_PA29.nii.gz,0,context,confidence_rank,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,confidence_rank,background,13824,1.0,0.5000361800193787,,1.0,
HEM_PA29.nii.gz,0,context,real_stage_gamma_world_stability,overall,13824,1.0,0.49996383101851855,,1.0,
HEM_PA29.nii.gz,0,context,real_stage_gamma_world_stability,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,real_stage_gamma_world_stability,background,13824,1.0,0.49996383101851855,,1.0,
HEM_PA29.nii.gz,0,context,real_stage_blur_world_stability,overall,13824,1.0,0.49996383101851855,,1.0,
HEM_PA29.nii.gz,0,context,real_stage_blur_world_stability,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,real_stage_blur_world_stability,background,13824,1.0,0.49996383101851855,,1.0,
HEM_PA29.nii.gz,0,context,real_stage_pairwise_world_stability,overall,13824,1.0,0.49996383101851855,,1.0,
HEM_PA29.nii.gz,0,context,real_stage_pairwise_world_stability,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,real_stage_pairwise_world_stability,background,13824,1.0,0.49996383101851855,,1.0,
HEM_PA29.nii.gz,0,context,real_stage_gamma_joint_product,overall,13824,1.0,0.25000000421896695,,1.0,
HEM_PA29.nii.gz,0,context,real_stage_gamma_joint_product,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,real_stage_gamma_joint_product,background,13824,1.0,0.25000000421896695,,1.0,
