variant,order,step,case,patch_index,patch_kind,tp,fp,tn,fn,dice,precision,recall
A0_confidence_rank,forward,20,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,20,HEM_PA29.nii.gz,1,foreground,399871,18647,6523810,135560,0.8383488006172237,0.9554451660382588,0.746820785498038
A0_confidence_rank,forward,20,HEP_PA28.nii.gz,0,context,0,167590,6910298,0,0.0,0.0,0.0
A0_confidence_rank,forward,20,HEP_PA28.nii.gz,1,foreground,262145,29856,6641768,144119,0.7508467415665973,0.8977537748158396,0.6452577634247681
A0_confidence_rank,forward,20,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,20,HEM_PA107.nii.gz,1,foreground,212978,14730,6821841,28339,0.9081733383081926,0.9353118906669946,0.8825652564883535
A0_confidence_rank,reverse,20,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,reverse,20,CYST_PA62.nii.gz,1,foreground,253986,38182,6676459,109261,0.775038715928076,0.8693149147066072,0.6992101792994849
A0_confidence_rank,reverse,20,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,reverse,20,HEM_PA29.nii.gz,1,foreground,403453,20747,6521710,131978,0.8408502851616924,0.951091466289486,0.7535107231370616
A0_confidence_rank,reverse,20,HEP_PA28.nii.gz,0,context,0,168123,6909765,0,0.0,0.0,0.0
A0_confidence_rank,reverse,20,HEP_PA28.nii.gz,1,foreground,264311,31656,6639968,141953,0.7527750839823363,0.8930421296968919,0.6505892720004726
A0_confidence_rank,reverse,20,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,reverse,20,HEM_PA107.nii.gz,1,foreground,213197,15092,6821479,28120,0.9079824363402512,0.9338908138368471,0.8834727764724408
A1_world,forward,4,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,4,CYST_PA62.nii.gz,1,foreground,218121,28701,6685940,145126,0.7150699347123031,0.8837178209397866,0.6004757093658034
A1_world,forward,4,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,4,HEM_PA29.nii.gz,1,foreground,349550,6981,6535476,185881,0.783777784255383,0.9804196549528652,0.6528385543608793
