variant,order,step,round,case,patch_index,reliability_source,pseudo_positive_voxels,pseudo_negative_voxels,positive_fraction,positive_weight_sum,positive_weight_mean,L_pos,negative_weight_sum,negative_weight_mean,L_neg,total_loss
A0_confidence_rank,forward,1,1,HEM_PA99.nii.gz,1,confidence_rank,396034,6681854,0.05595369637012482,19015.177734375,0.04801400378346443,0.009098590351641178,3519929.5,0.5267893075942993,8.14904851722531e-05,0.004590040538460016
A0_confidence_rank,forward,2,1,HCC_10140276_20170721.nii.gz,1,confidence_rank,182854,6895034,0.025834543630480766,6166.6611328125,0.03372450917959213,0.6297121644020081,3532777.75,0.5123655200004578,0.00021221840870566666,0.3149621784687042
A0_confidence_rank,forward,3,1,HEM_PA97.nii.gz,1,confidence_rank,279621,6798267,0.039506275206804276,8243.703125,0.02948170341551304,0.01834617182612419,3530700.75,0.5193530917167664,0.0009869433706626296,0.009666557423770428
A0_confidence_rank,forward,4,1,CYST_PA69.nii.gz,1,confidence_rank,435709,6642179,0.06155918166041374,21223.46875,0.04871019348502159,0.1973269134759903,3517721.25,0.5296034812927246,0.0009829471819102764,0.09915492683649063
A0_confidence_rank,forward,5,2,HEM_PA99.nii.gz,1,confidence_rank,396034,6681854,0.05595369637012482,19015.177734375,0.04801400378346443,0.008517488837242126,3519929.5,0.5267893075942993,8.755993621889502e-05,0.004302524495869875
A0_confidence_rank,forward,6,2,HCC_10140276_20170721.nii.gz,1,confidence_rank,182854,6895034,0.025834543630480766,6166.6611328125,0.03372450917959213,0.5915452837944031,3532777.75,0.5123655200004578,0.00022941957286093384,0.2958873510360718
A0_confidence_rank,forward,7,2,HEM_PA97.nii.gz,1,confidence_rank,279621,6798267,0.039506275206804276,8243.703125,0.02948170341551304,0.01680532842874527,3530700.75,0.5193530917167664,0.0011072566267102957,0.008956292644143105
A0_confidence_rank,forward,8,2,CYST_PA69.nii.gz,1,confidence_rank,435709,6642179,0.06155918166041374,21223.46875,0.04871019348502159,0.1753261536359787,3517721.25,0.5296034812927246,0.0010536496993154287,0.08818989992141724
A0_confidence_rank,forward,9,3,HEM_PA99.nii.gz,1,confidence_rank,396034,6681854,0.05595369637012482,19015.177734375,0.04801400378346443,0.007772575598210096,3519929.5,0.5267893075942993,9.977715671993792e-05,0.003936176188290119
A0_confidence_rank,forward,10,3,HCC_10140276_20170721.nii.gz,1,confidence_rank,182854,6895034,0.025834543630480766,6166.6611328125,0.03372450917959213,0.5323134660720825,3532777.75,0.5123655200004578,0.00026085562421940267,0.2662871479988098
A0_confidence_rank,forward,11,3,HEM_PA97.nii.gz,1,confidence_rank,279621,6798267,0.039506275206804276,8243.703125,0.02948170341551304,0.014699690975248814,3530700.75,0.5193530917167664,0.0013229150790721178,0.008011302910745144
A0_confidence_rank,forward,12,3,CYST_PA69.nii.gz,1,confidence_rank,435709,6642179,0.06155918166041374,21223.46875,0.04871019348502159,0.14437635242938995,3517721.25,0.5296034812927246,0.0011790543794631958,0.07277770340442657
A0_confidence_rank,forward,13,4,HEM_PA99.nii.gz,1,confidence_rank,396034,6681854,0.05595369637012482,19015.177734375,0.04801400378346443,0.0068314215168356895,3519929.5,0.5267893075942993,0.00012205752136651427,0.003476739628240466
A0_confidence_rank,forward,14,4,HCC_10140276_20170721.nii.gz,1,confidence_rank,182854,6895034,0.025834543630480766,6166.6611328125,0.03372450917959213,0.45537829399108887,3532777.75,0.5123655200004578,0.0003137047460768372,0.22784599661827087
A0_confidence_rank,forward,15,4,HEM_PA97.nii.gz,1,confidence_rank,279621,6798267,0.039506275206804276,8243.703125,0.02948170341551304,0.012241100892424583,3530700.75,0.5193530917167664,0.0016759401187300682,0.006958520505577326
A0_confidence_rank,forward,16,4,CYST_PA69.nii.gz,1,confidence_rank,435709,6642179,0.06155918166041374,21223.46875,0.04871019348502159,0.10828650742769241,3517721.25,0.5296034812927246,0.0013924689264968038,0.05483948811888695
A0_confidence_rank,forward,17,5,HEM_PA99.nii.gz,1,confidence_rank,396034,6681854,0.05595369637012482,19015.177734375,0.04801400378346443,0.0058059063740074635,3519929.5,0.5267893075942993,0.00016197809600271285,0.002983942162245512
A0_confidence_rank,forward,18,5,HCC_10140276_20170721.nii.gz,1,confidence_rank,182854,6895034,0.025834543630480766,6166.6611328125,0.03372450917959213,0.3677539825439453,3532777.75,0.5123655200004578,0.0003968641394749284,0.18407543003559113
A0_confidence_rank,forward,19,5,HEM_PA97.nii.gz,1,confidence_rank,279621,6798267,0.039506275206804276,8243.703125,0.02948170341551304,0.009787486866116524,3530700.75,0.5193530917167664,0.002220511669293046,0.006003999151289463
A0_confidence_rank,forward,20,5,CYST_PA69.nii.gz,1,confidence_rank,435709,6642179,0.06155918166041374,21223.46875,0.04871019348502159,0.07314585894346237,3517721.25,0.5296034812927246,0.001753465854562819,0.037449661642313004
A0_confidence_rank,reverse,1,1,CYST_PA69.nii.gz,1,confidence_rank,435709,6642179,0.06155918166041374,21223.46875,0.04871019348502159,0.206357941031456,3517721.25,0.5296034812927246,0.0009549796232022345,0.10365646332502365
