variant,order,step,scope,case_count,mean_dice,std_dice,mean_foreground_iou,std_foreground_iou,mean_precision,mean_recall,delta_mean_dice_vs_A_init,delta_mean_foreground_iou_vs_A_init
A0_confidence_rank,forward,4,full_volume,4,0.5414612710704647,0.07546641107603906,0.3749052355032124,0.0710096145685757,0.7767580769383486,0.417266115368573,0.008715182716397929,0.00871868771171147
A0_confidence_rank,forward,8,full_volume,4,0.5462435612963088,0.07741993853937186,0.3796412157549062,0.07322983977193163,0.7589197286251412,0.4284708410745629,0.013497472942242017,0.013454667963405276
A0_confidence_rank,forward,12,full_volume,4,0.5591648492216531,0.07645034405116333,0.3919384303206118,0.07273835812178833,0.7478549043705187,0.4483313258559287,0.02641876086758632,0.02575188252911087
A0_confidence_rank,forward,16,full_volume,4,0.5863902141575212,0.08471525847902038,0.4197567987280407,0.08251665724081571,0.7428137572781872,0.48783018381210275,0.05364412580345446,0.053570250936539776
A0_confidence_rank,forward,20,full_volume,4,0.6236986625677062,0.06919697920343261,0.45689351477538614,0.07413670549967184,0.7342390374574275,0.5445392223694779,0.09095257421363945,0.0907069669838852
A0_confidence_rank,reverse,20,full_volume,4,0.6395364952974076,0.06487628200847197,0.4734807577481679,0.07123974257924928,0.7341480141198572,0.5682248060591988,0.10679040694334085,0.10729420995666694
A1_world,forward,4,full_volume,4,0.5416006535717361,0.07505636310409407,0.3749942802388859,0.07057230398082891,0.776900182992058,0.4174013099603657,0.008854565217669363,0.008807732447384975
A1_world,forward,8,full_volume,4,0.5477083561775568,0.07771706212394767,0.3810699473750655,0.07364687320555077,0.7594922542371626,0.4301118234161866,0.014962267823489972,0.01488339958356455
A1_world,forward,12,full_volume,4,0.5590291178210128,0.0768076719212041,0.3918554659236353,0.07330593973015534,0.7469893337593783,0.4486108979362663,0.02628302946694605,0.025668918132134344
A1_world,forward,16,full_volume,4,0.5859545778571338,0.08427961171472743,0.4192677372758295,0.08208008288733701,0.7401676088030669,0.48813915869647284,0.053208489503067,0.05308118948432855
A1_world,forward,20,full_volume,4,0.6122161799612638,0.0637990658850688,0.44415944775980687,0.06558730030283236,0.7314875620541041,0.5294641588398905,0.07947009160719698,0.07797289996830592
A1_world,reverse,20,full_volume,4,0.6174232873667036,0.061084157145443234,0.44937760651079195,0.0634985595285165,0.7285994713346639,0.5384961993670789,0.08467719901263682,0.083191058719291
A2_joint_product,forward,4,full_volume,4,0.5418172910440457,0.07579475655607114,0.37527612182715353,0.07138092074069512,0.7764208180449732,0.4177893130991076,0.009071202689978963,0.009089574035652581
A2_joint_product,forward,8,full_volume,4,0.5471020710352212,0.07744694276643727,0.38046271879267474,0.07332238030405963,0.7584938638997225,0.4296727508460897,0.014355982681154456,0.014276171001173787
A2_joint_product,forward,12,full_volume,4,0.5613742943135158,0.07658058797501482,0.3940955506451012,0.07297875265129324,0.7473012717981812,0.45136451953801365,0.028628205959449038,0.027909002853600262
A2_joint_product,forward,16,full_volume,4,0.588771792696279,0.0848195130214429,0.42217432997673443,0.08277283226252005,0.7414274750696582,0.49176189055355474,0.05602570434221221,0.05598778218523348
A2_joint_product,forward,20,full_volume,4,0.6240140047688543,0.0627479990256364,0.4565371933252807,0.06659228037954606,0.7331589081675208,0.545630500844337,0.09126791641478749,0.09035064553377975
A2_joint_product,reverse,20,full_volume,4,0.6429032083499967,0.06259015890279868,0.4768996934788735,0.06870597062941955,0.7317518983493079,0.5749450249953858,0.11015711999592992,0.11071314568737256
A_init_no_adaptation,forward,0,full_volume,4,0.5327460883540668,0.0701513099541822,0.36618654779150095,0.06481748746708249,0.783672650769742,0.40478155434609037,,
