num_samples,split,case,patch_index,patch_kind,prompt_pair,mean_text_embedding_cosine,mean_text_embedding_delta_norm,mean_state_normalized_mse,mean_intermediate_mask_logit_normalized_mse,mean_intermediate_soft_dice,mean_intermediate_binary_dice,mean_intermediate_probability_mae,mean_final_soft_dice,mean_final_binary_dice,mean_final_probability_mae
1,train,HEM_PA99.nii.gz,0,context,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.0005929370527155697,5.685180440195836e-05,0.9889604449272156,1.0,1.0985600585678226e-13,0.9968098998069763,1.0,3.0426181162815567e-17
1,train,HEM_PA99.nii.gz,0,context,liver -> human liver,0.961371898651123,37.537567138671875,0.00036981134326197207,5.725743176299147e-05,0.9899659752845764,1.0,4.8632250976938726e-14,0.9968079924583435,1.0,2.6756764952138483e-17
1,train,HEM_PA99.nii.gz,0,context,liver -> the liver,0.9906747937202454,18.447200775146484,0.00014358884072862566,4.068458656547591e-05,0.9892336130142212,1.0,8.345015352568055e-14,0.9967292547225952,1.0,3.5052208590853075e-17
1,train,HEM_PA99.nii.gz,1,foreground,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.008278703317046165,0.0020177140831947327,0.9550771713256836,0.9918819069862366,0.0010778759606182575,0.9598981738090515,0.9929696321487427,0.0006639472558163106
1,train,HEM_PA99.nii.gz,1,foreground,liver -> human liver,0.961371898651123,37.537567138671875,0.008144605904817581,0.0029902467504143715,0.9489043951034546,0.9813293218612671,0.002201496623456478,0.9579518437385559,0.9874927997589111,0.0012046379270032048
1,train,HEM_PA99.nii.gz,1,foreground,liver -> the liver,0.9906747937202454,18.447200775146484,0.002720367396250367,0.0019611725583672523,0.9528673887252808,0.9833934903144836,0.0019508444238454103,0.9587687253952026,0.992650032043457,0.0006852522492408752
1,val,CYST_PA62.nii.gz,0,context,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.0012675733305513859,0.00015304391854442656,0.9993980526924133,1.0,1.0200844888837851e-14,0.999316394329071,1.0,1.657817185705302e-17
1,val,CYST_PA62.nii.gz,0,context,liver -> human liver,0.961371898651123,37.537567138671875,0.0007926238467916846,0.00011054914648411795,0.9995119571685791,1.0,4.4838375159593664e-15,0.999350905418396,1.0,1.1888472201364241e-17
1,val,CYST_PA62.nii.gz,0,context,liver -> the liver,0.9906747937202454,18.447200775146484,0.00030068648629821837,9.302159014623612e-05,0.9994438290596008,1.0,6.150113106501501e-15,0.9993555545806885,1.0,1.0689058658801126e-17
1,val,CYST_PA62.nii.gz,1,foreground,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.00760615523904562,0.0009218904888257384,0.9279630184173584,0.9784736037254333,0.0017268743831664324,0.8928819894790649,0.9755291938781738,0.0016562340315431356
1,val,CYST_PA62.nii.gz,1,foreground,liver -> human liver,0.961371898651123,37.537567138671875,0.007219808641821146,0.0022491796407848597,0.909056544303894,0.9508196711540222,0.003462113905698061,0.8621832132339478,0.9212617874145508,0.004883567336946726
1,val,CYST_PA62.nii.gz,1,foreground,liver -> the liver,0.9906747937202454,18.447200775146484,0.0022205193527042866,0.0016232110792770982,0.9267421364784241,0.9769230484962463,0.0017878307262435555,0.8903139233589172,0.9770613312721252,0.0016225541476160288
