source,action,case,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
confidence_rank,blur,CYST_PA62.nii.gz,background,2,1,0.9979150784085106,0.5124769806861877,0.9960728364260902,0.9999917688115083,0.11073666516446622
confidence_rank,blur,CYST_PA62.nii.gz,foreground,2,1,0.5915974529727706,0.03872717171907425,0.5596609709728106,0.666122983774837,0.10158704578580004
confidence_rank,blur,CYST_PA62.nii.gz,overall,2,1,0.9875421877260562,0.5000000596046448,0.9794766884977113,0.9997363144126479,0.25889136221360537
confidence_rank,gamma,CYST_PA62.nii.gz,background,2,1,0.9979150784085106,0.5124769806861877,0.9960728364260902,0.9999917688115083,0.11073666516446622
confidence_rank,gamma,CYST_PA62.nii.gz,foreground,2,1,0.5915974529727706,0.03872717171907425,0.5596609709728106,0.666122983774837,0.10158704578580004
confidence_rank,gamma,CYST_PA62.nii.gz,overall,2,1,0.9875421877260562,0.5000000596046448,0.9794766884977113,0.9997363144126479,0.25889136221360537
joint_product,blur,CYST_PA62.nii.gz,background,2,1,0.9979150784085106,0.2709489166736603,0.9969275312070005,0.9999935673542641,0.11092672213314676
joint_product,blur,CYST_PA62.nii.gz,foreground,2,1,0.5915974529727706,0.006083508487790823,0.38236710347020675,0.5050829729069691,-0.20029807836664926
joint_product,blur,CYST_PA62.nii.gz,overall,2,1,0.9875421877260562,0.2636147290468216,0.9684461834070301,0.9995882308183014,0.25293406025841797
joint_product,gamma,CYST_PA62.nii.gz,background,2,1,0.9979150784085106,0.2709489166736603,0.9969275312070005,0.9999935673542641,0.11092672213314676
joint_product,gamma,CYST_PA62.nii.gz,foreground,2,1,0.5915974529727706,0.006083508487790823,0.38236710347020675,0.5050829729069691,-0.20029807836664926
joint_product,gamma,CYST_PA62.nii.gz,overall,2,1,0.9875421877260562,0.2636147290468216,0.9684461834070301,0.9995882308183014,0.25293406025841797
world_pairwise,blur,CYST_PA62.nii.gz,background,2,1,0.9979150784085106,0.5104896128177643,0.989798251897283,0.9999775657092487,0.10933528769787625
world_pairwise,blur,CYST_PA62.nii.gz,foreground,2,1,0.5915974529727706,0.11219571530818939,0.3044917953973474,0.4692620107975179,-0.3328995817211612
world_pairwise,blur,CYST_PA62.nii.gz,overall,2,1,0.9875421877260562,0.4999999403953552,0.8518048276942365,0.9973962750057502,0.189954420906012
world_pairwise,gamma,CYST_PA62.nii.gz,background,2,1,0.9979150784085106,0.5104896128177643,0.989798251897283,0.9999775657092487,0.10933528769787625
world_pairwise,gamma,CYST_PA62.nii.gz,foreground,2,1,0.5915974529727706,0.11219571530818939,0.3044917953973474,0.4692620107975179,-0.3328995817211612
world_pairwise,gamma,CYST_PA62.nii.gz,overall,2,1,0.9875421877260562,0.4999999403953552,0.8518048276942365,0.9973962750057502,0.189954420906012
confidence_rank,all,CYST_PA62.nii.gz,overall,4,2,0.9875421877260562,0.5000000596046448,0.9794766884977113,0.9997363144126479,0.25889136221360537
confidence_rank,all,CYST_PA62.nii.gz,foreground,4,2,0.5915974529727706,0.03872717171907425,0.5596609709728106,0.666122983774837,0.10158704578580004
confidence_rank,all,CYST_PA62.nii.gz,background,4,2,0.9979150784085106,0.5124769806861877,0.9960728364260902,0.9999917688115083,0.11073666516446622
world_pairwise,all,CYST_PA62.nii.gz,overall,4,2,0.9875421877260562,0.4999999403953552,0.8518048276942365,0.9973962750057502,0.189954420906012
world_pairwise,all,CYST_PA62.nii.gz,foreground,4,2,0.5915974529727706,0.11219571530818939,0.3044917953973474,0.4692620107975179,-0.3328995817211612
