case,patch_index,patch_kind,action,action_strength,wrong_type_action,wrong_type_strength,true_shift_norm,conditioned_shift_norm,same_model_no_action_shift_norm,matched_wrong_shift_norm,conditioned_vs_same_model_no_action_distance,gamma_vs_blur_conditioned_distance,conditioned_state_mse,same_model_no_action_state_mse,matched_wrong_state_mse,correct_vs_same_model_no_action_margin,correct_vs_matched_wrong_margin,conditioned_delta_cosine,same_model_no_action_delta_cosine,matched_wrong_delta_cosine,conditioned_delta_cosine_valid,same_model_no_action_delta_cosine_valid,matched_wrong_delta_cosine_valid,magnitude_ratio_conditioned,magnitude_ratio_conditioned_valid,repeat_forward_distance
CYST_PA62.nii.gz,0,context,gamma,0.3,blur,1.5,381.4903869628906,19.085512161254883,301.8520812988281,344.7513427734375,0.15027283132076263,0.1720387190580368,0.036590512841939926,0.06014551967382431,0.06755924224853516,0.023555006831884384,0.03096872940659523,0.015170843340456486,-0.012194560840725899,-0.017434852197766304,True,True,True,0.050028815439355806,True,0.0
CYST_PA62.nii.gz,0,context,blur,1.5,gamma,0.3,817.2393188476562,344.7513427734375,301.8520812988281,19.085512161254883,0.05722958967089653,0.1720387190580368,0.1745166778564453,0.17171382904052734,0.16763076186180115,-0.0028028488159179688,-0.006885915994644165,0.1631413698196411,0.15272179245948792,0.027378078550100327,True,True,True,0.42184869819963167,True,0.0
CYST_PA62.nii.gz,1,context,gamma,0.3,blur,1.5,522.55029296875,13.829248428344727,210.13336181640625,323.97357177734375,0.10488809645175934,0.16248157620429993,0.06855003535747528,0.08211592584848404,0.09954778850078583,0.013565890491008759,0.030997753143310547,0.022897783666849136,-0.044234246015548706,-0.05408729240298271,True,True,True,0.02646491374022013,True,0.0
CYST_PA62.nii.gz,1,context,blur,1.5,gamma,0.3,852.535400390625,323.97357177734375,210.13336181640625,13.829248428344727,0.08769906312227249,0.16248157620429993,0.1770053207874298,0.1770218461751938,0.1826724410057068,1.652538776397705e-05,0.0056671202182769775,0.2300190031528473,0.1847468763589859,-0.01137224305421114,True,True,True,0.3800118700395334,True,0.0
CYST_PA62.nii.gz,2,foreground,gamma,0.3,blur,1.5,414.38824462890625,13.622693061828613,172.25804138183594,300.38214111328125,0.08570350706577301,0.15073925256729126,0.04309746250510216,0.04516942799091339,0.05917234346270561,0.0020719654858112335,0.016074880957603455,0.028232954442501068,0.1509970724582672,0.1058988943696022,True,True,True,0.03287422661815138,True,0.0
CYST_PA62.nii.gz,2,foreground,blur,1.5,gamma,0.3,1017.7919311523438,300.38214111328125,172.25804138183594,13.622693061828613,0.09352636337280273,0.15073925256729126,0.22394737601280212,0.2343723624944687,0.2600921094417572,0.010424986481666565,0.03614473342895508,0.38355425000190735,0.37777093052864075,0.020846957340836525,True,True,True,0.2951311873470923,True,0.0
CYST_PA62.nii.gz,3,context_fill,gamma,0.3,blur,1.5,360.50457763671875,15.72807502746582,313.5335998535156,383.5697326660156,0.15677708387374878,0.19220000505447388,0.03271135315299034,0.05994848534464836,0.0727156400680542,0.02723713219165802,0.04000428691506386,-0.0020450332667678595,-0.0460352785885334,-0.04488904029130936,True,True,True,0.04362794816801199,True,0.0
CYST_PA62.nii.gz,3,context_fill,blur,1.5,gamma,0.3,942.6337890625,383.5697326660156,313.5335998535156,15.72807502746582,0.07225482165813446,0.19220000505447388,0.2327430695295334,0.22711598873138428,0.22333300113677979,-0.005627080798149109,-0.009410068392753601,0.15081818401813507,0.13981197774410248,-0.01189032569527626,True,True,True,0.4069127768563191,True,0.0
HEM_PA29.nii.gz,0,context,gamma,0.3,blur,1.5,483.30865478515625,16.588056564331055,279.3806457519531,324.1593322753906,0.13918349146842957,0.16179515421390533,0.05881379172205925,0.07736014574766159,0.08432042598724365,0.01854635402560234,0.025506634265184402,-0.01831299066543579,0.013500832952558994,0.009448550641536713,True,True,True,0.03432186947222142,True,0.0
HEM_PA29.nii.gz,0,context,blur,1.5,gamma,0.3,891.2615356445312,324.1593322753906,279.3806457519531,16.588056564331055,0.0570964515209198,0.16179515421390533,0.23192474246025085,0.2255961149930954,0.19944721460342407,-0.0063286274671554565,-0.03247752785682678,-0.04142887145280838,-0.05174265056848526,0.01896034926176071,True,True,True,0.36370842823478206,True,0.0
HEM_PA29.nii.gz,1,context,gamma,0.3,blur,1.5,368.9119873046875,16.285539627075195,343.94927978515625,411.0454406738281,0.1719311773777008,0.2058265656232834,0.03412614017724991,0.05488794296979904,0.06643516570329666,0.020761802792549133,0.03230902552604675,0.04114895313978195,0.141350656747818,0.13372263312339783,True,True,True,0.04414478300382479,True,0.0
HEM_PA29.nii.gz,1,context,blur,1.5,gamma,0.3,1353.643798828125,411.0454406738281,343.94927978515625,16.285539627075195,0.07285527884960175,0.2058265656232834,0.3693927526473999,0.38195404410362244,0.4599047303199768,0.012561291456222534,0.0905119776725769,0.4768452048301697,0.4617573618888855,0.03611992299556732,True,True,True,0.30365849644469095,True,0.0
HEM_PA29.nii.gz,2,foreground,gamma,0.3,blur,1.5,519.1398315429688,17.245210647583008,211.6510009765625,316.9539489746094,0.10513255000114441,0.1584228128194809,0.06714191287755966,0.06593738496303558,0.07711132615804672,-0.0012045279145240784,0.00996941328048706,0.139102503657341,0.23565098643302917,0.19132252037525177,True,True,True,0.03321881620280881,True,0.0
HEM_PA29.nii.gz,2,foreground,blur,1.5,gamma,0.3,925.5314331054688,316.9539489746094,211.6510009765625,17.245210647583008,0.08130225539207458,0.1584228128194809,0.19761541485786438,0.19822977483272552,0.2148943692445755,0.000614359974861145,0.01727895438671112,0.2902660071849823,0.2863602340221405,0.04211015999317169,True,True,True,0.3424561691126172,True,0.0
HEM_PA29.nii.gz,3,foreground,gamma,0.3,blur,1.5,485.8980407714844,16.856966018676758,192.65655517578125,301.1556396484375,0.09562961757183075,0.15063153207302094,0.058975961059331894,0.07091687619686127,0.08896007388830185,0.011940915137529373,0.029984112828969955,0.0964115634560585,-0.04875873774290085,-0.09357617795467377,True,True,True,0.03469239347397268,True,0.0
HEM_PA29.nii.gz,3,foreground,blur,1.5,gamma,0.3,1017.7764892578125,301.1556396484375,192.65655517578125,16.856966018676758,0.07937084883451462,0.15063153207302094,0.2462887465953827,0.24692527949810028,0.25971803069114685,0.0006365329027175903,0.01342928409576416,0.2381841242313385,0.22923851013183594,0.062204569578170776,True,True,True,0.29589565373832477,True,0.0
HEP_PA28.nii.gz,0,context,gamma,0.3,blur,1.5,287.9090270996094,13.005056381225586,200.0027313232422,313.5915222167969,0.09982682019472122,0.15736056864261627,0.020783066749572754,0.032702669501304626,0.04895415157079697,0.011919602751731873,0.028171084821224213,0.04231402650475502,-0.06344644725322723,-0.07570678740739822,True,True,True,0.045170714208714824,True,0.0
HEP_PA28.nii.gz,0,context,blur,1.5,gamma,0.3,784.408203125,313.5915222167969,200.0027313232422,13.005056381225586,0.08534709364175797,0.15736056864261627,0.141034796833992,0.1416545808315277,0.15456119179725647,0.0006197839975357056,0.013526394963264465,0.30923235416412354,0.2910633385181427,0.005339771043509245,True,True,True,0.3997810336091351,True,0.0
HEP_PA28.nii.gz,1,context,gamma,0.3,blur,1.5,467.4639892578125,14.574357986450195,338.302490234375,438.3568420410156,0.16969412565231323,0.2200455516576767,0.05487167835235596,0.09185171127319336,0.11438080668449402,0.0369800329208374,0.05950912833213806,0.020089678466320038,-0.10344724357128143,-0.1090845987200737,True,True,True,0.031177498847750274,True,0.0
HEP_PA28.nii.gz,1,context,blur,1.5,gamma,0.3,1200.1942138671875,438.3568420410156,338.302490234375,14.574357986450195,0.09036446362733841,0.2200455516576767,0.26293042302131653,0.2844032943248749,0.36188051104545593,0.02147287130355835,0.0989500880241394,0.5567381978034973,0.5204268097877502,-0.0023039495572447777,True,True,True,0.3652382564223259,True,0.0
HEP_PA28.nii.gz,2,foreground,gamma,0.3,blur,1.5,559.8619384765625,15.445878028869629,224.61947631835938,339.6621398925781,0.11156107485294342,0.16981950402259827,0.07833721488714218,0.06810600310564041,0.07883334904909134,-0.01023121178150177,0.0004961341619491577,0.10401774197816849,0.36876198649406433,0.3022538423538208,True,True,True,0.027588726733057314,True,0.0
HEP_PA28.nii.gz,2,foreground,blur,1.5,gamma,0.3,1045.903564453125,339.6621398925781,224.61947631835938,15.445878028869629,0.08919297903776169,0.16981950402259827,0.23905044794082642,0.24564822018146515,0.27451372146606445,0.006597772240638733,0.03546327352523804,0.3624875247478485,0.35407501459121704,0.03801114484667778,True,True,True,0.32475473976434754,True,0.0
HEP_PA28.nii.gz,3,foreground,gamma,0.3,blur,1.5,382.2465515136719,12.826933860778809,215.12908935546875,330.54937744140625,0.10765356570482254,0.16601112484931946,0.03664567694067955,0.03891557827591896,0.05128367990255356,0.0022699013352394104,0.014638002961874008,0.03866039961576462,0.22775650024414062,0.20260562002658844,True,True,True,0.033556702630762714,True,0.0
HEP_PA28.nii.gz,3,foreground,blur,1.5,gamma,0.3,1001.3165283203125,330.54937744140625,215.12908935546875,12.826933860778809,0.0843961164355278,0.16601112484931946,0.2024582177400589,0.2144402265548706,0.25184619426727295,0.011982008814811707,0.04938797652721405,0.462027907371521,0.4529958963394165,0.004711956717073917,True,True,True,0.3301147719951212,True,0.0
HEM_PA107.nii.gz,0,context,gamma,0.3,blur,1.5,459.7706604003906,18.859216690063477,300.5902099609375,347.6835632324219,0.1490081548690796,0.17267853021621704,0.053116586059331894,0.07292181253433228,0.08086702972650528,0.01980522647500038,0.027750443667173386,0.01562788523733616,0.04131266847252846,0.032266806811094284,True,True,True,0.04101874763744158,True,0.0
HEM_PA107.nii.gz,0,context,blur,1.5,gamma,0.3,988.8626708984375,347.6835632324219,300.5902099609375,18.859216690063477,0.05834420397877693,0.17267853021621704,0.2707306444644928,0.265413761138916,0.24552039802074432,-0.005316883325576782,-0.025210246443748474,0.03035108931362629,0.019359447062015533,0.019084451720118523,True,True,True,0.35159944192911213,True,0.0
HEM_PA107.nii.gz,1,context,gamma,0.3,blur,1.5,348.99090576171875,14.15542221069336,233.40707397460938,341.130615234375,0.11663536727428436,0.17101994156837463,0.030484622344374657,0.03979077935218811,0.05434879660606384,0.009306157007813454,0.023864174261689186,0.06338208168745041,0.10959162563085556,0.09149502962827682,True,True,True,0.040561005966035936,True,0.0
