source,action,case,region,count,mean,median,p10,p50,p90
joint_product,gamma,HEM_PA29.nii.gz,TN,13613931,0.26673767595882913,0.235,0.065,0.235,0.485
joint_product,gamma,HEM_PA29.nii.gz,TP,344475,0.001992081246765115,0.005,0.005,0.005,0.005
world_pairwise,blur,HEM_PA29.nii.gz,FN,190956,0.1796280191367132,0.075,0.015,0.075,0.585
world_pairwise,blur,HEM_PA29.nii.gz,FP,6414,0.018430478836020316,0.015,0.005,0.015,0.035
world_pairwise,blur,HEM_PA29.nii.gz,TN,13613931,0.5162920672091686,0.515,0.135,0.515,0.905
world_pairwise,blur,HEM_PA29.nii.gz,TP,344475,0.04268280707887472,0.035,0.005,0.035,0.075
world_pairwise,gamma,HEM_PA29.nii.gz,FN,190956,0.1796280191367132,0.075,0.015,0.075,0.585
world_pairwise,gamma,HEM_PA29.nii.gz,FP,6414,0.018430478836020316,0.015,0.005,0.015,0.035
world_pairwise,gamma,HEM_PA29.nii.gz,TN,13613931,0.5162920672091686,0.515,0.135,0.515,0.905
world_pairwise,gamma,HEM_PA29.nii.gz,TP,344475,0.04268280707887472,0.035,0.005,0.035,0.075
confidence_rank,all,HEM_PA29.nii.gz,TP,688950,0.040644889720024176,0.045,0.005,0.045,0.065
confidence_rank,all,HEM_PA29.nii.gz,FP,12828,0.010566387248073954,0.005,0.005,0.005,0.025
confidence_rank,all,HEM_PA29.nii.gz,TN,27227862,0.5181843369459675,0.505,0.265,0.505,0.805
confidence_rank,all,HEM_PA29.nii.gz,FN,381912,0.048671921796603075,0.045,0.005,0.045,0.085
world_pairwise,all,HEM_PA29.nii.gz,TP,688950,0.04268280707887472,0.035,0.005,0.035,0.075
world_pairwise,all,HEM_PA29.nii.gz,FP,12828,0.018430478836020316,0.015,0.005,0.015,0.035
world_pairwise,all,HEM_PA29.nii.gz,TN,27227862,0.5162920672091686,0.515,0.135,0.515,0.905
world_pairwise,all,HEM_PA29.nii.gz,FN,381912,0.1796280191367132,0.075,0.015,0.075,0.585
joint_product,all,HEM_PA29.nii.gz,TP,688950,0.001992081246765115,0.005,0.005,0.005,0.005
joint_product,all,HEM_PA29.nii.gz,FP,12828,0.00017885782680501948,0.005,0.005,0.005,0.005
joint_product,all,HEM_PA29.nii.gz,TN,27227862,0.26673767595882913,0.235,0.065,0.235,0.485
joint_product,all,HEM_PA29.nii.gz,FN,381912,0.014714012667669127,0.005,0.005,0.005,0.045
confidence_rank,blur,HEP_PA28.nii.gz,FN,198480,0.059527337963063955,0.055,0.005,0.055,0.085
confidence_rank,blur,HEP_PA28.nii.gz,FP,175432,0.019306680279348332,0.015,0.005,0.015,0.035
confidence_rank,blur,HEP_PA28.nii.gz,TN,13574080,0.5199184270472765,0.515,0.135,0.515,0.915
confidence_rank,blur,HEP_PA28.nii.gz,TP,207784,0.02537579520813779,0.025,0.005,0.025,0.045
confidence_rank,gamma,HEP_PA28.nii.gz,FN,198480,0.059527337963063955,0.055,0.005,0.055,0.085
confidence_rank,gamma,HEP_PA28.nii.gz,FP,175432,0.019306680279348332,0.015,0.005,0.015,0.035
confidence_rank,gamma,HEP_PA28.nii.gz,TN,13574080,0.5199184270472765,0.515,0.135,0.515,0.915
confidence_rank,gamma,HEP_PA28.nii.gz,TP,207784,0.02537579520813779,0.025,0.005,0.025,0.045
joint_product,blur,HEP_PA28.nii.gz,FN,198480,0.02114882687562676,0.005,0.005,0.005,0.045
joint_product,blur,HEP_PA28.nii.gz,FP,175432,0.0027886432836753136,0.005,0.005,0.005,0.005
joint_product,blur,HEP_PA28.nii.gz,TN,13574080,0.28749557998161196,0.185,0.045,0.185,0.735
joint_product,blur,HEP_PA28.nii.gz,TP,207784,0.0005645148256924785,0.005,0.005,0.005,0.005
joint_product,gamma,HEP_PA28.nii.gz,FN,198480,0.02114882687562676,0.005,0.005,0.005,0.045
joint_product,gamma,HEP_PA28.nii.gz,FP,175432,0.0027886432836753136,0.005,0.005,0.005,0.005
joint_product,gamma,HEP_PA28.nii.gz,TN,13574080,0.28749557998161196,0.185,0.045,0.185,0.735
joint_product,gamma,HEP_PA28.nii.gz,TP,207784,0.0005645148256924785,0.005,0.005,0.005,0.005
world_pairwise,blur,HEP_PA28.nii.gz,FN,198480,0.1780980113042381,0.065,0.025,0.065,0.535
world_pairwise,blur,HEP_PA28.nii.gz,FP,175432,0.08922762009960948,0.015,0.005,0.015,0.165
world_pairwise,blur,HEP_PA28.nii.gz,TN,13574080,0.517306783792542,0.515,0.135,0.515,0.905
world_pairwise,blur,HEP_PA28.nii.gz,TP,207784,0.02368353171046659,0.015,0.005,0.015,0.045
world_pairwise,gamma,HEP_PA28.nii.gz,FN,198480,0.1780980113042381,0.065,0.025,0.065,0.535
world_pairwise,gamma,HEP_PA28.nii.gz,FP,175432,0.08922762009960948,0.015,0.005,0.015,0.165
world_pairwise,gamma,HEP_PA28.nii.gz,TN,13574080,0.517306783792542,0.515,0.135,0.515,0.905
world_pairwise,gamma,HEP_PA28.nii.gz,TP,207784,0.02368353171046659,0.015,0.005,0.015,0.045
confidence_rank,all,HEP_PA28.nii.gz,TP,415568,0.02537579520813779,0.025,0.005,0.025,0.045
confidence_rank,all,HEP_PA28.nii.gz,FP,350864,0.019306680279348332,0.015,0.005,0.015,0.035
confidence_rank,all,HEP_PA28.nii.gz,TN,27148160,0.5199184270472765,0.515,0.135,0.515,0.915
confidence_rank,all,HEP_PA28.nii.gz,FN,396960,0.059527337963063955,0.055,0.005,0.055,0.085
world_pairwise,all,HEP_PA28.nii.gz,TP,415568,0.02368353171046659,0.015,0.005,0.015,0.045
world_pairwise,all,HEP_PA28.nii.gz,FP,350864,0.08922762009960948,0.015,0.005,0.015,0.165
world_pairwise,all,HEP_PA28.nii.gz,TN,27148160,0.517306783792542,0.515,0.135,0.515,0.905
world_pairwise,all,HEP_PA28.nii.gz,FN,396960,0.1780980113042381,0.065,0.025,0.065,0.535
joint_product,all,HEP_PA28.nii.gz,TP,415568,0.0005645148256924785,0.005,0.005,0.005,0.005
joint_product,all,HEP_PA28.nii.gz,FP,350864,0.0027886432836753136,0.005,0.005,0.005,0.005
joint_product,all,HEP_PA28.nii.gz,TN,27148160,0.28749557998161196,0.185,0.045,0.185,0.735
joint_product,all,HEP_PA28.nii.gz,FN,396960,0.02114882687562676,0.005,0.005,0.005,0.045
