source,action,case,region,count,mean,median,p10,p50,p90
confidence_rank,blur,HCC_10020116_20180118.nii.gz,FP,24252,0.0058240249030413645,0.005,0.005,0.005,0.015
confidence_rank,blur,HCC_10020116_20180118.nii.gz,TN,13920794,0.5078912959742958,0.505,0.225,0.505,0.805
confidence_rank,blur,HCC_10020116_20180118.nii.gz,TP,192217,0.038009313858677424,0.035,0.005,0.035,0.075
confidence_rank,gamma,HCC_10020116_20180118.nii.gz,FN,18513,0.010343495480914474,0.005,0.005,0.005,0.025
confidence_rank,gamma,HCC_10020116_20180118.nii.gz,FP,24252,0.0058240249030413645,0.005,0.005,0.005,0.015
confidence_rank,gamma,HCC_10020116_20180118.nii.gz,TN,13920794,0.5078912959742958,0.505,0.225,0.505,0.805
confidence_rank,gamma,HCC_10020116_20180118.nii.gz,TP,192217,0.038009313858677424,0.035,0.005,0.035,0.075
joint_product,blur,HCC_10020116_20180118.nii.gz,FN,18513,0.0005369729297893307,0.005,0.005,0.005,0.005
joint_product,blur,HCC_10020116_20180118.nii.gz,FP,24252,0.00011983856465841151,0.005,0.005,0.005,0.005
joint_product,blur,HCC_10020116_20180118.nii.gz,TN,13920794,0.26740344122460136,0.215,0.045,0.215,0.505
joint_product,blur,HCC_10020116_20180118.nii.gz,TP,192217,0.0016196710377397114,0.005,0.005,0.005,0.005
joint_product,gamma,HCC_10020116_20180118.nii.gz,FN,18513,0.0005369729297893307,0.005,0.005,0.005,0.005
joint_product,gamma,HCC_10020116_20180118.nii.gz,FP,24252,0.00011983856465841151,0.005,0.005,0.005,0.005
joint_product,gamma,HCC_10020116_20180118.nii.gz,TN,13920794,0.26740344122460136,0.215,0.045,0.215,0.505
joint_product,gamma,HCC_10020116_20180118.nii.gz,TP,192217,0.0016196710377397114,0.005,0.005,0.005,0.005
world_pairwise,blur,HCC_10020116_20180118.nii.gz,FN,18513,0.056455576332256924,0.025,0.005,0.025,0.115
world_pairwise,blur,HCC_10020116_20180118.nii.gz,FP,24252,0.019780294539884,0.005,0.005,0.005,0.035
world_pairwise,blur,HCC_10020116_20180118.nii.gz,TN,13920794,0.5078322572138759,0.505,0.115,0.505,0.905
world_pairwise,blur,HCC_10020116_20180118.nii.gz,TP,192217,0.03607322624048392,0.025,0.005,0.025,0.045
world_pairwise,gamma,HCC_10020116_20180118.nii.gz,FN,18513,0.056455576332256924,0.025,0.005,0.025,0.115
world_pairwise,gamma,HCC_10020116_20180118.nii.gz,FP,24252,0.019780294539884,0.005,0.005,0.005,0.035
world_pairwise,gamma,HCC_10020116_20180118.nii.gz,TN,13920794,0.5078322572138759,0.505,0.115,0.505,0.905
world_pairwise,gamma,HCC_10020116_20180118.nii.gz,TP,192217,0.03607322624048392,0.025,0.005,0.025,0.045
confidence_rank,all,HCC_10020116_20180118.nii.gz,TP,384434,0.038009313858677424,0.035,0.005,0.035,0.075
confidence_rank,all,HCC_10020116_20180118.nii.gz,FP,48504,0.0058240249030413645,0.005,0.005,0.005,0.015
confidence_rank,all,HCC_10020116_20180118.nii.gz,TN,27841588,0.5078912959742958,0.505,0.225,0.505,0.805
confidence_rank,all,HCC_10020116_20180118.nii.gz,FN,37026,0.010343495480914474,0.005,0.005,0.005,0.025
world_pairwise,all,HCC_10020116_20180118.nii.gz,TP,384434,0.03607322624048392,0.025,0.005,0.025,0.045
world_pairwise,all,HCC_10020116_20180118.nii.gz,FP,48504,0.019780294539884,0.005,0.005,0.005,0.035
world_pairwise,all,HCC_10020116_20180118.nii.gz,TN,27841588,0.5078322572138759,0.505,0.115,0.505,0.905
world_pairwise,all,HCC_10020116_20180118.nii.gz,FN,37026,0.056455576332256924,0.025,0.005,0.025,0.115
joint_product,all,HCC_10020116_20180118.nii.gz,TP,384434,0.0016196710377397114,0.005,0.005,0.005,0.005
joint_product,all,HCC_10020116_20180118.nii.gz,FP,48504,0.00011983856465841151,0.005,0.005,0.005,0.005
joint_product,all,HCC_10020116_20180118.nii.gz,TN,27841588,0.26740344122460136,0.215,0.045,0.215,0.505
joint_product,all,HCC_10020116_20180118.nii.gz,FN,37026,0.0005369729297893307,0.005,0.005,0.005,0.005
confidence_rank,all,__all__,FN,,0.03605515902458346,0.0325,0.005,0.0325,0.065
confidence_rank,all,__all__,FP,,0.012080989613220362,0.008749999999999999,0.005,0.008749999999999999,0.025
confidence_rank,all,__all__,TN,,0.514208063311237,0.51625,0.22000000000000003,0.51625,0.81875
confidence_rank,all,__all__,TP,,0.034577202001269125,0.03375,0.005,0.03375,0.06
confidence_rank,blur,__all__,FN,,0.03605515902458346,0.0325,0.005,0.0325,0.065
confidence_rank,blur,__all__,FP,,0.012080989613220362,0.008749999999999999,0.005,0.008749999999999999,0.025
confidence_rank,blur,__all__,TN,,0.514208063311237,0.51625,0.22000000000000003,0.51625,0.81875
confidence_rank,blur,__all__,TP,,0.034577202001269125,0.03375,0.005,0.03375,0.06
confidence_rank,gamma,__all__,FN,,0.03605515902458346,0.0325,0.005,0.0325,0.065
confidence_rank,gamma,__all__,FP,,0.012080989613220362,0.008749999999999999,0.005,0.008749999999999999,0.025
confidence_rank,gamma,__all__,TN,,0.514208063311237,0.51625,0.22000000000000003,0.51625,0.81875
confidence_rank,gamma,__all__,TP,,0.034577202001269125,0.03375,0.005,0.03375,0.06
joint_product,all,__all__,FN,,0.009699010447394192,0.005,0.005,0.005,0.026250000000000002
joint_product,all,__all__,FP,,0.0007805496985150215,0.005,0.005,0.005,0.005
joint_product,all,__all__,TN,,0.2687472323007518,0.21750000000000003,0.05,0.21750000000000003,0.53
joint_product,all,__all__,TP,,0.002136308028297135,0.005,0.005,0.005,0.0062499999999999995
joint_product,blur,__all__,FN,,0.009699010447394192,0.005,0.005,0.005,0.026250000000000002
joint_product,blur,__all__,FP,,0.0007805496985150215,0.005,0.005,0.005,0.005
joint_product,blur,__all__,TN,,0.2687472323007518,0.21750000000000003,0.05,0.21750000000000003,0.53
joint_product,blur,__all__,TP,,0.002136308028297135,0.005,0.005,0.005,0.0062499999999999995
joint_product,gamma,__all__,FN,,0.009699010447394192,0.005,0.005,0.005,0.026250000000000002
joint_product,gamma,__all__,FP,,0.0007805496985150215,0.005,0.005,0.005,0.005
joint_product,gamma,__all__,TN,,0.2687472323007518,0.21750000000000003,0.05,0.21750000000000003,0.53
joint_product,gamma,__all__,TP,,0.002136308028297135,0.005,0.005,0.005,0.0062499999999999995
world_pairwise,all,__all__,FN,,0.1441351543754167,0.05875000000000001,0.01375,0.05875000000000001,0.43000000000000005
world_pairwise,all,__all__,FP,,0.04084498354765369,0.013750000000000002,0.005,0.013750000000000002,0.07
world_pairwise,all,__all__,TN,,0.5126967457515407,0.5125000000000001,0.12375,0.5125000000000001,0.9050000000000001
world_pairwise,all,__all__,TP,,0.04680774239230729,0.0275,0.005,0.0275,0.08625
world_pairwise,blur,__all__,FN,,0.1441351543754167,0.05875000000000001,0.01375,0.05875000000000001,0.43000000000000005
world_pairwise,blur,__all__,FP,,0.04084498354765369,0.013750000000000002,0.005,0.013750000000000002,0.07
world_pairwise,blur,__all__,TN,,0.5126967457515407,0.5125000000000001,0.12375,0.5125000000000001,0.9050000000000001
world_pairwise,blur,__all__,TP,,0.04680774239230729,0.0275,0.005,0.0275,0.08625
world_pairwise,gamma,__all__,FN,,0.1441351543754167,0.05875000000000001,0.01375,0.05875000000000001,0.43000000000000005
world_pairwise,gamma,__all__,FP,,0.04084498354765369,0.013750000000000002,0.005,0.013750000000000002,0.07
world_pairwise,gamma,__all__,TN,,0.5126967457515407,0.5125000000000001,0.12375,0.5125000000000001,0.9050000000000001
world_pairwise,gamma,__all__,TP,,0.04680774239230729,0.0275,0.005,0.0275,0.08625
