source,action,case,scope,decile,voxel_count,reliability_mean,pseudo_label_accuracy,aggregation
confidence_rank,gamma,CYST_PA62.nii.gz,overall,8,720578,0.7499544332749357,1.0,case_voxel_bins
confidence_rank,gamma,CYST_PA62.nii.gz,overall,9,696334,0.8500487001758176,1.0,case_voxel_bins
confidence_rank,gamma,CYST_PA62.nii.gz,overall,10,713172,0.9496197941004476,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,background,1,3252871,0.05389330355227473,0.9913925267863374,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,background,2,3087546,0.14781543596699648,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,background,3,2348427,0.24786143071267874,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,background,4,1939137,0.3489618730403915,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,background,5,1774055,0.4495070525954171,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,background,6,281868,0.5482848060363343,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,background,7,259326,0.6506035892361106,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,background,8,285752,0.7508373319753932,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,background,9,303423,0.8509107585423948,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,background,10,260124,0.9439538217640706,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,foreground,1,362249,0.005656465208007783,0.5908477318087835,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,foreground,2,776,0.13649498947809652,0.8247422680412371,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,foreground,3,197,0.23784580206507958,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,foreground,4,25,0.3196710956096649,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,overall,1,3615120,0.049059785867281734,0.9512563898293832,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,overall,2,3088322,0.14781259148819037,0.9999559631411491,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,overall,3,2348624,0.2478605906127549,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,overall,4,1939162,0.3489614954188025,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,overall,5,1774055,0.4495070525954171,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,overall,6,281868,0.5482848060363343,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,overall,7,259326,0.6506035892361106,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,overall,8,285752,0.7508373319753932,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,overall,9,303423,0.8509107585423948,1.0,case_voxel_bins
joint_product,blur,CYST_PA62.nii.gz,overall,10,260124,0.9439538217640706,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,background,1,3252871,0.05389330355227473,0.9913925267863374,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,background,2,3087546,0.14781543596699648,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,background,3,2348427,0.24786143071267874,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,background,4,1939137,0.3489618730403915,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,background,5,1774055,0.4495070525954171,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,background,6,281868,0.5482848060363343,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,background,7,259326,0.6506035892361106,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,background,8,285752,0.7508373319753932,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,background,9,303423,0.8509107585423948,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,background,10,260124,0.9439538217640706,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,foreground,1,362249,0.005656465208007783,0.5908477318087835,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,foreground,2,776,0.13649498947809652,0.8247422680412371,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,foreground,3,197,0.23784580206507958,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,foreground,4,25,0.3196710956096649,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,overall,1,3615120,0.049059785867281734,0.9512563898293832,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,overall,2,3088322,0.14781259148819037,0.9999559631411491,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,overall,3,2348624,0.2478605906127549,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,overall,4,1939162,0.3489614954188025,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,overall,5,1774055,0.4495070525954171,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,overall,6,281868,0.5482848060363343,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,overall,7,259326,0.6506035892361106,1.0,case_voxel_bins
