case,patch_index,patch_kind,action,action_strength,source_dice,actual_dice,conditioned_dice,agnostic_dice,wrong_dice,source_precision,actual_precision,conditioned_precision,agnostic_precision,wrong_precision,source_recall,actual_recall,conditioned_recall,agnostic_recall,wrong_recall,source_iou,actual_iou,conditioned_iou,agnostic_iou,wrong_iou,conditioned_vs_actual_seg_logits_mse,agnostic_vs_actual_seg_logits_mse,wrong_vs_actual_seg_logits_mse,seg_gain_vs_agnostic,seg_gain_vs_wrong
CYST_PA62.nii.gz,0,context,gamma,0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.332911491394043,15.704976081848145,3.9187614917755127,0.0,0.0
CYST_PA62.nii.gz,0,context,blur,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16.142820358276367,15.441227912902832,13.68243408203125,0.0,0.0
CYST_PA62.nii.gz,1,foreground,gamma,0.3,0.5056277056277056,0.5248868778280543,0.5052083333333334,0.5113043478260869,0.5017482517482518,0.5725490196078431,0.6304347826086957,0.5739644970414202,0.5821782178217821,0.5751503006012024,0.45271317829457364,0.4496124031007752,0.4511627906976744,0.4558139534883721,0.4449612403100775,0.3383545770567787,0.3558282208588957,0.33797909407665505,0.34345794392523366,0.3348891481913652,6.208986759185791,13.046870231628418,6.328567028045654,-0.006096014492753543,0.003460081585081598
CYST_PA62.nii.gz,1,foreground,blur,1.5,0.5056277056277056,0.43655723158828746,0.4879310344827586,0.5113043478260869,0.5017421602787456,0.5725490196078431,0.5103734439834025,0.5495145631067961,0.5821782178217821,0.5725646123260437,0.45271317829457364,0.3813953488372093,0.4387596899224806,0.4558139534883721,0.44651162790697674,0.3383545770567787,0.2792281498297389,0.322690992018244,0.34345794392523366,0.33488372093023255,14.170310974121094,12.846502304077148,11.66321849822998,-0.023373313343328317,-0.013811125795987034
HEM_PA29.nii.gz,0,context,gamma,0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.050662994384766,12.941781997680664,5.052399158477783,0.0,0.0
HEM_PA29.nii.gz,0,context,blur,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,40.05628967285156,37.94630813598633,30.699556350708008,0.0,0.0
HEM_PA29.nii.gz,1,foreground,gamma,0.3,0.5162393162393163,0.5239892183288409,0.5140240412135089,0.5224719101123596,0.5114942528735632,0.6335664335664336,0.596319018404908,0.635077793493635,0.6283783783783784,0.6357142857142857,0.4355769230769231,0.4673076923076923,0.43173076923076925,0.44711538461538464,0.42788461538461536,0.347926267281106,0.3550036523009496,0.3459167950693374,0.35361216730038025,0.3436293436293436,12.222980499267578,7.7016777992248535,11.715605735778809,-0.008447868898850741,0.00252978833994566
HEM_PA29.nii.gz,1,foreground,blur,1.5,0.5162393162393163,0.5812917594654788,0.501123595505618,0.5224719101123596,0.5139283683911313,0.6335664335664336,0.6904761904761905,0.6027027027027027,0.6283783783783784,0.6286509040333796,0.4355769230769231,0.5019230769230769,0.4288461538461538,0.44711538461538464,0.4346153846153846,0.347926267281106,0.4097331240188383,0.3343328335832084,0.35361216730038025,0.3458301453710788,17.335525512695312,15.991991996765137,17.691184997558594,-0.02134831460674158,-0.012804772885513294
HEP_PA28.nii.gz,0,context,gamma,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.647213101387024,6.680337429046631,1.7183691263198853,0.0,0.0
HEP_PA28.nii.gz,0,context,blur,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.779377937316895,10.676786422729492,12.367607116699219,0.0,0.0
HEP_PA28.nii.gz,1,foreground,gamma,0.3,0.43057722308892354,0.4442943956785955,0.4303599374021909,0.4379446640316206,0.4303599374021909,0.75,0.5802469135802469,0.7554945054945055,0.7891737891737892,0.7554945054945055,0.30196936542669583,0.3599562363238512,0.30087527352297594,0.30306345733041573,0.30087527352297594,0.27435387673956263,0.2855902777777778,0.2741774675972084,0.28036437246963564,0.2741774675972084,20.786558151245117,10.398747444152832,19.65695571899414,-0.007584726629429661,0.0
HEP_PA28.nii.gz,1,foreground,blur,1.5,0.43057722308892354,0.4550185873605948,0.4199066874027994,0.4379446640316206,0.42371541501976284,0.75,0.7099767981438515,0.7258064516129032,0.7891737891737892,0.7635327635327636,0.30196936542669583,0.3347921225382932,0.29540481400437635,0.30306345733041573,0.29321663019693656,0.27435387673956263,0.2945139557266602,0.265748031496063,0.28036437246963564,0.2688064192577733,18.19158363342285,21.596118927001953,23.84598731994629,-0.018037976628821173,-0.0038087276169634365
HEM_PA107.nii.gz,0,context,gamma,0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.696528434753418,11.040382385253906,4.336578845977783,0.0,0.0
HEM_PA107.nii.gz,0,context,blur,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.183435440063477,19.9329833984375,16.227418899536133,0.0,0.0
HEM_PA107.nii.gz,1,foreground,gamma,0.3,0.7030716723549488,0.6867335562987736,0.7030716723549488,0.7048054919908466,0.7038724373576309,0.8131578947368421,0.7738693467336684,0.8131578947368421,0.8213333333333334,0.8153034300791556,0.6192384769539078,0.6172344689378757,0.6192384769539078,0.6172344689378757,0.6192384769539078,0.5421052631578948,0.5229202037351444,0.5421052631578948,0.5441696113074205,0.5430579964850615,2.9148576259613037,5.350520610809326,2.6932621002197266,-0.0017338196358978042,-0.0008007650026821134
HEM_PA107.nii.gz,1,foreground,blur,1.5,0.7030716723549488,0.6703296703296703,0.6875,0.7048054919908466,0.7,0.8131578947368421,0.7420924574209246,0.7758186397984886,0.8213333333333334,0.8083989501312336,0.6192384769539078,0.6112224448897795,0.6172344689378757,0.6172344689378757,0.6172344689378757,0.5421052631578948,0.5041322314049587,0.5238095238095238,0.5441696113074205,0.5384615384615384,15.742447853088379,15.598559379577637,14.486931800842285,-0.017305491990846633,-0.012499999999999956
HEM_PA81.nii.gz,0,context,gamma,0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.365973711013794,12.584538459777832,3.7612102031707764,0.0,0.0
HEM_PA81.nii.gz,0,context,blur,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16.746105194091797,16.369199752807617,13.87665843963623,0.0,0.0
HEM_PA81.nii.gz,1,foreground,gamma,0.3,0.5515719801434087,0.6030799801291604,0.549171270718232,0.5579352004393191,0.5470653377630121,0.7668711656441718,0.7124413145539906,0.765793528505393,0.7696969696969697,0.765891472868217,0.4306632213608958,0.5228251507321274,0.4280792420327304,0.43755383290267014,0.425495262704565,0.38080731150038083,0.4317211948790896,0.37852246763137853,0.3869002284843869,0.37652439024390244,47.493473052978516,30.030410766601562,46.02717590332031,-0.008763929721087083,0.0021059329552198802
HEM_PA81.nii.gz,1,foreground,blur,1.5,0.5515719801434087,0.5987124463519313,0.5373467112597548,0.5579352004393191,0.5505804311774462,0.7668711656441718,0.7937411095305832,0.7614533965244866,0.7696969696969697,0.7685185185185185,0.4306632213608958,0.4806201550387597,0.4151593453919035,0.43755383290267014,0.4289405684754522,0.38080731150038083,0.42725880551301687,0.3673780487804878,0.3869002284843869,0.37986270022883295,12.051653861999512,11.809229850769043,12.488083839416504,-0.02058848917956435,-0.0132337199176914
HEM_PA89.nii.gz,0,context,gamma,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.962357521057129,9.709075927734375,1.976030707359314,0.0,0.0
HEM_PA89.nii.gz,0,context,blur,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.82149887084961,31.818220138549805,37.63783645629883,0.0,0.0
HEM_PA89.nii.gz,1,foreground,gamma,0.3,0.4072476272648835,0.4043807919123842,0.4069264069264069,0.41535776614310643,0.4103896103896104,0.5130434782608696,0.4918032786885246,0.5153508771929824,0.5324384787472036,0.5197368421052632,0.3376251788268956,0.34334763948497854,0.3361945636623748,0.34048640915593703,0.33905579399141633,0.25568797399783316,0.25343189017951423,0.2554347826086957,0.2621145374449339,0.2581699346405229,3.5100526809692383,7.6939520835876465,3.5489354133605957,-0.008431359216699519,-0.0034632034632035014
HEM_PA89.nii.gz,1,foreground,blur,1.5,0.4072476272648835,0.387459807073955,0.4059233449477352,0.41535776614310643,0.4146341463414634,0.5130434782608696,0.44220183486238535,0.5189309576837416,0.5324384787472036,0.5300668151447662,0.3376251788268956,0.3447782546494993,0.3333333333333333,0.34048640915593703,0.34048640915593703,0.25568797399783316,0.24027916251246262,0.2546448087431694,0.2621145374449339,0.26153846153846155,17.04244041442871,21.080427169799805,22.756200790405273,-0.009434421195371245,-0.008710801393728207
HEM_PA101.nii.gz,0,context,gamma,0.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.8168303966522217,12.303385734558105,3.0019102096557617,0.0,0.0
HEM_PA101.nii.gz,0,context,blur,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,69.9807357788086,66.91280364990234,55.29548263549805,0.0,0.0
HEM_PA101.nii.gz,1,foreground,gamma,0.3,0.5304615384615384,0.5326850351161534,0.530030959752322,0.5358255451713395,0.5301055245189323,0.6962843295638126,0.5834319526627219,0.7027914614121511,0.7178631051752922,0.7057851239669422,0.4284294234592445,0.4900596421471173,0.4254473161033797,0.4274353876739563,0.42445328031809143,0.3609715242881072,0.3630338733431517,0.36057287278854255,0.3659574468085106,0.3606418918918919,29.543231964111328,17.358867645263672,28.599807739257812,-0.005794585419017562,-7.456476661038547e-05
HEM_PA101.nii.gz,1,foreground,blur,1.5,0.5304615384615384,0.5301038062283737,0.5158587672052664,0.5358255451713395,0.528,0.6962843295638126,0.8724373576309795,0.6481203007518797,0.7178631051752922,0.6930533117932148,0.4284294234592445,0.38071570576540753,0.4284294234592445,0.4274353876739563,0.426441351888668,0.3609715242881072,0.3606403013182674,0.34758064516129034,0.3659574468085106,0.358695652173913,21.865217208862305,19.354909896850586,18.429609298706055,-0.019966777966073157,-0.01214123279473367
HCC_10020116_20180118.nii.gz,0,context,gamma,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.924622535705566,10.94572639465332,5.576641082763672,0.0,0.0
HCC_10020116_20180118.nii.gz,0,context,blur,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.186073303222656,22.808504104614258,28.44715690612793,0.0,0.0
HCC_10020116_20180118.nii.gz,1,foreground,gamma,0.3,0.5963114754098361,0.5928270042194093,0.5967078189300411,0.5967078189300411,0.5950413223140496,0.5574712643678161,0.5688259109311741,0.5598455598455598,0.5598455598455598,0.5603112840466926,0.6409691629955947,0.6189427312775331,0.6387665198237885,0.6387665198237885,0.6343612334801763,0.4248175182481752,0.42128935532233885,0.4252199413489736,0.4252199413489736,0.4235294117647059,1.3565882444381714,7.491948127746582,1.4792581796646118,0.0,0.0016664966159914973
