summary_level,case,action,row_count,mean_true_shift_norm,mean_conditioned_shift_norm,mean_same_model_no_action_shift_norm,mean_matched_wrong_shift_norm,mean_conditioned_vs_same_model_no_action_distance,mean_gamma_vs_blur_conditioned_distance,mean_conditioned_state_mse,mean_same_model_no_action_state_mse,mean_matched_wrong_state_mse,mean_correct_vs_same_model_no_action_margin,mean_correct_vs_matched_wrong_margin,mean_conditioned_delta_cosine,mean_same_model_no_action_delta_cosine,mean_matched_wrong_delta_cosine,mean_magnitude_ratio_conditioned,mean_repeat_forward_distance,mean_source_dice,mean_actual_dice,mean_conditioned_dice,mean_same_model_no_action_dice,mean_matched_wrong_dice,mean_source_precision,mean_actual_precision,mean_conditioned_precision,mean_same_model_no_action_precision,mean_matched_wrong_precision,mean_source_recall,mean_actual_recall,mean_conditioned_recall,mean_same_model_no_action_recall,mean_matched_wrong_recall,mean_source_iou,mean_actual_iou,mean_conditioned_iou,mean_same_model_no_action_iou,mean_matched_wrong_iou,mean_conditioned_vs_actual_seg_logits_mse,mean_same_model_no_action_vs_actual_seg_logits_mse,mean_matched_wrong_vs_actual_seg_logits_mse,mean_seg_gain_vs_same_model_no_action,mean_seg_gain_vs_matched_wrong
per_case,CYST_PA62.nii.gz,gamma,4,419.7333755493164,15.56638216972351,249.44427108764648,338.16919708251953,0.12441037967801094,0.16936488822102547,0.045237340964376926,0.061844839714467525,0.0747487535700202,0.0166074987500906,0.029511412605643272,0.016064137045759708,0.012133246753364801,-0.0026280726306140423,0.03824897599143483,0.0,0.7995094563669797,0.8011724583732697,0.7994304255793226,0.8048531139835488,0.7911463041887296,0.316934046345811,0.31622938530734634,0.3180194261471475,0.3259853258053078,0.2971663766257556,0.2855920876770917,0.2954269734542389,0.2845413608043921,0.28769354142249093,0.28939814529229124,0.7169715363212211,0.717688398498306,0.7169078614537241,0.7228937746842373,0.7085029366838063,3.9722702503204346,11.672881245613098,15.374260544776917,-0.005422688404226106,0.00828412139059305
per_case,CYST_PA62.nii.gz,blur,4,907.5501098632812,338.16919708251953,249.44427108764648,15.56638216972351,0.07767745945602655,0.16936488822102547,0.20205311104655266,0.20255600661039352,0.20843207836151123,0.0005028955638408661,0.006378967314958572,0.2318832017481327,0.21376289427280426,0.006240616785362363,0.37597613311064415,0.0,0.7995094563669797,0.7548626447502926,0.7911463041887296,0.8048531139835488,0.7994304255793226,0.316934046345811,0.24864599257479797,0.2971663766257556,0.3259853258053078,0.3180194261471475,0.2855920876770917,0.27837270988834745,0.28939814529229124,0.28769354142249093,0.2845413608043921,0.7169715363212211,0.672638632092308,0.7085029366838063,0.7228937746842373,0.7169078614537241,19.43355131149292,19.804429531097412,23.04653811454773,-0.013706809794819155,-0.00828412139059305
per_case,CYST_PA62.nii.gz,all,8,663.6417427062988,176.86778962612152,249.44427108764648,176.86778962612152,0.10104391956701875,0.16936488822102547,0.12364522600546479,0.13220042316243052,0.14159041596576571,0.008555197156965733,0.017945189960300922,0.1239736693969462,0.11294807051308453,0.0018062720773741603,0.20711255455103947,0.0,0.7995094563669797,0.7780175515617811,0.7952883648840261,0.8048531139835488,0.7952883648840261,0.316934046345811,0.2824376889410722,0.30759290138645157,0.3259853258053078,0.30759290138645157,0.2855920876770917,0.2868998416712932,0.28696975304834166,0.28769354142249093,0.28696975304834166,0.7169715363212211,0.6951635152953071,0.7127053990687652,0.7228937746842372,0.7127053990687652,11.702910780906677,15.738655388355255,19.210399329662323,-0.00956474909952263,0.0
per_case,HEM_PA29.nii.gz,gamma,4,464.3146286010742,16.743943214416504,256.9093704223633,338.3285903930664,0.12796920910477638,0.16916901618242264,0.05476445145905018,0.06727558746933937,0.07920674793422222,0.012511136010289192,0.024442296475172043,0.06458750739693642,0.08543593459762633,0.060229381546378136,0.03659446553820692,0.0,0.7014914624670722,0.7084676603134356,0.7014226769700439,0.6989714518483316,0.6913773218935118,0.2526223776223776,0.26250568052715295,0.25465985933231283,0.24925345406506305,0.24449466022313704,0.1677177601809955,0.17565045248868777,0.16675622171945703,0.16610057484532276,0.15823194662480378,0.6293324743397233,0.6345881441323001,0.6291621255966027,0.6279918432249201,0.6216656456717878,6.307578384876251,9.889515280723572,13.10126256942749,0.0024512251217122943,0.010045355076532078
per_case,HEM_PA29.nii.gz,blur,4,1047.0533142089844,338.3285903930664,256.9093704223633,16.743943214416504,0.07265620864927769,0.16916901618242264,0.26130541414022446,0.2631763033568859,0.2834910862147808,0.0018708892166614532,0.02218567207455635,0.24096661619842052,0.23140336386859417,0.039848750457167625,0.32642968688260376,0.0,0.7014914624670722,0.7082132164051743,0.6913773218935118,0.6989714518483316,0.7014226769700439,0.2526223776223776,0.29501488095238093,0.24449466022313704,0.24925345406506305,0.25465985933231283,0.1677177601809955,0.1677976960014775,0.15823194662480378,0.16610057484532276,0.16675622171945703,0.6293324743397233,0.6384026687598117,0.6216656456717878,0.6279918432249201,0.6291621255966027,27.972079753875732,27.793288230895996,33.76742744445801,-0.007594129954819784,-0.010045355076532078
per_case,HEM_PA29.nii.gz,all,8,755.6839714050293,177.53626680374146,256.9093704223633,177.53626680374146,0.10031270887702703,0.16916901618242264,0.15803493279963732,0.16522594541311264,0.18134891707450151,0.007191012613475323,0.023313984274864197,0.15277706179767847,0.15841964923311025,0.05003906600177288,0.18151207621040533,0.0,0.7014914624670723,0.7083404383593049,0.6963999994317779,0.6989714518483316,0.6963999994317779,0.2526223776223776,0.2787602807397669,0.24957725977772494,0.24925345406506305,0.24957725977772494,0.1677177601809955,0.17172407424508265,0.1624940841721304,0.16610057484532276,0.1624940841721304,0.6293324743397233,0.6364954064460558,0.6254138856341952,0.6279918432249201,0.6254138856341952,17.139829069375992,18.841401755809784,23.43434500694275,-0.0025714524165537447,0.0
per_case,HEP_PA28.nii.gz,gamma,4,424.37037658691406,13.963056564331055,244.51344680786133,355.5399703979492,0.1221838966012001,0.17830918729305267,0.04765940923243761,0.05789399053901434,0.07336299680173397,0.010234581306576729,0.02570358756929636,0.05127046164125204,0.10740619897842407,0.08001701906323433,0.03437341060507128,0.0,0.2110253200765222,0.20850650440389626,0.2112405710519819,0.2161975754038783,0.211077467606668,0.3013968481375358,0.24059948583213267,0.30342694049466384,0.3196011396011396,0.301212091945142,0.1701351984995311,0.18939382098572471,0.16986167552360112,0.17040872147546107,0.16908929873918932,0.13375240361112017,0.13190481582125604,0.1339226563729863,0.13792385762252835,0.1337770752140831,9.269688189029694,13.27205502986908,18.283084750175476,-0.004957004351896402,0.0001631034453138669
per_case,HEP_PA28.nii.gz,blur,4,1007.9556274414062,355.5399703979492,244.51344680786133,13.963056564331055,0.08732516318559647,0.17830918729305267,0.21136847138404846,0.22153658047318459,0.26070040464401245,0.010168109089136124,0.04933193325996399,0.4226214960217476,0.4046402648091316,0.011439730762504041,0.3549722004477324,0.0,0.2110253200765222,0.20961521328895044,0.211077467606668,0.2161975754038783,0.2112405710519819,0.3013968481375358,0.26584761319058137,0.301212091945142,0.3196011396011396,0.30342694049466384,0.1701351984995311,0.18845993539647807,0.16908929873918932,0.17040872147546107,0.16986167552360112,0.13375240361112017,0.13292768030632812,0.1337770752140831,0.13792385762252835,0.1339226563729863,26.408265829086304,31.561289310455322,57.543824195861816,-0.005120107797210269,-0.0001631034453138669
per_case,HEP_PA28.nii.gz,all,8,716.1630020141602,184.75151348114014,244.51344680786133,184.75151348114014,0.10475452989339828,0.17830918729305267,0.12951394030824304,0.13971528550609946,0.1670317007228732,0.010201345197856426,0.037517760414630175,0.23694597883149981,0.25602323189377785,0.045728374912869185,0.19467280552640187,0.0,0.2110253200765222,0.20906085884642336,0.21115901932932496,0.2161975754038783,0.21115901932932496,0.3013968481375358,0.253223549511357,0.30231951621990294,0.3196011396011396,0.30231951621990294,0.1701351984995311,0.18892687819110138,0.1694754871313952,0.17040872147546107,0.1694754871313952,0.13375240361112017,0.1324162480637921,0.1338498657935347,0.13792385762252835,0.1338498657935347,17.838977009058,22.4166721701622,37.913454473018646,-0.005038556074553335,0.0
per_case,HEM_PA107.nii.gz,gamma,4,391.93761444091797,16.221625089645386,267.916748046875,353.78564453125,0.13351031579077244,0.17687229067087173,0.03899366268888116,0.05739023815840483,0.07121426053345203,0.01839657546952367,0.032220597844570875,0.03862119617406279,0.006483874283730984,-0.00691505242139101,0.04139128139562134,0.0,0.7824050862303301,0.7787630350923925,0.7817076344007939,0.7815119040508169,0.7756485849056604,0.35659736172492296,0.3474113570396512,0.3561027729169471,0.36175044563279857,0.34754508548153706,0.23655995845150274,0.2363981694732749,0.23588153239994236,0.23368446526703338,0.2326668261896928,0.7032990941921734,0.6988606815644167,0.7027366644958855,0.7027470778553614,0.6964285714285714,3.5926506519317627,11.096112251281738,15.332951784133911,0.00019573034997696914,0.006059049495133556
