variant,case,patches,tp,fp,tn,fn,dice,precision,recall,delta_dice_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A0_confidence_rank,__global__,8,599048,171000,55454515,398541,0.6777952713141895,0.7779359208776596,0.6004957953626193,-0.03393487264666817,0.03426763785032061,-0.08192652485141672
A1_world,__global__,8,703038,215693,55409822,294551,0.7337375803623611,0.7652272536792598,0.7047371211992113,0.02200743640150349,0.021558970651920806,0.022314800985175243
A2_joint_product,__global__,8,672721,221461,55404054,324868,0.7112076461685902,0.7523311809005325,0.6743468502559672,-0.000522497792267429,0.00866289787319352,-0.008075469958068848
A_init_no_adaptation,__global__,8,680777,234654,55390861,316812,0.7117301439608577,0.743668283027339,0.682422320214036,,,
