split,case,patch_index,patch_kind,source_prompt,target_prompt,prompt_pair,text_embedding_cosine,text_embedding_delta_norm,text_embedding_source_norm,text_embedding_target_norm,state_normalized_mse,intermediate_mask_logit_normalized_mse,intermediate_soft_dice,intermediate_binary_dice,intermediate_probability_mae,intermediate_source_probability_mean,intermediate_target_probability_mean,intermediate_source_foreground_voxels,intermediate_target_foreground_voxels,intermediate_target_to_source_foreground_ratio,intermediate_both_empty,intermediate_source_to_empty_collapse,final_soft_dice,final_binary_dice,final_probability_mae,final_source_probability_mean,final_target_probability_mean,final_source_foreground_voxels,final_target_foreground_voxels,final_target_to_source_foreground_ratio,final_both_empty,final_source_to_empty_collapse
val,HEP_PA28.nii.gz,2,foreground,liver,liver organ,liver -> liver organ,0.9665619730949402,35.05427551269531,134.92428588867188,136.0437469482422,0.4003627598285675,0.17459094524383545,2.768636875316588e-09,2.7700830518284647e-09,0.026138734072446823,0.026138734072446823,1.1273407473375366e-13,361.0,0.0,0.0,0,1,5.2566570887813135e-12,4.568755096467925e-12,0.02997704967856407,0.02997704967856407,1.6324889709354654e-14,218878.0,0.0,0.0,0,1
val,HEP_PA28.nii.gz,2,foreground,liver,the liver organ,liver -> the liver organ,0.9619531035423279,37.39681625366211,134.92428588867188,136.0858917236328,0.4024542272090912,0.17073631286621094,2.7682180991916994e-09,2.7700830518284647e-09,0.026138734072446823,0.026138734072446823,1.698967165954593e-13,361.0,0.0,0.0,0,1,5.271347594537623e-12,4.568755096467925e-12,0.02997704967856407,0.02997704967856407,1.8437981108804062e-14,218878.0,0.0,0.0,0,1
val,HEP_PA28.nii.gz,2,foreground,liver,segment the liver,liver -> segment the liver,0.652979850769043,113.48493957519531,134.92428588867188,137.46250915527344,0.40231409668922424,0.19230224192142487,2.767872597786436e-09,2.7700830518284647e-09,0.026138734072446823,0.026138734072446823,1.3582710328111265e-14,361.0,0.0,0.0,0,1,4.989651487125046e-12,4.568755096467925e-12,0.02997704967856407,0.02997704967856407,6.812020226869796e-15,218878.0,0.0,0.0,0,1
val,HEP_PA28.nii.gz,3,context_fill,liver,the liver,liver -> the liver,0.9907225370407104,18.397459030151367,134.92428588867188,135.1717529296875,0.003029929706826806,0.0014493729686364532,0.8606598973274231,0.9736841917037964,0.0014542004792019725,0.021979592740535736,0.02283509075641632,297.0,311.0,1.0471380471380471,0,0,0.7732155323028564,0.9500860571861267,0.002015301724895835,0.02079714834690094,0.01976153627038002,148379.0,140418.0,0.9463468550131757,0,0
val,HEP_PA28.nii.gz,3,context_fill,the liver,liver,the liver -> liver,0.9907225370407104,18.397459030151367,135.1717529296875,134.92428588867188,0.002962510334327817,0.0013631003675982356,0.8606598973274231,0.9736841917037964,0.0014542004792019725,0.02283509075641632,0.021979592740535736,311.0,297.0,0.954983922829582,0,0,0.7732155323028564,0.9500860571861267,0.002015301724895835,0.01976153627038002,0.02079714834690094,140418.0,148379.0,1.0566950106111752,0,0
val,HEP_PA28.nii.gz,3,context_fill,liver,liver organ,liver -> liver organ,0.9665619730949402,35.05427551269531,134.92428588867188,136.0437469482422,0.006719137076288462,0.0020329912658780813,0.8484740257263184,0.9449378252029419,0.003133001970127225,0.021979592740535736,0.018959451466798782,297.0,266.0,0.8956228956228957,0,0,0.776631772518158,0.9339287877082825,0.0027334094047546387,0.02079714834690094,0.01827898807823658,148379.0,131531.0,0.8864529347144812,0,0
val,HEP_PA28.nii.gz,3,context_fill,liver,the liver organ,liver -> the liver organ,0.9619531035423279,37.39681625366211,134.92428588867188,136.0858917236328,0.007485723122954369,0.0008970130584202707,0.8522319793701172,0.9547038078308105,0.0024148805532604456,0.021979592740535736,0.02007068507373333,297.0,277.0,0.9326599326599326,0,0,0.7596540451049805,0.9148529767990112,0.003305089194327593,0.02079714834690094,0.01811026595532894,148379.0,129235.0,0.8709790469001678,0,0
val,HEP_PA28.nii.gz,3,context_fill,liver,segment the liver,liver -> segment the liver,0.652979850769043,113.48493957519531,134.92428588867188,137.46250915527344,0.09428265690803528,0.013706540688872337,0.5806178450584412,0.6078886389732361,0.012573214247822762,0.021979592740535736,0.010083119384944439,297.0,134.0,0.4511784511784512,0,0,0.5768749713897705,0.637604832649231,0.011394430883228779,0.02079714834690094,0.0120033398270607,148379.0,82921.0,0.5588459283321764,0,0
val,HEM_PA107.nii.gz,0,context,liver,the liver,liver -> the liver,0.9907225370407104,18.397459030151367,134.92428588867188,135.1717529296875,0.00025678970268927515,8.44932219479233e-05,0.9731963276863098,1.0,1.059114615128455e-13,1.042906863299442e-12,9.494164352266687e-13,0.0,0.0,0.0,1,0,0.9924107789993286,1.0,1.0592506332673119e-16,4.876155860315009e-16,5.928231661297934e-16,0.0,0.0,0.0,1,0
val,HEM_PA107.nii.gz,0,context,the liver,liver,the liver -> liver,0.9907225370407104,18.397459030151367,135.1717529296875,134.92428588867188,0.000255124265095219,8.342326327692717e-05,0.9731963276863098,1.0,1.059114615128455e-13,9.494164352266687e-13,1.042906863299442e-12,0.0,0.0,0.0,1,0,0.9924107789993286,1.0,1.0592506332673119e-16,5.928231661297934e-16,4.876155860315009e-16,0.0,0.0,0.0,1,0
val,HEM_PA107.nii.gz,0,context,liver,liver organ,liver -> liver organ,0.9665619730949402,35.05427551269531,134.92428588867188,136.0437469482422,0.00044741283636540174,7.014482980594039e-05,0.971247673034668,1.0,9.386440328338144e-14,1.042906863299442e-12,1.0985471430094429e-12,0.0,0.0,0.0,1,0,0.9928179383277893,1.0,7.043248363008958e-17,4.876155860315009e-16,5.344390908996858e-16,0.0,0.0,0.0,1,0
val,HEM_PA107.nii.gz,0,context,liver,the liver organ,liver -> the liver organ,0.9619531035423279,37.39681625366211,134.92428588867188,136.0858917236328,0.0006744852871634066,0.00038867740659043193,0.9688622355461121,1.0,2.4285315512045935e-13,1.042906863299442e-12,1.2819208585271302e-12,0.0,0.0,0.0,1,0,0.9909913539886475,1.0,3.091264211059106e-16,4.876155860315009e-16,7.967368720001688e-16,0.0,0.0,0.0,1,0
