num_samples,split,case,prompt_pair,mean_text_embedding_cosine,mean_text_embedding_delta_norm,mean_state_normalized_mse,mean_intermediate_mask_logit_normalized_mse,mean_intermediate_soft_dice,mean_intermediate_binary_dice,mean_intermediate_probability_mae,mean_intermediate_target_to_source_foreground_ratio,mean_final_soft_dice,mean_final_binary_dice,mean_final_probability_mae,mean_final_target_to_source_foreground_ratio,intermediate_both_empty_count,intermediate_source_to_empty_collapse_count,final_both_empty_count,final_source_to_empty_collapse_count
2,train,CYST_PA69.nii.gz,liver -> liver organ,0.9665619730949402,35.05427551269531,0.004383445251733065,0.0016353495884686708,0.942975252866745,0.9814348518848419,0.0020282331970520318,0.9662595970246053,0.922498881816864,0.985647588968277,0.00159268022980541,0.9747863380740545,0,0,0,0
2,train,CYST_PA69.nii.gz,liver -> segment the liver,0.652979850769043,113.48493957519531,0.09862300008535385,0.03360231965780258,0.802409440279007,0.8290396928787231,0.017018659971654415,0.7348422265459407,0.8297464549541473,0.8651847243309021,0.013776773121207952,0.8103021592447186,0,0,0,0
2,train,CYST_PA69.nii.gz,liver -> the liver,0.9907225370407104,18.397459030151367,0.0023247929639182985,0.0016084449889604002,0.9417469799518585,0.9843984842300415,0.0018085919436998665,1.0254522694087256,0.9207486808300018,0.9894914329051971,0.0013078570773359388,0.99191197086566,0,0,0,0
2,train,CYST_PA69.nii.gz,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.004979938035830855,0.0006709799636155367,0.942894846200943,0.986144632101059,0.0015118656447157264,1.0020552759631445,0.9208544194698334,0.9876131117343903,0.0014589232159778476,0.9851507980232649,0,0,0,0
2,train,CYST_PA69.nii.gz,the liver -> liver,0.9907225370407104,18.397459030151367,0.002283823676407337,0.0014952192432247102,0.9417469799518585,0.9843984842300415,0.0018085919436998665,0.9751905437906154,0.9207486808300018,0.9894914329051971,0.0013078570773359388,1.0082126208946545,0,0,0,0
4,train,HCC_10140276_20170721.nii.gz,liver -> liver organ,0.9665619730949402,35.05427551269531,0.0033415405778214335,0.00046892600221326575,0.8805300295352936,0.9916829466819763,0.0003800791710091289,0.9940542798008518,0.9494665116071701,0.9925784915685654,0.0002820342242557672,0.9913190345708586,0,0,0,0
4,train,HCC_10140276_20170721.nii.gz,liver -> segment the liver,0.652979850769043,113.48493957519531,0.1503563467413187,0.060288308653980494,0.48959977798935217,0.49598897753448323,0.008077844249783084,0.37434521117045416,0.6250231241848736,0.6373739987692164,0.004955399490427226,0.5727936884675715,0,1,0,1
4,train,HCC_10140276_20170721.nii.gz,liver -> the liver,0.9907225370407104,18.397459030151367,0.002897517988458276,0.001899431284982711,0.8722130358219147,0.951423391699791,0.0008195344562409446,1.0973971310453028,0.9465878009796143,0.9871917814016342,0.00047344697668449953,0.991909508178352,0,0,0,0
4,train,HCC_10140276_20170721.nii.gz,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.004828120581805706,0.0009238247730536386,0.8706678599119186,0.9417481869459152,0.0008587401243858039,1.1206443041308378,0.9469938427209854,0.9887273460626602,0.00043306885527272243,0.9916420317954387,0,0,0,0
4,train,HCC_10140276_20170721.nii.gz,the liver -> liver,0.9907225370407104,18.397459030151367,0.002779482980258763,0.001739887782605365,0.8722130358219147,0.951423391699791,0.0008195344562409446,0.9212352828543823,0.9465878009796143,0.9871917814016342,0.00047344697668449953,1.0083363455721788,0,0,0,0
4,train,HEM_PA97.nii.gz,liver -> liver organ,0.9665619730949402,35.05427551269531,0.008925017900764942,0.0034569777781143785,0.9070227444171906,0.923732116818428,0.00143542091245763,0.8714874929928693,0.901986688375473,0.961638793349266,0.0013219450192991644,0.9347801717753693,0,0,0,0
4,train,HEM_PA97.nii.gz,liver -> segment the liver,0.652979850769043,113.48493957519531,0.16899804398417473,0.03814674052409828,0.5759934101216979,0.5819378708330545,0.011568783374968916,0.5010975086243904,0.5713027864779997,0.6004249751652765,0.010635343263857067,0.5265635753230441,0,1,0,1
4,train,HEM_PA97.nii.gz,liver -> the liver,0.9907225370407104,18.397459030151367,0.0028379278955981135,0.001254396207514219,0.9375700950622559,0.9782790988683701,0.0009398636248079129,1.019854498349122,0.9072603732347488,0.973424881696701,0.0011371022919774987,0.9962423064251296,0,0,0,0
4,train,HEM_PA97.nii.gz,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.007480667205527425,0.0010289920901414007,0.9296402186155319,0.9609750211238861,0.0013253635916044004,0.9385007167265232,0.9085406213998795,0.9727211743593216,0.001449654359021224,0.9601566250742517,0,0,0,0
4,train,HEM_PA97.nii.gz,the liver -> liver,0.9907225370407104,18.397459030151367,0.002777234767563641,0.0011839584331028163,0.9375700950622559,0.9782790988683701,0.0009398636248079129,0.9809621958641801,0.9072603732347488,0.973424881696701,0.0011371022919774987,1.0043370353564836,0,0,0,0
3,train,HEM_PA99.nii.gz,liver -> liver organ,0.9665619730949402,35.05427551269531,0.003922807130341728,0.0010463627598558862,0.9564169446627299,0.9909972548484802,0.0007441821411096802,0.9919780841048373,0.9542295734087626,0.9934032758076986,0.000452376048391064,0.9901742045598575,0,0,0,0
3,train,HEM_PA99.nii.gz,liver -> segment the liver,0.652979850769043,113.48493957519531,0.08956576883792877,0.018775162287056446,0.8228107690811157,0.8424972295761108,0.009450622679044804,0.7748236865521654,0.8692478140195211,0.8979726433753967,0.006374345937122901,0.8503006466502973,0,0,0,0
3,train,HEM_PA99.nii.gz,liver -> the liver,0.9907225370407104,18.397459030151367,0.0025220170306662717,0.001785712200216949,0.9509052435557047,0.976841668287913,0.0018282216236305733,1.0452683047408895,0.9520700176556905,0.9894967675209045,0.0007561723662850758,1.0076330409523864,0,0,0,0
3,train,HEM_PA99.nii.gz,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.004972710584600766,0.0008006356656551361,0.9534365733464559,0.9825496872266134,0.0015046911818596225,1.0317165249719036,0.9523357152938843,0.9897086024284363,0.0007366787952681383,1.0075747703507316,0,0,0,0
3,train,HEM_PA99.nii.gz,the liver -> liver,0.9907225370407104,18.397459030151367,0.0024721785448491573,0.0016660011606290936,0.9509052435557047,0.976841668287913,0.0018282216236305733,0.957390991619941,0.9520700176556905,0.9894967675209045,0.0007561723662850758,0.9927837637489966,0,0,0,0
3,val,CYST_PA62.nii.gz,liver -> liver organ,0.9665619730949402,35.05427551269531,0.09303279671197136,0.05171943362802267,0.592561749528007,0.6234279088932612,0.009007224580273032,0.5949307208691937,0.566010686258475,0.628219253073136,0.009878848950999478,0.5854487312594753,0,1,0,0
3,val,CYST_PA62.nii.gz,liver -> segment the liver,0.652979850769043,113.48493957519531,0.24908336997032166,0.10863587136069934,0.3908120307130723,0.3856284432369807,0.017700884801646073,0.31181204093674336,0.4189501206102291,0.4390990734121651,0.016884901250402134,0.38057044796007716,0,1,0,1
3,val,CYST_PA62.nii.gz,liver -> the liver,0.9907225370407104,18.397459030151367,0.0030113373262186847,0.0019119578646495938,0.9229441483815511,0.9725325504938761,0.0014899831730872393,1.0534094276989803,0.8408703605333964,0.9719461997350057,0.0016527552700911958,0.9723658275624868,0,0,0,0
3,val,CYST_PA62.nii.gz,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.017217499669641256,0.005290278641041368,0.8986740907033285,0.9386618137359619,0.0028329910322402916,0.9176326321133988,0.8192215959231058,0.9281741380691528,0.0034490706554303565,0.8863285577595956,0,0,0,0
3,val,CYST_PA62.nii.gz,the liver -> liver,0.9907225370407104,18.397459030151367,0.002951673697680235,0.0017725251382216811,0.9229441483815511,0.9725325504938761,0.0014899831730872393,0.9493947050373855,0.8408703605333964,0.9719461997350057,0.0016527552700911958,1.0291032478301456,0,0,0,0
