num_samples,split,prompt_pair,mean_text_embedding_cosine,mean_text_embedding_delta_norm,mean_state_normalized_mse,mean_intermediate_mask_logit_normalized_mse,mean_intermediate_soft_dice,mean_intermediate_binary_dice,mean_intermediate_probability_mae,mean_intermediate_target_to_source_foreground_ratio,mean_final_soft_dice,mean_final_binary_dice,mean_final_probability_mae,mean_final_target_to_source_foreground_ratio,intermediate_both_empty_count,intermediate_source_to_empty_collapse_count,final_both_empty_count,final_source_to_empty_collapse_count
13,train,liver -> liver organ,0.9665619730949402,35.05427551269531,0.005353965062218217,0.0017010309675242752,0.9158009565793551,0.9690401324859033,0.0010423856270230876,0.9515861951952775,0.9318076372146606,0.9821826265408442,0.0008429542753079799,0.9711147780932764,0,0,0,0
13,train,liver -> segment the liver,0.652979850769043,113.48493957519531,0.13410468227588213,0.03979002483762228,0.6412018415573508,0.6536368052273792,0.010844284498419326,0.5612251070713659,0.6963492303552579,0.721191021117382,0.008387658082378598,0.6591488702771378,0,2,0,2
13,train,liver -> the liver,0.9907225370407104,18.397459030151367,0.002704416965850844,0.0016299489652737975,0.9211801703159626,0.9706255335074204,0.0012414954678836064,1.0504396900475244,0.931776931652656,0.9838415246743423,0.0008712637175519306,0.9968715633078774,0,0,0,0
13,train,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.005701012228830502,0.0008888564905366645,0.9190255174270043,0.9639100890893203,0.0012518630537670106,1.0258338623285728,0.93237337240806,0.9838573932647705,0.000973751974995069,0.9846323488136529,0,0,0,0
13,train,the liver -> liver,0.9907225370407104,18.397459030151367,0.0026316195368193663,0.0015141405254745712,0.9211801703159626,0.9706255335074204,0.0012414954678836064,0.956257229024254,0.931776931652656,0.9838415246743423,0.0008712637175519306,1.00349769667315,0,0,0,0
12,val,liver -> liver organ,0.9665619730949402,35.05427551269531,0.06159558719567334,0.0292796101324105,0.7235790984926513,0.7589948952707944,0.004999889226989278,0.7352501060220767,0.7488474231217711,0.8066221143433285,0.005563622336921981,0.785127961353445,0,2,0,1
12,val,liver -> segment the liver,0.652979850769043,113.48493957519531,0.16499629678825536,0.06110787570166091,0.5299245603359451,0.5378999957164172,0.012027117714751512,0.461721134755297,0.5638322966803874,0.5868646961956417,0.011575219066192707,0.52162387015568,0,3,0,2
12,val,liver -> the liver,0.9907225370407104,18.397459030151367,0.01144237668874363,0.00598062949332719,0.8515554976960024,0.895301177787284,0.0031048584593615183,0.945768332596249,0.8458421106139818,0.9238124961654345,0.002963061876168164,0.9138326019486324,0,0,0,0
12,val,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.041589984127009906,0.016034860692646664,0.8174191417616754,0.8491039526784135,0.003487550055676062,0.8443883983546963,0.8085287064318282,0.877014875412368,0.004131224495116233,0.8609002312795209,0,1,0,1
12,val,the liver -> liver,0.9907225370407104,18.397459030151367,0.014968202410576245,0.008406149844328562,0.8515554976960024,0.895301177787284,0.0031048584593615183,6.909088103978303,0.8458421106139818,0.9238124961654345,0.002963061876168164,1.3228240553410786,0,0,0,0
