variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou
A_uniform_balanced,forward,16,HEM_PA81.nii.gz,full_volume,1127988,275972,13466837,414451,0.7656722663834735,0.8034331462434827,0.7313015295904732,0.6203152092678718
A_uniform_balanced,forward,16,HEM_PA89.nii.gz,full_volume,505145,163320,6921426,153082,0.7615105842199998,0.7556790557471221,0.7674328157307434,0.6148704821513559
A_uniform_balanced,forward,16,HEM_PA101.nii.gz,full_volume,808019,161361,13275031,211779,0.8124149774429438,0.8335420578101467,0.792332403083748,0.6840899489399819
A_uniform_balanced,forward,16,HCC_10020116_20180118.nii.gz,full_volume,234335,86027,2960878,23308,0.8108407366718281,0.7314694002409774,0.9095337346638566,0.6818605057176943
A_uniform_balanced,forward,16,MET_PA13.nii.gz,full_volume,207830,35873,5065755,20270,0.8810033001061884,0.8528003348337936,0.9111354669004822,0.7873153693748982
A_uniform_balanced,forward,16,HCC_10074592_20130816.nii.gz,full_volume,258624,71127,3861738,8511,0.8665775374192056,0.7843008815742788,0.9681397046437195,0.7645671107011724
A_uniform_balanced,forward,16,CYST_PA19.nii.gz,full_volume,244341,34941,5678000,27862,0.8861202027253687,0.8748898962339141,0.8976425682303281,0.7955258771130154
A_uniform_balanced,forward,16,HEM_PA13.nii.gz,full_volume,396090,65226,5744744,38770,0.8839558301048008,0.8586088494654424,0.9108448696132089,0.7920437684718229
A_uniform_balanced,forward,20,HEM_PA81.nii.gz,full_volume,1189285,352820,13389989,353154,0.7711253267906051,0.7712088346772755,0.7710418369867463,0.6275052644519825
A_uniform_balanced,forward,20,HEM_PA89.nii.gz,full_volume,517083,202235,6882511,141144,0.7507311920844691,0.7188517456813259,0.7855694160221321,0.6009364736618236
A_uniform_balanced,forward,20,HEM_PA101.nii.gz,full_volume,830150,193615,13242777,189648,0.8124535431498808,0.8108794498737503,0.8140337596269065,0.6841446399535854
A_uniform_balanced,forward,20,HCC_10020116_20180118.nii.gz,full_volume,238720,94988,2951917,18923,0.8073715948734339,0.715355939923526,0.9265534091747107,0.676968275619557
A_uniform_balanced,forward,20,MET_PA13.nii.gz,full_volume,213981,40343,5061285,14119,0.8871076065867369,0.8413716361806199,0.9381017097764138,0.7971189414512578
A_uniform_balanced,forward,20,HCC_10074592_20130816.nii.gz,full_volume,259907,79006,3853859,7228,0.85771094038756,0.7668841266047629,0.9729425196997773,0.7508703100759517
A_uniform_balanced,forward,20,CYST_PA19.nii.gz,full_volume,246309,38709,5674232,25894,0.8840621584613645,0.8641875249984211,0.9048724665047777,0.7922145172910663
A_uniform_balanced,forward,20,HEM_PA13.nii.gz,full_volume,401485,74377,5735593,33375,0.8816850806283366,0.8437004845942732,0.9232511612932898,0.7884050059206225
A_uniform_balanced,reverse,20,HEM_PA81.nii.gz,full_volume,1204783,363011,13379798,337656,0.774722022433689,0.7684574631616143,0.7810895601057806,0.6322826628880317
A_uniform_balanced,reverse,20,HEM_PA89.nii.gz,full_volume,517482,208484,6876262,140745,0.7477020906766614,0.7128185066518267,0.786175589880087,0.5970640732608679
A_uniform_balanced,reverse,20,HEM_PA101.nii.gz,full_volume,831248,198053,13238339,188550,0.8113302480748856,0.8075849532838305,0.8151104434407599,0.6825531202092867
A_uniform_balanced,reverse,20,HCC_10020116_20180118.nii.gz,full_volume,239218,95556,2951349,18425,0.8076000519904054,0.7145656472724883,0.9284863163369469,0.6772895733000377
A_uniform_balanced,reverse,20,MET_PA13.nii.gz,full_volume,214377,40795,5060833,13723,0.8871898227085369,0.8401274434499083,0.9398377904427883,0.7972517153535766
A_uniform_balanced,reverse,20,HCC_10074592_20130816.nii.gz,full_volume,259939,79682,3853183,7196,0.8568155897922723,0.7653796437793894,0.9730623093192581,0.7494990153308517
A_uniform_balanced,reverse,20,CYST_PA19.nii.gz,full_volume,246401,38938,5674003,25802,0.8838831872755775,0.8635377568436141,0.905210449554193,0.7919271327147499
A_uniform_balanced,reverse,20,HEM_PA13.nii.gz,full_volume,401799,75521,5734449,33061,0.8809642833651253,0.8417811950054471,0.9239732327645679,0.7872530521316429
A0_confidence_rank,forward,4,HEM_PA81.nii.gz,full_volume,1001803,169349,13573460,540636,0.7383596127787865,0.8553996406956569,0.6494927838313217,0.5852377747711749
A0_confidence_rank,forward,4,HEM_PA89.nii.gz,full_volume,483861,138558,6946188,174366,0.7556514446615223,0.7773879010762846,0.7350974663755817,0.6072667030629342
A0_confidence_rank,forward,4,HEM_PA101.nii.gz,full_volume,763646,121720,13314672,256152,0.8016590697703715,0.8625201329167824,0.7488208449124238,0.6689741204256087
A0_confidence_rank,forward,4,HCC_10020116_20180118.nii.gz,full_volume,223119,71259,2975646,34524,0.8083714206524751,0.757933677109023,0.8660006287770287,0.6783753215243447
A0_confidence_rank,forward,4,MET_PA13.nii.gz,full_volume,200864,29607,5072021,27236,0.876043186333196,0.8715369829609799,0.8805962297238054,0.7794277997881315
A0_confidence_rank,forward,4,HCC_10074592_20130816.nii.gz,full_volume,255872,59111,3873754,11263,0.8791069851816986,0.8123359038424296,0.9578377973683718,0.7842916081729737
A0_confidence_rank,forward,4,CYST_PA19.nii.gz,full_volume,240521,29085,5683856,31682,0.8878442403134684,0.8921203534045978,0.8836089242219961,0.798309258915058
A0_confidence_rank,forward,4,HEM_PA13.nii.gz,full_volume,384243,52026,5757944,50617,0.8821724451832048,0.8807478871980361,0.8836016189118336,0.7891847372896325
A0_confidence_rank,forward,8,HEM_PA81.nii.gz,full_volume,1030100,181287,13561522,512339,0.7481227935243548,0.8503475767859486,0.6678384039822645,0.5976007787780656
A0_confidence_rank,forward,8,HEM_PA89.nii.gz,full_volume,488326,143019,6941727,169901,0.7573458480798281,0.7734693392677537,0.7418808405003138,0.6094582687464274
A0_confidence_rank,forward,8,HEM_PA101.nii.gz,full_volume,773142,127757,13308635,246656,0.8050639949976492,0.8581894307796989,0.7581324929054577,0.6737297994431639
A0_confidence_rank,forward,8,HCC_10020116_20180118.nii.gz,full_volume,225822,74006,2972899,31821,0.8101659099755861,0.7531718185092786,0.8764918899407319,0.6809066211567049
A0_confidence_rank,forward,8,MET_PA13.nii.gz,full_volume,202007,30660,5070968,26093,0.8768292868195856,0.8682236844932887,0.8856071898290223,0.7806732106971711
A0_confidence_rank,forward,8,HCC_10074592_20130816.nii.gz,full_volume,256476,61304,3871561,10659,0.8769684484070335,0.8070866637296242,0.9600988264360717,0.7808938646141292
A0_confidence_rank,forward,8,CYST_PA19.nii.gz,full_volume,241352,30128,5682813,30851,0.8878408925789476,0.889023132459113,0.886661792853128,0.7983038457849179
A0_confidence_rank,forward,8,HEM_PA13.nii.gz,full_volume,386883,54444,5755526,47977,0.8831060036270796,0.876635691901923,0.8896725382881847,0.7906802315125158
A0_confidence_rank,forward,12,HEM_PA81.nii.gz,full_volume,1070514,225294,13517515,471925,0.7543487229969766,0.8261362794488072,0.694039764295379,0.6055857983077761
A0_confidence_rank,forward,12,HEM_PA89.nii.gz,full_volume,494665,150029,6934717,163562,0.759316950145097,0.7672864956087694,0.7515112567548885,0.6120152525932377
A0_confidence_rank,forward,12,HEM_PA101.nii.gz,full_volume,786508,137557,13298835,233290,0.8092216375330977,0.8511392596841131,0.7712390100784665,0.6795736830963706
A0_confidence_rank,forward,12,HCC_10020116_20180118.nii.gz,full_volume,229542,78270,2968635,28101,0.8118842348197469,0.7457214143698101,0.8909304735622547,0.6833376499272132
A0_confidence_rank,forward,12,MET_PA13.nii.gz,full_volume,203963,32500,5069128,24137,0.8780854265191158,0.8625577785953827,0.8941823761508111,0.7826669224865694
