variant,order,step,scope,case_count,mean_dice,std_dice,mean_foreground_iou,std_foreground_iou,mean_precision,mean_recall
A0_confidence_rank,forward,4,full_volume,8,0.8286510506093404,0.05676872585473753,0.7113834154937323,0.08154437885120014,0.8387478099004737,0.8256320367652954
A0_confidence_rank,forward,8,full_volume,8,0.830680397251258,0.05426650486957452,0.7140308275916369,0.07834356061175392,0.8345184172408286,0.8332979968418968
A0_confidence_rank,forward,12,full_volume,8,0.8322258813354066,0.05227487971294996,0.716047238508026,0.0756951206083754,0.8257603954438919,0.8442873666985113
A0_confidence_rank,forward,16,full_volume,8,0.8335568926970327,0.05076011337248224,0.7178271781872553,0.07385561091820399,0.8134141623318086,0.8594130709560412
A0_confidence_rank,forward,20,full_volume,8,0.8321980141178377,0.05103040196074227,0.7158512603207813,0.07400136774842604,0.7940864429428065,0.8778664273284214
A0_confidence_rank,reverse,20,full_volume,8,0.831630649163857,0.05110826175410634,0.7150237910224391,0.07402210934270696,0.7910002217981966,0.8802411082958629
A1_world,forward,4,full_volume,8,0.8287772306273499,0.05662782201531712,0.7115498403045594,0.08137556428857722,0.8384664070544323,0.8261217067090392
A1_world,forward,8,full_volume,8,0.8310125106887498,0.053911266039438716,0.7144739070283674,0.07790724478961995,0.8337059078359464,0.8346963128592905
A1_world,forward,12,full_volume,8,0.8326856766430912,0.05164199730348198,0.7166471826753281,0.07490338305982835,0.8242897028938219,0.8466443067056111
A1_world,forward,16,full_volume,8,0.8342486756948564,0.049565331537568036,0.7187040134691629,0.07228048543140454,0.8117077761225606,0.8626831673281615
A1_world,forward,20,full_volume,8,0.8322707266741398,0.05014072284094147,0.7158539492103644,0.07288363196266186,0.7913796699463501,0.8813062394420935
A1_world,reverse,20,full_volume,8,0.831848548830004,0.0501162155225601,0.7152269270752852,0.07276091188676365,0.7883585408778837,0.8839560385921231
A2_joint_product,forward,4,full_volume,8,0.8287216805425215,0.056711344473210655,0.7114794078762985,0.08147780131176487,0.8387158356055862,0.8257891072545114
A2_joint_product,forward,8,full_volume,8,0.8309532123854537,0.05405241561416304,0.7144046595314322,0.07808735077683068,0.8341181124653146,0.8341903975869358
A2_joint_product,forward,12,full_volume,8,0.8326538144533369,0.05201037049097686,0.7166453886722861,0.07538532467253717,0.824445297064217,0.8463761562914234
A2_joint_product,forward,16,full_volume,8,0.8342680387363542,0.05040447247121619,0.7188367691291089,0.07348911175362524,0.8114095901474133,0.8629999035063807
A2_joint_product,forward,20,full_volume,8,0.8326421699346547,0.050365776381415775,0.7164259060088115,0.07316440013603306,0.7911507277536267,0.882328133522615
A2_joint_product,reverse,20,full_volume,8,0.8319390718016679,0.050396691996036885,0.7153920124402124,0.07310448655156808,0.7876122950733352,0.8850261384835605
A_init_no_adaptation,forward,0,full_volume,8,0.827210345128946,0.05847568302805504,0.7095067911304063,0.08369689658629842,0.8411030755678985,0.8208896640357268
A_uniform_balanced,forward,4,full_volume,8,0.828704469836921,0.05667552332257366,0.7114492686681722,0.08142609772262584,0.8385278918833498,0.8259351082849371
A_uniform_balanced,forward,8,full_volume,8,0.8308473985975011,0.05398448842263486,0.7142398444984969,0.07797650119790167,0.8338599498346453,0.8342494116816344
A_uniform_balanced,forward,12,full_volume,8,0.8325654103315869,0.051521154498693836,0.7164536132875186,0.07470001842138396,0.8248108987253988,0.8459673939251148
A_uniform_balanced,forward,16,full_volume,8,0.8335119293842261,0.04925248751756927,0.7175735339672266,0.07167493714508541,0.8118404527686447,0.86104538655707
A_uniform_balanced,forward,20,full_volume,8,0.8315309303702983,0.050217257270690346,0.7147704285532308,0.07283923799418389,0.7915549678167444,0.8795457848855943
A_uniform_balanced,reverse,20,full_volume,8,0.8312759120396442,0.05019512190637362,0.7143900431486306,0.07272959732231586,0.7892815761810148,0.8816182114805478
