variant,step,case,patch_index,loss,gradient_norm,student_parameter_delta_norm,trainable_parameter_count,max_memory_mb
A0_confidence,1,CYST_PA62.nii.gz,0,0.0,2.01472444684523e-14,1.2081592103641015e-05,83578981,0.0
A0_confidence,2,CYST_PA62.nii.gz,1,0.004576559644192457,0.2757062315940857,0.06571097671985626,83578981,0.0
A1_world,1,CYST_PA62.nii.gz,0,0.0,1.6755341688753922e-14,1.2081592103641015e-05,83578981,0.0
A1_world,2,CYST_PA62.nii.gz,1,0.0005681527545675635,0.03902526572346687,0.059949155896902084,83578981,0.0
A2_joint_product,1,CYST_PA62.nii.gz,0,0.0,2.2440858917752333e-14,1.2081592103641015e-05,83578981,0.0
A2_joint_product,2,CYST_PA62.nii.gz,1,2.6859992431127466e-05,0.0018413469661027193,0.03738206624984741,83578981,0.0
