step,split,model,state_normalized_mse,mask_logit_normalized_mse
0,train,identity,0.007079434115439653,0.0012795799411833286
0,train,action_agnostic,0.007079434115439653,0.0012795799411833286
0,train,action_conditioned,0.007079434115439653,0.0012795799411833286
0,train,action_conditioned_wrong_action,0.007079434115439653,0.0012795799411833286
0,val,identity,0.007079434115439653,0.0012795799411833286
0,val,action_agnostic,0.007079434115439653,0.0012795799411833286
0,val,action_conditioned,0.007079434115439653,0.0012795799411833286
0,val,action_conditioned_wrong_action,0.007079434115439653,0.0012795799411833286
30,train,identity,0.007079434115439653,0.0012795799411833286
30,train,action_agnostic,0.006686261855065823,0.0011287509696558118
30,train,action_conditioned,0.00656869076192379,0.0010365215130150318
30,train,action_conditioned_wrong_action,0.00698068318888545,0.001302416087128222
30,val,identity,0.007079434115439653,0.0012795799411833286
30,val,action_agnostic,0.006686261855065823,0.0011287509696558118
30,val,action_conditioned,0.00656869076192379,0.0010365215130150318
30,val,action_conditioned_wrong_action,0.00698068318888545,0.001302416087128222
100,train,identity,0.007079434115439653,0.0012795799411833286
100,train,action_agnostic,0.006521652918308973,0.0010735596297308803
100,train,action_conditioned,0.005368493963032961,0.0004849871911574155
100,train,action_conditioned_wrong_action,0.01019434817135334,0.00283109862357378
100,val,identity,0.007079434115439653,0.0012795799411833286
100,val,action_agnostic,0.006521652918308973,0.0010735596297308803
100,val,action_conditioned,0.005368493963032961,0.0004849871911574155
100,val,action_conditioned_wrong_action,0.01019434817135334,0.00283109862357378
300,train,identity,0.007079434115439653,0.0012795799411833286
300,train,action_agnostic,0.006453005596995354,0.001058627967722714
300,train,action_conditioned,0.004761307034641504,0.00029289544909261167
300,train,action_conditioned_wrong_action,0.01178186759352684,0.003241399535909295
300,val,identity,0.007079434115439653,0.0012795799411833286
300,val,action_agnostic,0.006453005596995354,0.001058627967722714
300,val,action_conditioned,0.004761307034641504,0.00029289544909261167
300,val,action_conditioned_wrong_action,0.01178186759352684,0.003241399535909295
