case,target_prompt,action,n_patches,real_change_rate,predicted_change_rate,change_direction_cosine,relative_target_nmse,correct_nmse_improvement_vs_source_pct,correct_nmse_improvement_vs_wrong_spleen_pct,correct_nmse_improvement_vs_wrong_left_kidney_pct,correct_nmse_improvement_vs_wrong_right_kidney_pct
CYST_PA62.nii.gz,hepatic organ,correct_action,4,0.18167230673134327,0.1758031789213419,0.9666379541158676,0.003347546633449383,91.63381661304172,90.8302461784891,87.68482686108788,80.38089458711646
CYST_PA62.nii.gz,hepatic organ,source_identity,4,0.18167230673134327,0.0,,0.04001282877288759,,,,
CYST_PA62.nii.gz,hepatic organ,wrong_left_kidney,4,0.18167230673134327,0.07678144611418247,0.5788227468729019,0.0271822945214808,,,,
CYST_PA62.nii.gz,hepatic organ,wrong_right_kidney,4,0.18167230673134327,0.09797628689557314,0.8017273843288422,0.01706268743146211,,,,
CYST_PA62.nii.gz,hepatic organ,wrong_spleen,4,0.18167230673134327,0.06607283279299736,0.3095474112778902,0.03650639590341598,,,,
CYST_PA62.nii.gz,human liver,correct_action,4,0.13844913430511951,0.13889244198799133,0.9608129858970642,0.0016599858790868893,92.56901357059954,91.8520553617976,84.26365334986724,91.66338208092866
CYST_PA62.nii.gz,human liver,source_identity,4,0.13844913430511951,0.0,,0.02233870152849704,,,,
CYST_PA62.nii.gz,human liver,wrong_left_kidney,4,0.13844913430511951,0.07678144611418247,0.743096798658371,0.010548737365752459,,,,
CYST_PA62.nii.gz,human liver,wrong_right_kidney,4,0.13844913430511951,0.09797628689557314,0.40450938045978546,0.019911982235498726,,,,
CYST_PA62.nii.gz,human liver,wrong_spleen,4,0.13844913430511951,0.06607283279299736,0.38943420350551605,0.02037306281272322,,,,
CYST_PA62.nii.gz,the liver,correct_action,4,0.0728282779455185,0.07184857875108719,0.9177626222372055,0.0007538961071986705,87.51522733504152,57.23470823319275,88.83823174848385,93.62594611073939
CYST_PA62.nii.gz,the liver,source_identity,4,0.0728282779455185,0.0,,0.006038524908944964,,,,
CYST_PA62.nii.gz,the liver,wrong_left_kidney,4,0.0728282779455185,0.07678144611418247,0.4649907723069191,0.0067542712786234915,,,,
CYST_PA62.nii.gz,the liver,wrong_right_kidney,4,0.0728282779455185,0.09797628689557314,0.3575396463274956,0.011827576614450663,,,,
CYST_PA62.nii.gz,the liver,wrong_spleen,4,0.0728282779455185,0.06607283279299736,0.7986250966787338,0.0017628690839046612,,,,
HCC_10020116_20180118.nii.gz,hepatic organ,correct_action,4,0.27661557868123055,0.28597335144877434,0.985340878367424,0.0031778832781128585,96.16491974249705,96.1055288494187,93.38716906011894,90.11893618142005
HCC_10020116_20180118.nii.gz,hepatic organ,source_identity,4,0.27661557868123055,0.0,,0.08286354038864374,,,,
HCC_10020116_20180118.nii.gz,hepatic organ,wrong_left_kidney,4,0.27661557868123055,0.12189465202391148,0.5716720521450043,0.04805632121860981,,,,
HCC_10020116_20180118.nii.gz,hepatic organ,wrong_right_kidney,4,0.27661557868123055,0.14492050372064114,0.7675293534994125,0.032161347568035126,,,,
HCC_10020116_20180118.nii.gz,hepatic organ,wrong_spleen,4,0.27661557868123055,0.09058396704494953,0.17773273214697838,0.08159986697137356,,,,
HCC_10020116_20180118.nii.gz,human liver,correct_action,4,0.21172572299838066,0.2246343046426773,0.9816528260707855,0.0027707073895726353,94.05603958615191,93.82851164349078,83.51695713751454,91.41488736857491
HCC_10020116_20180118.nii.gz,human liver,source_identity,4,0.21172572299838066,0.0,,0.04661382641643286,,,,
HCC_10020116_20180118.nii.gz,human liver,wrong_left_kidney,4,0.21172572299838066,0.12189465202391148,0.7960902452468872,0.01680944114923477,,,,
HCC_10020116_20180118.nii.gz,human liver,wrong_right_kidney,4,0.21172572299838066,0.14492050372064114,0.4618251100182533,0.03227339591830969,,,,
HCC_10020116_20180118.nii.gz,human liver,wrong_spleen,4,0.21172572299838066,0.09058396704494953,0.2563546299934387,0.0448952866718173,,,,
HCC_10020116_20180118.nii.gz,the liver,correct_action,4,0.10661186277866364,0.10628809593617916,0.9741868227720261,0.0005985703028272837,94.78271013750901,76.24248425248916,97.24966621909356,97.92180919903018
HCC_10020116_20180118.nii.gz,the liver,source_identity,4,0.10661186277866364,0.0,,0.011472820537164807,,,,
HCC_10020116_20180118.nii.gz,the liver,wrong_left_kidney,4,0.10661186277866364,0.12189465202391148,0.42237912118434906,0.021763551281765103,,,,
HCC_10020116_20180118.nii.gz,the liver,wrong_right_kidney,4,0.10661186277866364,0.14492050372064114,0.3864085413515568,0.028802471002563834,,,,
HCC_10020116_20180118.nii.gz,the liver,wrong_spleen,4,0.10661186277866364,0.09058396704494953,0.8957285135984421,0.0025194987101713195,,,,
HEM_PA101.nii.gz,hepatic organ,correct_action,4,0.1680384110659361,0.17341374047100544,0.9757885634899139,0.0017108264219132252,94.67840005096116,94.44530880971494,92.51896157598469,89.07604445517654
HEM_PA101.nii.gz,hepatic organ,source_identity,4,0.1680384110659361,0.0,,0.032148722908459604,,,,
HEM_PA101.nii.gz,hepatic organ,wrong_left_kidney,4,0.1680384110659361,0.07499297708272934,0.5734117329120636,0.022868836182169616,,,,
HEM_PA101.nii.gz,hepatic organ,wrong_right_kidney,4,0.1680384110659361,0.09313200041651726,0.7929870933294296,0.015661235665902495,,,,
HEM_PA101.nii.gz,hepatic organ,wrong_spleen,4,0.1680384110659361,0.0646546958014369,0.29628703370690346,0.0307996675837785,,,,
HEM_PA101.nii.gz,human liver,correct_action,4,0.13645135797560215,0.1382445227354765,0.9687018543481827,0.001230521585966926,94.30863239926454,93.82766701052523,88.11067280020421,93.85750064023473
HEM_PA101.nii.gz,human liver,source_identity,4,0.13645135797560215,0.0,,0.021620841813273728,,,,
HEM_PA101.nii.gz,human liver,wrong_left_kidney,4,0.13645135797560215,0.07499297708272934,0.7403109520673752,0.010349799995310605,,,,
HEM_PA101.nii.gz,human liver,wrong_right_kidney,4,0.13645135797560215,0.09313200041651726,0.38189227879047394,0.02003291354048997,,,,
HEM_PA101.nii.gz,human liver,wrong_spleen,4,0.13645135797560215,0.0646546958014369,0.38200603425502777,0.019936085562221706,,,,
HEM_PA101.nii.gz,the liver,correct_action,4,0.07460489589720964,0.07136422488838434,0.9168404340744019,0.0005766651302110404,90.9308789253026,62.34693681313878,90.91726519440346,94.11995284178
