case,target_prompt,source_dice,source_iou,real_target_dice,real_target_iou,wp_dice,wp_iou,wp_dice_absolute_improvement,wp_iou_absolute_improvement,wp_dice_relative_improvement_pct,wp_iou_relative_improvement_pct,sliding_window_tiles
CYST_PA62.nii.gz,the liver,0.42961671106129656,0.27357442866809983,0.41792073883949116,0.2641591664206341,0.41306282246552317,0.26028933489813033,-0.01655388859577339,-0.013285093769969503,-3.8531761380696214,-4.856116792292368,50
CYST_PA62.nii.gz,human liver,0.42961671106129656,0.27357442866809983,0.3120650753699091,0.18487980242386914,0.354868401052927,0.2157082152455763,-0.07474831000836957,-0.057866213422523544,-17.39883670346908,-21.15190871612009,50
CYST_PA62.nii.gz,hepatic organ,0.42961671106129656,0.27357442866809983,0.3032600332480727,0.17873100132641717,0.3990083627224306,0.24922576322820408,-0.030608348338865943,-0.02434866543989575,-7.124571170253856,-8.900197857832511,50
HEM_PA29.nii.gz,the liver,0.5214484828632967,0.3526752208628763,0.5029523750017799,0.3359628421990984,0.5104568990721456,0.3426936076936663,-0.01099158379115106,-0.00998161316920998,-2.1078944809266273,-2.830256445232633,70
HEM_PA29.nii.gz,human liver,0.5214484828632967,0.3526752208628763,0.44703690401136975,0.28786060993086166,0.4657197456500389,0.3035428138566438,-0.05572873721325783,-0.049132407006232504,-10.687294918809403,-13.931346490978928,70
HEM_PA29.nii.gz,hepatic organ,0.5214484828632967,0.3526752208628763,0.47900781962113487,0.31493115204698346,0.5023772759632108,0.33544982184104644,-0.019071206900085902,-0.017225399021829846,-3.657352073471393,-4.884210174926709,70
HEP_PA28.nii.gz,the liver,0.5517448400074837,0.380972120969607,0.46118399641042757,0.29970054596175394,0.5339048234809203,0.36416791490208983,-0.017840016526563418,-0.016804206067517147,-3.2333816708320176,-4.4108755319809205,28
HEP_PA28.nii.gz,human liver,0.5517448400074837,0.380972120969607,0.43281573027291104,0.27617411598212244,0.4207524379198854,0.2664258904194517,-0.13099240208759827,-0.11454623055015528,-23.74148203829537,-30.066827530220642,28
HEP_PA28.nii.gz,hepatic organ,0.5517448400074837,0.380972120969607,0.37619577200241694,0.23167557117793078,0.4769888194518128,0.3131879959542901,-0.07475602055567088,-0.06778412501531689,-13.549020332416141,-17.792410857466532,28
HEM_PA107.nii.gz,the liver,0.6244901943857343,0.4540063559248112,0.6150129382770773,0.44405681126872526,0.6156091072749864,0.44467867457815763,-0.008881087110747865,-0.009327681346653571,-1.4221339567202567,-2.0545265996668878,50
HEM_PA107.nii.gz,human liver,0.6244901943857343,0.4540063559248112,0.5924284802942454,0.42088694748394617,0.5806146708747819,0.40906063981418694,-0.04387552351095236,-0.044945716110624256,-7.025814641350699,-9.899798873755811,50
HEM_PA107.nii.gz,hepatic organ,0.6244901943857343,0.4540063559248112,0.6220172359391334,0.45139696385324557,0.6168063799414273,0.44592916783071457,-0.007683814444306991,-0.008077188094096632,-1.2304139461893397,-1.7790914133004583,50
HEM_PA81.nii.gz,the liver,0.7317285005424645,0.5769494156854073,0.719663195009966,0.5620889692502311,0.71792937932083,0.5599764691125418,-0.013799121221634514,-0.01697294657286541,-1.8858253042494013,-2.941843099485906,60
HEM_PA81.nii.gz,human liver,0.7317285005424645,0.5769494156854073,0.6623795077007221,0.49519240435839756,0.6555953824085983,0.48764737477855885,-0.07613311813386625,-0.0893020409068484,-10.40455825861986,-15.478313779165358,60
HEM_PA81.nii.gz,hepatic organ,0.7317285005424645,0.5769494156854073,0.6734663100919247,0.5076888097268103,0.6976373103300245,0.5356705285428802,-0.034091190212440003,-0.04127888714252703,-4.658994447690176,-7.154680465962226,60
HEM_PA89.nii.gz,the liver,0.7542031090342237,0.6053981307093931,0.7390477543722751,0.5861028892528727,0.7391906046057733,0.5862825953757091,-0.015012504428450368,-0.01911553533368393,-1.9905121377282922,-3.1575147599621327,35
HEM_PA89.nii.gz,human liver,0.7542031090342237,0.6053981307093931,0.725149330008393,0.5688111926185069,0.7160828304454014,0.5577328876237814,-0.038120278588822276,-0.04766524308561171,-5.054378340820719,-7.873371367988625,35
HEM_PA89.nii.gz,hepatic organ,0.7542031090342237,0.6053981307093931,0.7202364201591166,0.5627886521420632,0.7396025224909323,0.5868010176858235,-0.014600586543291438,-0.01859711302356959,-1.9358958307647207,-3.0718814743907243,35
HEM_PA101.nii.gz,the liver,0.7989083258622078,0.6651518306758097,0.7955471129189855,0.6605049657417552,0.794244931405472,0.6587116671475335,-0.004663394456735803,-0.006440163528276255,-0.5837208482841778,-0.9682245814061579,60
HEM_PA101.nii.gz,human liver,0.7989083258622078,0.6651518306758097,0.7474423123827189,0.5967328449395322,0.7421502571492181,0.5900150326916135,-0.05675806871298972,-0.07513679798419626,-7.104453274001691,-11.296187504716858,60
HEM_PA101.nii.gz,hepatic organ,0.7989083258622078,0.6651518306758097,0.7587256680195488,0.6112473677023715,0.7682915985262464,0.6237609466713041,-0.030616727335961436,-0.041390884004505635,-3.8323204734308995,-6.222772319885451,60
HCC_10020116_20180118.nii.gz,the liver,0.8074242642330026,0.6770423378719607,0.8090398363790708,0.6793172946434836,0.8041344992458298,0.67242887995244,-0.0032897649871728163,-0.004613457919520614,-0.40743945072023147,-0.6814135042162003,12
HCC_10020116_20180118.nii.gz,human liver,0.8074242642330026,0.6770423378719607,0.793211236041924,0.657290869563935,0.8025149975568646,0.6701670550525648,-0.004909266676138002,-0.006875282819395867,-0.6080157475576322,-1.015487870523112,12
HCC_10020116_20180118.nii.gz,hepatic organ,0.8074242642330026,0.6770423378719607,0.7949993082638553,0.6597500845567958,0.7976174763652378,0.6633641629738016,-0.009806787867764788,-0.013678174898159035,-1.21457680951421,-2.0202835381242865,12
