variant,step,case,patch_index,loss,gradient_norm,student_parameter_delta_norm,update_delta_norm,weight_decay,training_patch_kind,trainable_parameter_count,peak_cuda_allocated_mb,peak_cuda_reserved_mb
A0_confidence_rank,1,CYST_PA62.nii.gz,1,0.0001591159525560215,0.00991043634712696,0.07325273752212524,0.07325273752212524,0.0,foreground,83578981,11967.53515625,15474.0
A0_confidence_rank,2,HEM_PA107.nii.gz,1,0.00039205647772178054,0.07576972991228104,0.0901198461651802,0.06036617234349251,0.0,foreground,83578981,12897.39599609375,15474.0
A0_confidence_rank,3,HEM_PA29.nii.gz,1,0.0002513278741389513,0.04482802003622055,0.12148483842611313,0.05648893490433693,0.0,foreground,83578981,12897.39599609375,15474.0
A0_confidence_rank,4,HEP_PA28.nii.gz,1,0.005073503591120243,0.4523255527019501,0.12537164986133575,0.04507739096879959,0.0,foreground,83578981,12898.18505859375,15474.0
A1_world,1,CYST_PA62.nii.gz,1,0.0005615525878965855,0.04457784816622734,0.08338265866041183,0.08338265866041183,0.0,foreground,83578981,12898.18505859375,15474.0
A1_world,2,HEM_PA107.nii.gz,1,0.000497399945743382,0.06643230468034744,0.12160421162843704,0.05808419734239578,0.0,foreground,83578981,12898.18505859375,15474.0
A1_world,3,HEM_PA29.nii.gz,1,0.0013968261191621423,0.10882727801799774,0.14512617886066437,0.05032201111316681,0.0,foreground,83578981,12898.18505859375,15474.0
A1_world,4,HEP_PA28.nii.gz,1,0.0010127638233825564,0.09041767567396164,0.1635424643754959,0.04114004224538803,0.0,foreground,83578981,12898.18505859375,15474.0
A2_joint_product,1,CYST_PA62.nii.gz,1,2.616749407025054e-05,0.0020494982600212097,0.05734109878540039,0.05734109878540039,0.0,foreground,83578981,12898.18505859375,15474.0
A2_joint_product,2,HEM_PA107.nii.gz,1,1.2510986380220857e-05,0.0009106333600357175,0.09184512495994568,0.03830346465110779,0.0,foreground,83578981,12898.18505859375,15474.0
A2_joint_product,3,HEM_PA29.nii.gz,1,2.933874748123344e-05,0.003290962427854538,0.11401195824146271,0.0397552065551281,0.0,foreground,83578981,12898.18505859375,15474.0
A2_joint_product,4,HEP_PA28.nii.gz,1,1.6728912669350393e-05,0.002963236067444086,0.13293856382369995,0.032141346484422684,0.0,foreground,83578981,12898.18505859375,15474.0
