variant,order,step,case,case_count,patch_count,tp,fp,tn,fn,dice,precision,recall,delta_dice_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A0_confidence_rank,forward,4,__global__,4,8,966184,218877,54857968,580075,0.7074850255554092,0.8153031784861707,0.624852628181954,-0.001153053085970579,0.00028882456402667955,-0.0019718559439265704
A0_confidence_rank,reverse,4,__global__,4,8,968451,219480,54857365,577808,0.7084006597932112,0.8152417943466413,0.6263187473767331,-0.00023741884816852465,0.00022744042449729385,-0.0005057367491474452
A1_world,forward,4,__global__,4,8,964380,218604,54858241,581879,0.7067014553119675,0.8152096731654866,0.6236859413591126,-0.001936623329412246,0.00019531924334259543,-0.003138542766767949
A1_world,reverse,4,__global__,4,8,968173,219633,54857212,578086,0.7082296872971199,0.8150935422114386,0.6261389586091334,-0.0004083913442598508,7.918828929454058e-05,-0.0006855255167471652
A2_joint_product,forward,4,__global__,4,8,961070,217615,54859230,585189,0.7053869730900892,0.8153747608563781,0.6215452909247415,-0.0032511055512904896,0.0003604069342340033,-0.00527919320113901
A2_joint_product,reverse,4,__global__,4,8,961940,217681,54859164,584319,0.7057830865628715,0.8154653062297128,0.6221079392262228,-0.002854992078508256,0.0004509523075687527,-0.004716544899657782
A_init_no_adaptation,forward,0,__global__,4,8,969233,219989,54856856,577026,0.7086380786413797,0.815014353922144,0.6268244841258805,,,
