split,case,patch_index,patch_kind,source_prompt,target_prompt,prompt_pair,text_embedding_cosine,text_embedding_delta_norm,text_embedding_source_norm,text_embedding_target_norm,state_normalized_mse,intermediate_mask_logit_normalized_mse,intermediate_soft_dice,intermediate_binary_dice,intermediate_probability_mae,intermediate_source_probability_mean,intermediate_target_probability_mean,intermediate_source_foreground_voxels,intermediate_target_foreground_voxels,intermediate_target_to_source_foreground_ratio,intermediate_both_empty,intermediate_source_to_empty_collapse,final_soft_dice,final_binary_dice,final_probability_mae,final_source_probability_mean,final_target_probability_mean,final_source_foreground_voxels,final_target_foreground_voxels,final_target_to_source_foreground_ratio,final_both_empty,final_source_to_empty_collapse
train,HEM_PA99.nii.gz,0,context,liver,the liver,liver -> the liver,0.9907225370407104,18.397459030151367,134.92428588867188,135.1717529296875,0.00014445136184804142,4.1381208575330675e-05,0.9892430305480957,1.0,8.180793960007107e-14,3.5502387162912596e-13,4.315717705080657e-13,0.0,0.0,0.0,1,0,0.9967364072799683,1.0,3.683373063716568e-17,2.1289191100413616e-16,2.4971312143555024e-16,0.0,0.0,0.0,1,0
train,HEM_PA99.nii.gz,0,context,the liver,liver,the liver -> liver,0.9907225370407104,18.397459030151367,135.1717529296875,134.92428588867188,0.00014393762103281915,4.104684921912849e-05,0.9892430305480957,1.0,8.180793960007107e-14,4.315717705080657e-13,3.5502387162912596e-13,0.0,0.0,0.0,1,0,0.9967364072799683,1.0,3.683373063716568e-17,2.4971312143555024e-16,2.1289191100413616e-16,0.0,0.0,0.0,1,0
train,HEM_PA99.nii.gz,0,context,liver,liver organ,liver -> liver organ,0.9665619730949402,35.05427551269531,134.92428588867188,136.0437469482422,0.000250958779361099,2.796433363982942e-05,0.9901283979415894,1.0,4.5492537010692266e-14,3.5502387162912596e-13,3.6618757613855746e-13,0.0,0.0,0.0,1,0,0.9970152378082275,1.0,2.3600718536307735e-17,2.1289191100413616e-16,2.1007478530068676e-16,0.0,0.0,0.0,1,0
train,HEM_PA99.nii.gz,0,context,liver,the liver organ,liver -> the liver organ,0.9619531035423279,37.39681625366211,134.92428588867188,136.0858917236328,0.00034854665864259005,0.00011595558316912502,0.9883370399475098,1.0,1.6492827882488154e-13,3.5502387162912596e-13,4.986055513779564e-13,0.0,0.0,0.0,1,0,0.9964176416397095,1.0,8.22100995673013e-17,2.1289191100413616e-16,2.950636360084599e-16,0.0,0.0,0.0,1,0
train,HEM_PA99.nii.gz,0,context,liver,segment the liver,liver -> segment the liver,0.652979850769043,113.48493957519531,134.92428588867188,137.46250915527344,0.003435999620705843,0.0005899534444324672,0.9911252856254578,1.0,1.0854567976869775e-13,3.5502387162912596e-13,2.9270520469221184e-13,0.0,0.0,0.0,1,0,0.9923127293586731,1.0,6.699351927632528e-16,2.1289191100413616e-16,8.816281551003301e-16,0.0,0.0,0.0,1,0
train,HEM_PA99.nii.gz,1,foreground,liver,the liver,liver -> the liver,0.9907225370407104,18.397459030151367,134.92428588867188,135.1717529296875,0.002723502926528454,0.0019781675655394793,0.9527974724769592,0.9833934903144836,0.00196186569519341,0.04904129356145859,0.05074679106473923,682.0,703.0,1.030791788856305,0,0,0.9587623476982117,0.9926899671554565,0.0006809696205891669,0.04128680005669594,0.04082571342587471,292766.0,289722.0,0.9896026177903172,0,0
train,HEM_PA99.nii.gz,1,foreground,the liver,liver,the liver -> liver,0.9907225370407104,18.397459030151367,135.1717529296875,134.92428588867188,0.0026582577265799046,0.0018381631234660745,0.9527974724769592,0.9833934903144836,0.00196186569519341,0.05074679106473923,0.04904129356145859,703.0,682.0,0.9701280227596017,0,0,0.9587623476982117,0.9926899671554565,0.0006809696205891669,0.04082571342587471,0.04128680005669594,289722.0,292766.0,1.0105066235908906,0,0
train,HEM_PA99.nii.gz,1,foreground,liver,liver organ,liver -> liver organ,0.9665619730949402,35.05427551269531,134.92428588867188,136.0437469482422,0.003718768712133169,0.0010518264025449753,0.956658124923706,0.9948717951774597,0.0008834603358991444,0.04904129356145859,0.04902765154838562,682.0,683.0,1.001466275659824,0,0,0.960787296295166,0.9965957403182983,0.00030255073215812445,0.04128680005669594,0.04104902222752571,292766.0,291204.0,0.9946646810080405,0,0
train,HEM_PA99.nii.gz,1,foreground,liver,the liver organ,liver -> the liver organ,0.9619531035423279,37.39681625366211,134.92428588867188,136.0858917236328,0.0049102031625807285,0.0007844649953767657,0.9548590779304504,0.9876722097396851,0.0015083871548995376,0.04904129356145859,0.05040925741195679,682.0,697.0,1.0219941348973607,0,0,0.9590447545051575,0.9933262467384338,0.0006198615883477032,0.04128680005669594,0.04080419987440109,292766.0,289516.0,0.9888989841716592,0,0
train,HEM_PA99.nii.gz,1,foreground,liver,segment the liver,liver -> segment the liver,0.652979850769043,113.48493957519531,134.92428588867188,137.46250915527344,0.08724159747362137,0.022962184622883797,0.8844751119613647,0.9244992136955261,0.008305339142680168,0.04904129356145859,0.04344053193926811,682.0,616.0,0.9032258064516129,0,0,0.918971598148346,0.9492968320846558,0.004735198803246021,0.04128680005669594,0.038561515510082245,292766.0,277060.0,0.9463530601231017,0,0
val,CYST_PA62.nii.gz,0,context,liver,the liver,liver -> the liver,0.9907225370407104,18.397459030151367,134.92428588867188,135.1717529296875,0.00030149685335345566,9.627990948501974e-05,0.9994441270828247,1.0,6.211448879794553e-15,1.70340426334549e-14,2.319323762721686e-14,0.0,0.0,0.0,1,0,0.9993587732315063,1.0,1.1260191303002652e-17,3.97018933844096e-17,5.095708520778998e-17,0.0,0.0,0.0,1,0
val,CYST_PA62.nii.gz,0,context,the liver,liver,the liver -> liver,0.9907225370407104,18.397459030151367,135.1717529296875,134.92428588867188,0.0002991445944644511,9.495832637185231e-05,0.9994441270828247,1.0,6.211448879794553e-15,2.319323762721686e-14,1.70340426334549e-14,0.0,0.0,0.0,1,0,0.9993587732315063,1.0,1.1260191303002652e-17,5.095708520778998e-17,3.97018933844096e-17,0.0,0.0,0.0,1,0
val,CYST_PA62.nii.gz,0,context,liver,liver organ,liver -> liver organ,0.9665619730949402,35.05427551269531,134.92428588867188,136.0437469482422,0.0006095038261264563,8.018436346901581e-05,0.9994966387748718,1.0,4.035108259624245e-15,1.70340426334549e-14,1.9397771081996855e-14,0.0,0.0,0.0,1,0,0.9993937611579895,1.0,8.988242970494093e-18,3.97018933844096e-17,4.6001336970143936e-17,0.0,0.0,0.0,1,0
val,CYST_PA62.nii.gz,0,context,liver,the liver organ,liver -> the liver organ,0.9619531035423279,37.39681625366211,134.92428588867188,136.0858917236328,0.0007975127082318068,0.0003606929676607251,0.9993582963943481,1.0,1.2593647743294311e-14,1.70340426334549e-14,2.9416268412015695e-14,0.0,0.0,0.0,1,0,0.9992005228996277,1.0,3.368735396269568e-17,3.97018933844096e-17,7.334609829763206e-17,0.0,0.0,0.0,1,0
val,CYST_PA62.nii.gz,0,context,liver,segment the liver,liver -> segment the liver,0.652979850769043,113.48493957519531,134.92428588867188,137.46250915527344,0.007353450171649456,0.001241439487785101,0.9994750618934631,1.0,1.0217131638347657e-14,1.70340426334549e-14,2.0957528044257025e-14,0.0,0.0,0.0,1,0,0.9979137778282166,1.0,2.1744820710653545e-16,3.97018933844096e-17,2.556604838653575e-16,0.0,0.0,0.0,1,0
val,CYST_PA62.nii.gz,1,foreground,liver,the liver,liver -> the liver,0.9907225370407104,18.397459030151367,134.92428588867188,135.1717529296875,0.0022146066185086966,0.001598040689714253,0.9266624450683594,0.9759383797645569,0.0018050307407975197,0.036903295665979385,0.03817659988999367,508.0,531.0,1.045275590551181,0,0,0.890296220779419,0.9769734144210815,0.0016270485939458013,0.03417900949716568,0.03347397968173027,242921.0,238001.0,0.9797465019491933,0,0
val,CYST_PA62.nii.gz,1,foreground,the liver,liver,the liver -> liver,0.9907225370407104,18.397459030151367,135.1717529296875,134.92428588867188,0.0021688402630388737,0.001491830567829311,0.9266624450683594,0.9759383797645569,0.0018050307407975197,0.03817659988999367,0.036903295665979385,531.0,508.0,0.9566854990583804,0,0,0.890296220779419,0.9769734144210815,0.0016270485939458013,0.03347397968173027,0.03417900949716568,238001.0,242921.0,1.0206721820496552,0,0
val,CYST_PA62.nii.gz,1,foreground,liver,liver organ,liver -> liver organ,0.9665619730949402,35.05427551269531,134.92428588867188,136.0437469482422,0.00344530725851655,0.0008257674053311348,0.9285107254981995,0.9871668219566345,0.0010018364991992712,0.036903295665979385,0.03644641116261482,508.0,505.0,0.9940944881889764,0,0,0.8946762084960938,0.9840590953826904,0.0011352861765772104,0.03417900949716568,0.033438488841056824,242921.0,238168.0,0.9804339682448203,0,0
val,CYST_PA62.nii.gz,1,foreground,liver,the liver organ,liver -> the liver organ,0.9619531035423279,37.39681625366211,134.92428588867188,136.0858917236328,0.0043608867563307285,0.0006648606504313648,0.9263623356819153,0.9728682041168213,0.0017708978848531842,0.036903295665979385,0.03773049637675285,508.0,524.0,1.031496062992126,0,0,0.8893494009971619,0.9735040664672852,0.0018789249006658792,0.03417900949716568,0.033356811851263046,242921.0,237153.0,0.9762556551306804,0,0
val,CYST_PA62.nii.gz,1,foreground,liver,segment the liver,liver -> segment the liver,0.652979850769043,113.48493957519531,134.92428588867188,137.46250915527344,0.08021403104066849,0.014967059716582298,0.772824764251709,0.7940161228179932,0.012783092446625233,0.036903295665979385,0.026106225326657295,508.0,361.0,0.7106299212598425,0,0,0.7682291269302368,0.8009166717529297,0.0113862669095397,0.03417900949716568,0.025336433202028275,242921.0,177722.0,0.7316041017450118,0,0
