num_samples,split,case,prompt_pair,mean_text_embedding_cosine,mean_text_embedding_delta_norm,mean_state_normalized_mse,mean_intermediate_mask_logit_normalized_mse,mean_intermediate_soft_dice,mean_intermediate_binary_dice,mean_intermediate_probability_mae,mean_final_soft_dice,mean_final_binary_dice,mean_final_probability_mae
4,train,HCC_10140276_20170721.nii.gz,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.0077298987889662385,0.001165745925391093,0.874392032623291,0.9525054097175598,0.000573637993511511,0.9482075721025467,0.9863733053207397,0.0004621038842742564
4,train,HCC_10140276_20170721.nii.gz,liver -> human liver,0.961371898651123,37.537567138671875,0.006707035703584552,0.002324656437849626,0.8554578572511673,0.9067698866128922,0.0013780950102955103,0.9381992965936661,0.9659493565559387,0.0012039586217724718
4,train,HCC_10140276_20170721.nii.gz,liver -> the liver,0.9906747937202454,18.447200775146484,0.002894886245485395,0.0018857321556424722,0.8729301691055298,0.9517769664525986,0.0008147472544806078,0.9465813189744949,0.9872221946716309,0.0004722364010376623
4,train,HEM_PA99.nii.gz,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.006796602756367065,0.0014471585436695023,0.963647335767746,0.9919158071279526,0.0007296541807864447,0.9642928093671799,0.9921958595514297,0.0005512389470823185
4,train,HEM_PA99.nii.gz,liver -> human liver,0.961371898651123,37.537567138671875,0.006415324089175556,0.0022586057857552078,0.9575083553791046,0.9792090058326721,0.0015229158161794648,0.9584207683801651,0.9819863140583038,0.0012258487404324184
4,train,HEM_PA99.nii.gz,liver -> the liver,0.9906747937202454,18.447200775146484,0.0019302847613289487,0.0013372173862080672,0.9606058746576309,0.9831611961126328,0.0013516598701448384,0.963294193148613,0.9921979159116745,0.0005631320018437776
4,val,CYST_PA62.nii.gz,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.26973741652909666,0.1288254339087871,0.4818460361208516,0.4941291526971804,0.012361061177219017,0.473052546385133,0.49391087889957264,0.012629682489205155
4,val,CYST_PA62.nii.gz,liver -> human liver,0.961371898651123,37.537567138671875,0.15173885940748733,0.08582606314666918,0.5952877113795395,0.6068092296056459,0.010572198079900074,0.5950717479008917,0.6187138408438434,0.010843028663657609
4,val,CYST_PA62.nii.gz,liver -> the liver,0.9906747937202454,18.447200775146484,0.002326410176465288,0.0014358404332597274,0.9421805292367935,0.9801965206861496,0.0011023330444019722,0.8805498778820038,0.9790452867746353,0.001235331030329692
4,val,HEM_PA29.nii.gz,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.005746367256506346,0.0014472962466243189,0.9465577751398087,0.986006498336792,0.0004909609854130956,0.9620635509490967,0.9900817424058914,0.00042557508277249554
4,val,HEM_PA29.nii.gz,liver -> human liver,0.961371898651123,37.537567138671875,0.005120852685649879,0.001807306136470288,0.9466083347797394,0.9812924265861511,0.0007761527377627424,0.9563770443201065,0.9801941812038422,0.0008285575895571118
4,val,HEM_PA29.nii.gz,liver -> the liver,0.9906747937202454,18.447200775146484,0.0020240246667526662,0.0010835299017344369,0.9464484304189682,0.9804340749979019,0.0007415589062321408,0.9636257141828537,0.9935840666294098,0.00029818224720662325
