variant,epoch,case_position,step,case,patch_count,mean_patch_loss,gradient_norm,update_delta_norm,learning_rate,weight_decay,optimizer_updates,base_trainable_parameters,lora_trainable_parameters
C_uncertainty_weighted_soft_pseudo,1,10,10,HCC_10081574_20140213.nii.gz,12,0.06306947239985068,0.022036205977201462,0.016496771946549416,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,11,11,FNH_PA10.nii.gz,20,0.039010344352573154,0.001779761747457087,0.014841311611235142,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,12,12,HEM_PA66.nii.gz,3,0.027558322064578533,0.0019315294921398163,0.013358891941606998,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,13,13,CYST_PA54.nii.gz,2,0.03699170518666506,0.00417895894497633,0.012156566604971886,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,14,14,CYST_PA56.nii.gz,20,0.03985343184322119,0.005739343818277121,0.011204089038074017,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,15,15,HCC_10140276_20170721.nii.gz,15,0.19404376484453678,24.299272537231445,0.024841535836458206,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,16,16,HEM_PA13.nii.gz,20,0.035653867200016974,0.0036981874145567417,0.022513212636113167,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,17,17,HEM_PA99.nii.gz,80,0.05431737389881164,0.14521034061908722,0.02030225656926632,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,18,18,MET_PA25.nii.gz,20,0.0429974396713078,0.10104645043611526,0.018357615917921066,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,19,19,HEM_PA97.nii.gz,50,0.037124944515526295,0.008605154231190681,0.016675667837262154,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,20,20,HCC_PA0.nii.gz,25,0.05216921135783195,0.0036441111005842686,0.01516391895711422,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,21,21,HCC_10147777_20171222.nii.gz,12,0.04502800075958172,0.005366393364965916,0.013795808888971806,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,22,22,HEM_PA34.nii.gz,20,0.03695612289011478,0.006689437199383974,0.012550381012260914,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,23,23,MET_PA13.nii.gz,20,0.03373796032101382,0.004541229456663132,0.011428999714553356,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,24,24,CYST_PA38.nii.gz,3,0.02469274339576562,0.004289230331778526,0.010409997776150703,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,25,25,MET_PA19.nii.gz,20,0.03994925133883953,0.025916462764143944,0.00950822327286005,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,26,26,CYST_PA20.nii.gz,12,0.08548248357449968,0.02491249330341816,0.008641369640827179,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,27,27,HEM_PA56.nii.gz,3,0.026082508265972137,0.0016066522803157568,0.007873653434216976,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,28,28,HCC_10136895_20170421.nii.gz,15,0.08262215169767538,0.33917367458343506,0.00806612428277731,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,29,29,HCC_10076307_20130925.nii.gz,15,0.07103933915495872,0.019691262394189835,0.007449641358107328,0.0001,0.0,1,0,589824
C_uncertainty_weighted_soft_pseudo,1,30,30,CYST_PA19.nii.gz,20,0.03164140619337559,0.01333223283290863,0.006839936599135399,0.0001,0.0,1,0,589824
