variant,order,step,scope,case_count,mean_dice,std_dice,mean_foreground_iou,std_foreground_iou,mean_precision,mean_recall,mean_iou,mean_foreground_dice,delta_mean_dice_vs_A_init,delta_mean_iou_vs_A_init,source_pseudo_dice_macro,fused_pseudo_dice_macro,delta_pseudo_dice_macro,background_to_foreground_voxels_mean,foreground_to_background_voxels_mean,uncertainty_gate_mean
A_init_no_adaptation,full_window_case_balanced,0,full_volume,8,0.6520916101761964,0.13238929747043005,0.4978613482812652,0.14371277241249905,0.8000337016988557,0.5725646154433671,0.4978613482812652,0.6520916101761964,0.0,0.0,,,,,,
B_source_hard_pseudo,full_window_case_balanced,30,full_volume,8,0.7164950998063682,0.07859084680316286,0.5638762891782191,0.09226974627240718,0.7048276542365711,0.7389492235402677,0.5638762891782191,0.7164950998063682,0.06440348963017173,0.06601494089695387,0.8785115970807076,0.8785115970807076,0.0,0.0,0.0,0.0
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,30,full_volume,8,0.6559151334444767,0.13228240530438312,0.5020533840793822,0.1431557211366927,0.7911731044210663,0.5800939459614491,0.5020533840793822,0.6559151334444767,0.003823523268280282,0.004192035798116944,0.8785115970807076,0.8785221877981099,1.0590717402307141e-05,10955.9,4998.233333333334,0.003948455395035021
