case,patch_index,patch_kind,action,comparison_group,layer,feature_shape,normalized_mse_to_real_action,delta_cosine_to_real_action,delta_cosine_valid,magnitude_ratio_to_real_action,magnitude_ratio_valid,group_delta_norm,real_delta_norm
CYST_PA62.nii.gz,0,context,blur,wrong_action_wp,encoder_stage_4,1x256x24x24x24,0.10168888419866562,-0.01623179391026497,True,0.039216045290231705,True,40.46612548828125,1031.876708984375
CYST_PA62.nii.gz,0,context,blur,real_action_oracle,encoder_stage_4,1x256x24x24x24,0.0,1.0,True,1.0,True,1031.876708984375,1031.876708984375
CYST_PA62.nii.gz,0,context,blur,identity_source,encoder_stage_5,1x320x12x12x12,0.10102085024118423,,False,0.0,True,0.0,617.9403076171875
CYST_PA62.nii.gz,0,context,blur,correct_action_wp,encoder_stage_5,1x320x12x12x12,0.10404956340789795,0.05150213837623596,True,0.2321496456861496,True,143.45462036132812,617.9403076171875
CYST_PA62.nii.gz,0,context,blur,wrong_action_wp,encoder_stage_5,1x320x12x12x12,0.1010066419839859,0.014163399115204811,True,0.021909715607762337,True,13.538896560668945,617.9403076171875
CYST_PA62.nii.gz,0,context,blur,real_action_oracle,encoder_stage_5,1x320x12x12x12,0.0,1.0,True,1.0,True,617.9403076171875,617.9403076171875
CYST_PA62.nii.gz,0,context,blur,identity_source,encoder_bottleneck_deepest,1x320x6x6x6,0.07634754478931427,,False,0.0,True,0.0,231.86485290527344
CYST_PA62.nii.gz,0,context,blur,correct_action_wp,encoder_bottleneck_deepest,1x320x6x6x6,0.07620247453451157,0.04389283061027527,True,0.04901907593011856,True,11.365800857543945,231.86485290527344
CYST_PA62.nii.gz,0,context,blur,wrong_action_wp,encoder_bottleneck_deepest,1x320x6x6x6,0.07620247453451157,0.04389283061027527,True,0.04901907593011856,True,11.365800857543945,231.86485290527344
CYST_PA62.nii.gz,0,context,blur,real_action_oracle,encoder_bottleneck_deepest,1x320x6x6x6,0.0,1.0000001192092896,True,1.0,True,231.86485290527344,231.86485290527344
CYST_PA62.nii.gz,1,context,gamma,identity_source,encoder_stage_2,1x64x96x96x96,0.05193652957677841,,False,0.0,True,0.0,1968.7716064453125
CYST_PA62.nii.gz,1,context,gamma,correct_action_wp,encoder_stage_2,1x64x96x96x96,0.05072525143623352,0.15544815361499786,True,0.184461772441864,True,363.1630859375,1968.7716064453125
CYST_PA62.nii.gz,1,context,gamma,wrong_action_wp,encoder_stage_2,1x64x96x96x96,0.1279298961162567,0.026942899450659752,True,1.2368696928024292,True,2435.114013671875,1968.7716064453125
CYST_PA62.nii.gz,1,context,gamma,real_action_oracle,encoder_stage_2,1x64x96x96x96,0.0,0.9999991655349731,True,1.0,True,1968.7716064453125,1968.7716064453125
CYST_PA62.nii.gz,1,context,gamma,identity_source,encoder_stage_3,1x128x48x48x48,0.04073562100529671,,False,0.0,True,0.0,1027.512451171875
CYST_PA62.nii.gz,1,context,gamma,correct_action_wp,encoder_stage_3,1x128x48x48x48,0.0404679961502552,0.08117283135652542,True,0.08556044846773148,True,87.9144287109375,1027.512451171875
CYST_PA62.nii.gz,1,context,gamma,wrong_action_wp,encoder_stage_3,1x128x48x48x48,0.059136129915714264,-0.006391466595232487,True,0.6657293438911438,True,684.045166015625,1027.512451171875
CYST_PA62.nii.gz,1,context,gamma,real_action_oracle,encoder_stage_3,1x128x48x48x48,0.0,0.9999996423721313,True,1.0,True,1027.512451171875,1027.512451171875
CYST_PA62.nii.gz,1,context,gamma,identity_source,encoder_stage_4,1x256x24x24x24,0.04665425792336464,,False,0.0,True,0.0,692.8046264648438
CYST_PA62.nii.gz,1,context,gamma,correct_action_wp,encoder_stage_4,1x256x24x24x24,0.04651845991611481,0.0540865994989872,True,0.05790418013930321,True,40.11628341674805,692.8046264648438
CYST_PA62.nii.gz,1,context,gamma,wrong_action_wp,encoder_stage_4,1x256x24x24x24,0.0527271032333374,-0.01509887259453535,True,0.3460034728050232,True,239.7128143310547,692.8046264648438
CYST_PA62.nii.gz,1,context,gamma,real_action_oracle,encoder_stage_4,1x256x24x24x24,0.0,1.0000001192092896,True,1.0,True,692.8046264648438,692.8046264648438
CYST_PA62.nii.gz,1,context,gamma,identity_source,encoder_stage_5,1x320x12x12x12,0.039466798305511475,,False,0.0,True,0.0,400.8839111328125
CYST_PA62.nii.gz,1,context,gamma,correct_action_wp,encoder_stage_5,1x320x12x12x12,0.03948141261935234,0.011404316872358322,True,0.03377261385321617,True,13.538897514343262,400.8839111328125
CYST_PA62.nii.gz,1,context,gamma,wrong_action_wp,encoder_stage_5,1x320x12x12x12,0.04664073511958122,-0.012358897365629673,True,0.4141668379306793,True,166.03282165527344,400.8839111328125
CYST_PA62.nii.gz,1,context,gamma,real_action_oracle,encoder_stage_5,1x320x12x12x12,0.0,1.000000238418579,True,1.0,True,400.8839111328125,400.8839111328125
CYST_PA62.nii.gz,1,context,gamma,identity_source,encoder_bottleneck_deepest,1x320x6x6x6,0.0295329000800848,,False,0.0,True,0.0,145.7661895751953
CYST_PA62.nii.gz,1,context,gamma,correct_action_wp,encoder_bottleneck_deepest,1x320x6x6x6,0.0295734703540802,0.030177637934684753,True,0.07797282934188843,True,11.365801811218262,145.7661895751953
CYST_PA62.nii.gz,1,context,gamma,wrong_action_wp,encoder_bottleneck_deepest,1x320x6x6x6,0.0295734703540802,0.030177637934684753,True,0.07797282934188843,True,11.365801811218262,145.7661895751953
CYST_PA62.nii.gz,1,context,gamma,real_action_oracle,encoder_bottleneck_deepest,1x320x6x6x6,0.0,1.000000238418579,True,1.0,True,145.7661895751953,145.7661895751953
CYST_PA62.nii.gz,1,context,blur,identity_source,encoder_stage_2,1x64x96x96x96,0.2226291447877884,,False,0.0,True,0.0,3958.50537109375
CYST_PA62.nii.gz,1,context,blur,correct_action_wp,encoder_stage_2,1x64x96x96x96,0.1568872481584549,0.5475969314575195,True,0.6151599884033203,True,2435.114013671875,3958.50537109375
CYST_PA62.nii.gz,1,context,blur,wrong_action_wp,encoder_stage_2,1x64x96x96x96,0.2251967489719391,-0.01698414981365204,True,0.09174247831106186,True,363.1630859375,3958.50537109375
CYST_PA62.nii.gz,1,context,blur,real_action_oracle,encoder_stage_2,1x64x96x96x96,0.0,1.0000001192092896,True,1.0,True,3958.50537109375,3958.50537109375
CYST_PA62.nii.gz,1,context,blur,identity_source,encoder_stage_3,1x128x48x48x48,0.1460036337375641,,False,0.0,True,0.0,1927.1693115234375
CYST_PA62.nii.gz,1,context,blur,correct_action_wp,encoder_stage_3,1x128x48x48x48,0.1342436522245407,0.2909354269504547,True,0.35494813323020935,True,684.045166015625,1927.1693115234375
CYST_PA62.nii.gz,1,context,blur,wrong_action_wp,encoder_stage_3,1x128x48x48x48,0.14675791561603546,-0.03381485119462013,True,0.04561842605471611,True,87.9144287109375,1927.1693115234375
CYST_PA62.nii.gz,1,context,blur,real_action_oracle,encoder_stage_3,1x128x48x48x48,0.0,0.9999998211860657,True,1.0,True,1927.1693115234375,1927.1693115234375
CYST_PA62.nii.gz,1,context,blur,identity_source,encoder_stage_4,1x256x24x24x24,0.12838387489318848,,False,0.0,True,0.0,1156.9622802734375
CYST_PA62.nii.gz,1,context,blur,correct_action_wp,encoder_stage_4,1x256x24x24x24,0.12615583837032318,0.14547613263130188,True,0.2071915566921234,True,239.7128143310547,1156.9622802734375
CYST_PA62.nii.gz,1,context,blur,wrong_action_wp,encoder_stage_4,1x256x24x24x24,0.12852706015110016,0.0012542767217382789,True,0.03467380255460739,True,40.11628341674805,1156.9622802734375
CYST_PA62.nii.gz,1,context,blur,real_action_oracle,encoder_stage_4,1x256x24x24x24,0.0,1.0,True,1.0,True,1156.9622802734375,1156.9622802734375
CYST_PA62.nii.gz,1,context,blur,identity_source,encoder_stage_5,1x320x12x12x12,0.13041822612285614,,False,0.0,True,0.0,727.4893188476562
CYST_PA62.nii.gz,1,context,blur,correct_action_wp,encoder_stage_5,1x320x12x12x12,0.12526308000087738,0.20071110129356384,True,0.2282271534204483,True,166.03282165527344,727.4893188476562
CYST_PA62.nii.gz,1,context,blur,wrong_action_wp,encoder_stage_5,1x320x12x12x12,0.13039518892765045,0.014052694663405418,True,0.01861044205725193,True,13.538897514343262,727.4893188476562
CYST_PA62.nii.gz,1,context,blur,real_action_oracle,encoder_stage_5,1x320x12x12x12,0.0,1.0000001192092896,True,1.0,True,727.4893188476562,727.4893188476562
CYST_PA62.nii.gz,1,context,blur,identity_source,encoder_bottleneck_deepest,1x320x6x6x6,0.1019955575466156,,False,0.0,True,0.0,271.1034240722656
CYST_PA62.nii.gz,1,context,blur,correct_action_wp,encoder_bottleneck_deepest,1x320x6x6x6,0.10159127414226532,0.06823593378067017,True,0.04192422702908516,True,11.365801811218262,271.1034240722656
CYST_PA62.nii.gz,1,context,blur,wrong_action_wp,encoder_bottleneck_deepest,1x320x6x6x6,0.10159127414226532,0.06823593378067017,True,0.04192422702908516,True,11.365801811218262,271.1034240722656
CYST_PA62.nii.gz,1,context,blur,real_action_oracle,encoder_bottleneck_deepest,1x320x6x6x6,0.0,0.9999997615814209,True,1.0,True,271.1034240722656,271.1034240722656
CYST_PA62.nii.gz,2,foreground,gamma,identity_source,encoder_stage_2,1x64x96x96x96,0.02179153636097908,,False,0.0,True,0.0,1247.41748046875
CYST_PA62.nii.gz,2,foreground,gamma,correct_action_wp,encoder_stage_2,1x64x96x96x96,0.02064047008752823,0.23431053757667542,True,0.27991533279418945,True,349.1712646484375,1247.41748046875
CYST_PA62.nii.gz,2,foreground,gamma,wrong_action_wp,encoder_stage_2,1x64x96x96x96,0.10001527518033981,-0.07279493659734726,True,1.8232371807098389,True,2274.337890625,1247.41748046875
CYST_PA62.nii.gz,2,foreground,gamma,real_action_oracle,encoder_stage_2,1x64x96x96x96,0.0,0.999999463558197,True,1.0,True,1247.41748046875,1247.41748046875
CYST_PA62.nii.gz,2,foreground,gamma,identity_source,encoder_stage_3,1x128x48x48x48,0.018865929916501045,,False,0.0,True,0.0,693.7156982421875
CYST_PA62.nii.gz,2,foreground,gamma,correct_action_wp,encoder_stage_3,1x128x48x48x48,0.018712243065238,0.09352332353591919,True,0.11802462488412857,True,81.87553405761719,693.7156982421875
CYST_PA62.nii.gz,2,foreground,gamma,wrong_action_wp,encoder_stage_3,1x128x48x48x48,0.03950157389044762,-0.06135506182909012,True,0.9862942695617676,True,684.2078247070312,693.7156982421875
CYST_PA62.nii.gz,2,foreground,gamma,real_action_oracle,encoder_stage_3,1x128x48x48x48,0.0,0.9999998211860657,True,1.0,True,693.7156982421875,693.7156982421875
CYST_PA62.nii.gz,2,foreground,gamma,identity_source,encoder_stage_4,1x256x24x24x24,0.02235480211675167,,False,0.0,True,0.0,493.8277893066406
CYST_PA62.nii.gz,2,foreground,gamma,correct_action_wp,encoder_stage_4,1x256x24x24x24,0.022358328104019165,0.03974026441574097,True,0.08141739666461945,True,40.206172943115234,493.8277893066406
CYST_PA62.nii.gz,2,foreground,gamma,wrong_action_wp,encoder_stage_4,1x256x24x24x24,0.030864978209137917,-0.05844874680042267,True,0.561311662197113,True,277.1912841796875,493.8277893066406
CYST_PA62.nii.gz,2,foreground,gamma,real_action_oracle,encoder_stage_4,1x256x24x24x24,0.0,0.9999999403953552,True,1.0,True,493.8277893066406,493.8277893066406
CYST_PA62.nii.gz,2,foreground,gamma,identity_source,encoder_stage_5,1x320x12x12x12,0.03059348836541176,,False,0.0,True,0.0,344.2461242675781
CYST_PA62.nii.gz,2,foreground,gamma,correct_action_wp,encoder_stage_5,1x320x12x12x12,0.030597219243645668,0.01811346597969532,True,0.03932912275195122,True,13.538897514343262,344.2461242675781
CYST_PA62.nii.gz,2,foreground,gamma,wrong_action_wp,encoder_stage_5,1x320x12x12x12,0.03595496341586113,0.0249490924179554,True,0.44431936740875244,True,152.95521545410156,344.2461242675781
CYST_PA62.nii.gz,2,foreground,gamma,real_action_oracle,encoder_stage_5,1x320x12x12x12,0.0,1.0,True,1.0,True,344.2461242675781,344.2461242675781
CYST_PA62.nii.gz,2,foreground,gamma,identity_source,encoder_bottleneck_deepest,1x320x6x6x6,0.027015477418899536,,False,0.0,True,0.0,138.04025268554688
CYST_PA62.nii.gz,2,foreground,gamma,correct_action_wp,encoder_bottleneck_deepest,1x320x6x6x6,0.027196308597922325,0.0005208416259847581,True,0.08233686536550522,True,11.365801811218262,138.04025268554688
CYST_PA62.nii.gz,2,foreground,gamma,wrong_action_wp,encoder_bottleneck_deepest,1x320x6x6x6,0.027196308597922325,0.0005208416259847581,True,0.08233686536550522,True,11.365801811218262,138.04025268554688
CYST_PA62.nii.gz,2,foreground,gamma,real_action_oracle,encoder_bottleneck_deepest,1x320x6x6x6,0.0,0.9999998807907104,True,1.0,True,138.04025268554688,138.04025268554688
CYST_PA62.nii.gz,2,foreground,blur,identity_source,encoder_stage_2,1x64x96x96x96,0.21076367795467377,,False,0.0,True,0.0,3762.361328125
CYST_PA62.nii.gz,2,foreground,blur,correct_action_wp,encoder_stage_2,1x64x96x96x96,0.14526435732841492,0.5592982769012451,True,0.604497492313385,True,2274.337890625,3762.361328125
CYST_PA62.nii.gz,2,foreground,blur,wrong_action_wp,encoder_stage_2,1x64x96x96x96,0.2137460708618164,-0.029831741005182266,True,0.09280641376972198,True,349.1712646484375,3762.361328125
CYST_PA62.nii.gz,2,foreground,blur,real_action_oracle,encoder_stage_2,1x64x96x96x96,0.0,1.0000001192092896,True,1.0,True,3762.361328125,3762.361328125
CYST_PA62.nii.gz,2,foreground,blur,identity_source,encoder_stage_3,1x128x48x48x48,0.1539272516965866,,False,0.0,True,0.0,1942.546630859375
CYST_PA62.nii.gz,2,foreground,blur,correct_action_wp,encoder_stage_3,1x128x48x48x48,0.13691435754299164,0.3330087661743164,True,0.3522220849990845,True,684.2078247070312,1942.546630859375
CYST_PA62.nii.gz,2,foreground,blur,wrong_action_wp,encoder_stage_3,1x128x48x48x48,0.15506918728351593,-0.0669303610920906,True,0.04214855656027794,True,81.87553405761719,1942.546630859375
CYST_PA62.nii.gz,2,foreground,blur,real_action_oracle,encoder_stage_3,1x128x48x48x48,0.0,0.9999998807907104,True,1.0,True,1942.546630859375,1942.546630859375
CYST_PA62.nii.gz,2,foreground,blur,identity_source,encoder_stage_4,1x256x24x24x24,0.13456641137599945,,False,0.0,True,0.0,1223.9996337890625
CYST_PA62.nii.gz,2,foreground,blur,correct_action_wp,encoder_stage_4,1x256x24x24x24,0.130951926112175,0.1725352257490158,True,0.22646354138851166,True,277.1912841796875,1223.9996337890625
CYST_PA62.nii.gz,2,foreground,blur,wrong_action_wp,encoder_stage_4,1x256x24x24x24,0.13483253121376038,-0.013675913214683533,True,0.032848190516233444,True,40.206172943115234,1223.9996337890625
CYST_PA62.nii.gz,2,foreground,blur,real_action_oracle,encoder_stage_4,1x256x24x24x24,0.0,0.9999999403953552,True,1.0,True,1223.9996337890625,1223.9996337890625
CYST_PA62.nii.gz,2,foreground,blur,identity_source,encoder_stage_5,1x320x12x12x12,0.14899113774299622,,False,0.0,True,0.0,752.80859375
CYST_PA62.nii.gz,2,foreground,blur,correct_action_wp,encoder_stage_5,1x320x12x12x12,0.14895866811275482,0.10212589800357819,True,0.20317941904067993,True,152.95521545410156,752.80859375
CYST_PA62.nii.gz,2,foreground,blur,wrong_action_wp,encoder_stage_5,1x320x12x12x12,0.1489698439836502,0.0129649443551898,True,0.01798451505601406,True,13.538897514343262,752.80859375
CYST_PA62.nii.gz,2,foreground,blur,real_action_oracle,encoder_stage_5,1x320x12x12x12,0.0,1.0,True,1.0,True,752.80859375,752.80859375
CYST_PA62.nii.gz,2,foreground,blur,identity_source,encoder_bottleneck_deepest,1x320x6x6x6,0.11253137141466141,,False,0.0,True,0.0,281.1832580566406
CYST_PA62.nii.gz,2,foreground,blur,correct_action_wp,encoder_bottleneck_deepest,1x320x6x6x6,0.11252856254577637,0.020519722253084183,True,0.04042133316397667,True,11.365801811218262,281.1832580566406
CYST_PA62.nii.gz,2,foreground,blur,wrong_action_wp,encoder_bottleneck_deepest,1x320x6x6x6,0.11252856254577637,0.020519722253084183,True,0.04042133316397667,True,11.365801811218262,281.1832580566406
CYST_PA62.nii.gz,2,foreground,blur,real_action_oracle,encoder_bottleneck_deepest,1x320x6x6x6,0.0,1.0000001192092896,True,1.0,True,281.1832580566406,281.1832580566406
CYST_PA62.nii.gz,3,context_fill,gamma,identity_source,encoder_stage_2,1x64x96x96x96,0.020471978932619095,,False,0.0,True,0.0,1256.6907958984375
CYST_PA62.nii.gz,3,context_fill,gamma,correct_action_wp,encoder_stage_2,1x64x96x96x96,0.020412487909197807,0.1491650938987732,True,0.2882485091686249,True,362.2392578125,1256.6907958984375
CYST_PA62.nii.gz,3,context_fill,gamma,wrong_action_wp,encoder_stage_2,1x64x96x96x96,0.10346702486276627,-0.014691815711557865,True,1.9988365173339844,True,2511.91943359375,1256.6907958984375
CYST_PA62.nii.gz,3,context_fill,gamma,real_action_oracle,encoder_stage_2,1x64x96x96x96,0.0,0.9999988675117493,True,1.0,True,1256.6907958984375,1256.6907958984375
CYST_PA62.nii.gz,3,context_fill,gamma,identity_source,encoder_stage_3,1x128x48x48x48,0.01599699817597866,,False,0.0,True,0.0,653.9734497070312
CYST_PA62.nii.gz,3,context_fill,gamma,correct_action_wp,encoder_stage_3,1x128x48x48x48,0.016092922538518906,0.06124616414308548,True,0.15997542440891266,True,104.61968231201172,653.9734497070312
CYST_PA62.nii.gz,3,context_fill,gamma,wrong_action_wp,encoder_stage_3,1x128x48x48x48,0.034881748259067535,-0.010384630411863327,True,1.0761816501617432,True,703.7942504882812,653.9734497070312
CYST_PA62.nii.gz,3,context_fill,gamma,real_action_oracle,encoder_stage_3,1x128x48x48x48,0.0,0.9999998807907104,True,1.0,True,653.9734497070312,653.9734497070312
CYST_PA62.nii.gz,3,context_fill,gamma,identity_source,encoder_stage_4,1x256x24x24x24,0.019314808771014214,,False,0.0,True,0.0,452.0996398925781
CYST_PA62.nii.gz,3,context_fill,gamma,correct_action_wp,encoder_stage_4,1x256x24x24x24,0.01931026019155979,0.0457291379570961,True,0.08880677074193954,True,40.14950942993164,452.0996398925781
CYST_PA62.nii.gz,3,context_fill,gamma,wrong_action_wp,encoder_stage_4,1x256x24x24x24,0.024916749447584152,-0.00978732481598854,True,0.5288490056991577,True,239.0924530029297,452.0996398925781
CYST_PA62.nii.gz,3,context_fill,gamma,real_action_oracle,encoder_stage_4,1x256x24x24x24,0.0,0.9999999403953552,True,1.0,True,452.0996398925781,452.0996398925781
CYST_PA62.nii.gz,3,context_fill,gamma,identity_source,encoder_stage_5,1x320x12x12x12,0.02472919225692749,,False,0.0,True,0.0,311.71722412109375
CYST_PA62.nii.gz,3,context_fill,gamma,correct_action_wp,encoder_stage_5,1x320x12x12x12,0.02474215067923069,0.01568499207496643,True,0.04343326762318611,True,13.538897514343262,311.71722412109375
CYST_PA62.nii.gz,3,context_fill,gamma,wrong_action_wp,encoder_stage_5,1x320x12x12x12,0.030036745592951775,0.018545158207416534,True,0.48219481110572815,True,150.3084259033203,311.71722412109375
CYST_PA62.nii.gz,3,context_fill,gamma,real_action_oracle,encoder_stage_5,1x320x12x12x12,0.0,1.0000001192092896,True,1.0,True,311.71722412109375,311.71722412109375
CYST_PA62.nii.gz,3,context_fill,gamma,identity_source,encoder_bottleneck_deepest,1x320x6x6x6,0.020128389820456505,,False,0.0,True,0.0,119.23438262939453
CYST_PA62.nii.gz,3,context_fill,gamma,correct_action_wp,encoder_bottleneck_deepest,1x320x6x6x6,0.020271865651011467,0.010273141786456108,True,0.09532319009304047,True,11.365801811218262,119.23438262939453
CYST_PA62.nii.gz,3,context_fill,gamma,wrong_action_wp,encoder_bottleneck_deepest,1x320x6x6x6,0.020271865651011467,0.010273141786456108,True,0.09532319009304047,True,11.365801811218262,119.23438262939453
CYST_PA62.nii.gz,3,context_fill,gamma,real_action_oracle,encoder_bottleneck_deepest,1x320x6x6x6,0.0,1.0,True,1.0,True,119.23438262939453,119.23438262939453
CYST_PA62.nii.gz,3,context_fill,blur,identity_source,encoder_stage_2,1x64x96x96x96,0.2455863654613495,,False,0.0,True,0.0,4232.15673828125
CYST_PA62.nii.gz,3,context_fill,blur,correct_action_wp,encoder_stage_2,1x64x96x96x96,0.1699710637331009,0.5561427474021912,True,0.5935317873954773,True,2511.91943359375,4232.15673828125
CYST_PA62.nii.gz,3,context_fill,blur,wrong_action_wp,encoder_stage_2,1x64x96x96x96,0.248943492770195,-0.03705819696187973,True,0.085592120885849,True,362.2392578125,4232.15673828125
CYST_PA62.nii.gz,3,context_fill,blur,real_action_oracle,encoder_stage_2,1x64x96x96x96,0.0,1.0000001192092896,True,1.0,True,4232.15673828125,4232.15673828125
CYST_PA62.nii.gz,3,context_fill,blur,identity_source,encoder_stage_3,1x128x48x48x48,0.16217899322509766,,False,0.0,True,0.0,2054.98876953125
CYST_PA62.nii.gz,3,context_fill,blur,correct_action_wp,encoder_stage_3,1x128x48x48x48,0.1493019461631775,0.28715986013412476,True,0.3424808382987976,True,703.7942504882812,2054.98876953125
CYST_PA62.nii.gz,3,context_fill,blur,wrong_action_wp,encoder_stage_3,1x128x48x48x48,0.1627333015203476,-0.008110981434583664,True,0.0509101003408432,True,104.61968231201172,2054.98876953125
CYST_PA62.nii.gz,3,context_fill,blur,real_action_oracle,encoder_stage_3,1x128x48x48x48,0.0,0.9999998807907104,True,1.0,True,2054.98876953125,2054.98876953125
CYST_PA62.nii.gz,3,context_fill,blur,identity_source,encoder_stage_4,1x256x24x24x24,0.1354667842388153,,False,0.0,True,0.0,1207.8187255859375
CYST_PA62.nii.gz,3,context_fill,blur,correct_action_wp,encoder_stage_4,1x256x24x24x24,0.13492675125598907,0.10904614627361298,True,0.19795392453670502,True,239.0924530029297,1207.8187255859375
CYST_PA62.nii.gz,3,context_fill,blur,wrong_action_wp,encoder_stage_4,1x256x24x24x24,0.13575506210327148,-0.015389284119009972,True,0.033241335302591324,True,40.14950942993164,1207.8187255859375
CYST_PA62.nii.gz,3,context_fill,blur,real_action_oracle,encoder_stage_4,1x256x24x24x24,0.0,0.9999999403953552,True,1.0,True,1207.8187255859375,1207.8187255859375
