table,scope,case,action,comparison_group,layer,patch_count,normalized_mse_to_real_action,delta_cosine_to_real_action,magnitude_ratio_to_real_action,probability_mse_to_real_oracle,probability_mae_to_real_oracle,logits_mse_to_real_oracle,mask_dice_to_real_oracle,mask_iou_to_real_oracle
encoder,overall,,blur,real_action_oracle,encoder_stage_5,32,0.0,1.000000011175871,1.0,,,,,
encoder,overall,,blur,real_action_oracle,encoder_bottleneck_deepest,32,0.0,1.0000000409781933,1.0,,,,,
final,overall,,blur,real_action_oracle,,32,,,,0.0,0.0,0.0,1.0,1.0
encoder,foreground,,gamma,identity_source,encoder_stage_2,14,0.027301318677408353,,0.0,,,,,
encoder,foreground,,gamma,identity_source,encoder_stage_3,14,0.022803742372031723,,0.0,,,,,
encoder,foreground,,gamma,identity_source,encoder_stage_4,14,0.02518594783863851,,0.0,,,,,
encoder,foreground,,gamma,identity_source,encoder_stage_5,14,0.030170824644821032,,0.0,,,,,
encoder,foreground,,gamma,identity_source,encoder_bottleneck_deepest,14,0.024858098942786455,,0.0,,,,,
final,foreground,,gamma,identity_source,,14,,,,0.00244146775678798,0.005720950006174722,1.581965767379318,0.9244703619101792,0.8618950526477587
encoder,foreground,,gamma,correct_action_wp,encoder_stage_2,14,0.026254704421652213,0.2045780686395509,0.2620377976979528,,,,,
encoder,foreground,,gamma,correct_action_wp,encoder_stage_3,14,0.022612054898802723,0.09724156505295209,0.1229163014463016,,,,,
encoder,foreground,,gamma,correct_action_wp,encoder_stage_4,14,0.025146109850278923,0.0497262510471046,0.0824880272682224,,,,,
encoder,foreground,,gamma,correct_action_wp,encoder_stage_5,14,0.030190758673208102,0.010463320076399083,0.042375904108796804,,,,,
encoder,foreground,,gamma,correct_action_wp,encoder_bottleneck_deepest,14,0.025079249204801663,-0.009766175377340655,0.09348254491175924,,,,,
final,foreground,,gamma,correct_action_wp,,14,,,,0.0024383767033993664,0.0057342536581147996,1.5795048448656286,0.9246559963136132,0.8622009540061949
encoder,foreground,,gamma,wrong_action_wp,encoder_stage_2,14,0.10972437156098229,-0.03129872258952154,1.7679884944643294,,,,,
encoder,foreground,,gamma,wrong_action_wp,encoder_stage_3,14,0.042818744267736165,-0.04320038282977683,0.939837668623243,,,,,
encoder,foreground,,gamma,wrong_action_wp,encoder_stage_4,14,0.033930557913013866,-0.06976219506136008,0.5537317714520863,,,,,
encoder,foreground,,gamma,wrong_action_wp,encoder_stage_5,14,0.03629230361964021,-0.0004525898589885661,0.4923414779560907,,,,,
encoder,foreground,,gamma,wrong_action_wp,encoder_bottleneck_deepest,14,0.025079249204801663,-0.009766175377340655,0.09348254491175924,,,,,
