case_id,case,patch_index,patch_kind,action,layer,feature_shape,mse,normalized_mse,delta_norm,relative_delta,predicted_delta_norm,real_delta_norm,magnitude_ratio,cosine_similarity
CYST_PA62.nii.gz,CYST_PA62.nii.gz,0,context,gamma,encoder_stage_2,1x64x96x96x96,0.01698579266667366,0.014537648297846317,353.3175964355469,0.043474128519067304,353.3175964355469,966.5455932617188,0.36554674595663533,0.14239546656608582
CYST_PA62.nii.gz,CYST_PA62.nii.gz,0,context,gamma,encoder_stage_3,1x128x48x48x48,0.02077849768102169,0.01228332333266735,100.1298828125,0.02040815920326712,100.1298828125,540.7999877929688,0.18515141470534227,0.07714506983757019
CYST_PA62.nii.gz,CYST_PA62.nii.gz,0,context,gamma,encoder_stage_4,1x256x24x24x24,0.05944029614329338,0.020495906472206116,40.459571838378906,0.012568250040687715,40.459571838378906,456.38568115234375,0.08865214994524183,-0.011670934967696667
CYST_PA62.nii.gz,CYST_PA62.nii.gz,0,context,gamma,encoder_stage_5,1x320x12x12x12,0.13577494025230408,0.019668620079755783,13.537042617797852,0.006934113474447807,13.537042617797852,273.53265380859375,0.049489676750880666,-0.010091886855661869
CYST_PA62.nii.gz,CYST_PA62.nii.gz,0,context,gamma,encoder_bottleneck_deepest,1x320x6x6x6,0.16134223341941833,0.015772059559822083,11.366189002990723,0.013517572945885544,11.366189002990723,104.47198486328125,0.10879652586160057,-0.045640069991350174
CYST_PA62.nii.gz,CYST_PA62.nii.gz,0,context,blur,encoder_stage_2,1x64x96x96x96,0.15251277387142181,0.13327890634536743,2146.290771484375,0.26409134948313095,2146.290771484375,3468.25634765625,0.6188385621883971,0.5373280644416809
CYST_PA62.nii.gz,CYST_PA62.nii.gz,0,context,blur,encoder_stage_3,1x128x48x48x48,0.19779664278030396,0.11828488111495972,642.7316284179688,0.13099954807988187,642.7316284179688,1717.398681640625,0.3742471886632459,0.25483959913253784
CYST_PA62.nii.gz,CYST_PA62.nii.gz,0,context,blur,encoder_stage_4,1x256x24x24x24,0.30232810974121094,0.1018913984298706,231.36131286621094,0.07186944146270101,231.36131286621094,1031.7843017578125,0.22423418583908408,0.10092531144618988
CYST_PA62.nii.gz,CYST_PA62.nii.gz,0,context,blur,encoder_stage_5,1x320x12x12x12,0.7110049724578857,0.10401588678359985,143.36631774902344,0.07343689044595682,143.36631774902344,617.8434448242188,0.23204311537174643,0.05152031034231186
CYST_PA62.nii.gz,CYST_PA62.nii.gz,0,context,blur,encoder_bottleneck_deepest,1x320x6x6x6,0.7759998440742493,0.07617411762475967,11.366189002990723,0.013517572945885544,11.366189002990723,231.81825256347656,0.04903060426563447,0.04398387297987938
CYST_PA62.nii.gz,CYST_PA62.nii.gz,1,context,gamma,encoder_stage_2,1x64x96x96x96,0.06685834378004074,0.050725534558296204,363.1634521484375,0.0419745327210137,363.1634521484375,1968.7554931640625,0.18446346100844832,0.15536044538021088
CYST_PA62.nii.gz,CYST_PA62.nii.gz,1,context,gamma,encoder_stage_3,1x128x48x48x48,0.07408594340085983,0.04046476259827614,87.99098205566406,0.017378975234177398,87.99098205566406,1027.4495849609375,0.08564019426705922,0.08102958649396896
CYST_PA62.nii.gz,CYST_PA62.nii.gz,1,context,gamma,encoder_stage_4,1x256x24x24x24,0.13524332642555237,0.04652135819196701,40.114810943603516,0.012486128999643145,40.114810943603516,692.8366088867188,0.05789938122360741,0.05420825630426407
CYST_PA62.nii.gz,CYST_PA62.nii.gz,1,context,gamma,encoder_stage_5,1x320x12x12x12,0.2906409204006195,0.03946758434176445,13.537042617797852,0.006692637647370802,13.537042617797852,400.8148193359375,0.03377380766565909,0.01133217103779316
CYST_PA62.nii.gz,CYST_PA62.nii.gz,1,context,gamma,encoder_bottleneck_deepest,1x320x6x6x6,0.3077436089515686,0.029565731063485146,11.366189002990723,0.013370679411738943,11.366189002990723,145.7469940185547,0.07798575249890725,0.030225319787859917
CYST_PA62.nii.gz,CYST_PA62.nii.gz,1,context,blur,encoder_stage_2,1x64x96x96x96,0.1950163096189499,0.15688619017601013,2434.4755859375,0.281377364753862,2434.4755859375,3958.4921875,0.6150007302338525,0.5475804209709167
CYST_PA62.nii.gz,CYST_PA62.nii.gz,1,context,blur,encoder_stage_3,1x128x48x48x48,0.24122701585292816,0.13424162566661835,683.9029541015625,0.13507671154747308,683.9029541015625,1927.1778564453125,0.354872775138162,0.29096391797065735
CYST_PA62.nii.gz,CYST_PA62.nii.gz,1,context,blur,encoder_stage_4,1x256x24x24x24,0.37171536684036255,0.12617084383964539,239.84768676757812,0.07465494880323029,239.84768676757812,1157.010009765625,0.2072995780011998,0.14543697237968445
CYST_PA62.nii.gz,CYST_PA62.nii.gz,1,context,blur,encoder_stage_5,1x320x12x12x12,0.9194000363349915,0.12527960538864136,165.9962921142578,0.08206763214789731,165.9962921142578,727.5280151367188,0.22816481105963102,0.20063571631908417
CYST_PA62.nii.gz,CYST_PA62.nii.gz,1,context,blur,encoder_bottleneck_deepest,1x320x6x6x6,1.0592011213302612,0.10160078853368759,11.366189002990723,0.013370679411738943,11.366189002990723,271.1146545410156,0.04192391968716389,0.06820856034755707
CYST_PA62.nii.gz,CYST_PA62.nii.gz,2,foreground,gamma,encoder_stage_2,1x64x96x96x96,0.026030991226434708,0.02064160816371441,349.0736083984375,0.04141019744635202,349.0736083984375,1247.4622802734375,0.27982698468599976,0.23430487513542175
CYST_PA62.nii.gz,CYST_PA62.nii.gz,2,foreground,gamma,encoder_stage_3,1x128x48x48x48,0.033714406192302704,0.01870928518474102,81.97144317626953,0.016253827943017038,81.97144317626953,693.6627807617188,0.11817189194763453,0.09350728988647461
CYST_PA62.nii.gz,CYST_PA62.nii.gz,2,foreground,gamma,encoder_stage_4,1x256x24x24x24,0.06887441873550415,0.02234230563044548,40.20553207397461,0.012139869605870771,40.20553207397461,493.6676940917969,0.08144250181884181,0.03984181582927704
CYST_PA62.nii.gz,CYST_PA62.nii.gz,2,foreground,gamma,encoder_stage_5,1x320x12x12x12,0.21428333222866058,0.030589355155825615,13.537042617797852,0.006898460275494371,13.537042617797852,344.20159912109375,0.03932881965791035,0.01801379956305027
CYST_PA62.nii.gz,CYST_PA62.nii.gz,2,foreground,gamma,encoder_bottleneck_deepest,1x320x6x6x6,0.27752014994621277,0.027195755392313004,11.366189002990723,0.013552723782593002,11.366189002990723,138.03981018066406,0.08233993503841287,0.0006329763564281166
CYST_PA62.nii.gz,CYST_PA62.nii.gz,2,foreground,blur,encoder_stage_2,1x64x96x96x96,0.1723080277442932,0.1452721506357193,2273.73095703125,0.26973006725583343,2273.73095703125,3762.343017578125,0.6043390904040652,0.5592612028121948
CYST_PA62.nii.gz,CYST_PA62.nii.gz,2,foreground,blur,encoder_stage_3,1x128x48x48x48,0.23708868026733398,0.13690270483493805,684.0726318359375,0.1356423460116294,684.0726318359375,1942.4891357421875,0.3521629126510232,0.3330233097076416
CYST_PA62.nii.gz,CYST_PA62.nii.gz,2,foreground,blur,encoder_stage_4,1x256x24x24x24,0.41190534830093384,0.13093359768390656,277.2040100097656,0.08370043529212208,277.2040100097656,1223.892822265625,0.22649369696981786,0.1724974811077118
CYST_PA62.nii.gz,CYST_PA62.nii.gz,2,foreground,blur,encoder_stage_5,1x320x12x12x12,1.0242103338241577,0.14889389276504517,152.87710571289062,0.07790598512309996,152.87710571289062,752.6031494140625,0.2031311001447612,0.10184413939714432
CYST_PA62.nii.gz,CYST_PA62.nii.gz,2,foreground,blur,encoder_bottleneck_deepest,1x320x6x6x6,1.1434574127197266,0.11249483376741409,11.366189002990723,0.013552723782593002,11.366189002990723,281.1371154785156,0.04042934346695793,0.020574644207954407
CYST_PA62.nii.gz,CYST_PA62.nii.gz,3,context_fill,gamma,encoder_stage_2,1x64x96x96x96,0.027811439707875252,0.02041357383131981,362.0845642089844,0.04125194132721974,362.0845642089844,1256.697265625,0.2881239373341892,0.14902648329734802
CYST_PA62.nii.gz,CYST_PA62.nii.gz,3,context_fill,gamma,encoder_stage_3,1x128x48x48x48,0.030400360003113747,0.016096312552690506,104.7234878540039,0.020304224215372722,104.7234878540039,654.0219116210938,0.16012229253058305,0.06110947206616402
CYST_PA62.nii.gz,CYST_PA62.nii.gz,3,context_fill,gamma,encoder_stage_4,1x256x24x24x24,0.05777265504002571,0.01931973174214363,40.14834213256836,0.01233500958199274,40.14834213256836,452.2122497558594,0.08878207557235274,0.0455404594540596
CYST_PA62.nii.gz,CYST_PA62.nii.gz,3,context_fill,gamma,encoder_stage_5,1x320x12x12x12,0.17584262788295746,0.024746354669332504,13.537042617797852,0.00680634253921234,13.537042617797852,311.7403869628906,0.04342408999257864,0.015565600246191025
CYST_PA62.nii.gz,CYST_PA62.nii.gz,3,context_fill,gamma,encoder_bottleneck_deepest,1x320x6x6x6,0.2071712464094162,0.020274264737963676,11.366189002990723,0.013502820848507577,11.366189002990723,119.24048614501953,0.09532155872936676,0.010258898138999939
CYST_PA62.nii.gz,CYST_PA62.nii.gz,3,context_fill,blur,encoder_stage_2,1x64x96x96x96,0.21893663704395294,0.16997776925563812,2511.15380859375,0.28609330475613626,2511.15380859375,4232.154296875,0.5933511947917335,0.5561069846153259
CYST_PA62.nii.gz,CYST_PA62.nii.gz,3,context_fill,blur,encoder_stage_3,1x128x48x48x48,0.2746400535106659,0.14930632710456848,703.6079711914062,0.13641843200171466,703.6079711914062,2055.0146484375,0.34238586655641806,0.28715425729751587
CYST_PA62.nii.gz,CYST_PA62.nii.gz,3,context_fill,blur,encoder_stage_4,1x256x24x24x24,0.41061070561408997,0.13493400812149048,239.3079376220703,0.07352397500918482,239.3079376220703,1207.861572265625,0.1981253010419006,0.10909774899482727
CYST_PA62.nii.gz,CYST_PA62.nii.gz,3,context_fill,blur,encoder_stage_5,1x320x12x12x12,1.0872762203216553,0.15318192541599274,150.2824249267578,0.07556108749559165,150.2824249267578,772.7057495117188,0.19448855534169757,0.07939264923334122
CYST_PA62.nii.gz,CYST_PA62.nii.gz,3,context_fill,blur,encoder_bottleneck_deepest,1x320x6x6x6,1.1991147994995117,0.11699610948562622,11.366189002990723,0.013502820848507577,11.366189002990723,288.078857421875,0.039455130809358877,0.03600824624300003
HEM_PA29.nii.gz,HEM_PA29.nii.gz,0,context,gamma,encoder_stage_2,1x64x96x96x96,0.020147690549492836,0.01815452240407467,366.9842834472656,0.046370573800703176,366.9842834472656,1036.7103271484375,0.3539892232545691,0.09018261730670929
HEM_PA29.nii.gz,HEM_PA29.nii.gz,0,context,gamma,encoder_stage_3,1x128x48x48x48,0.03134430944919586,0.017777709290385246,101.56218719482422,0.020293766777167217,101.56218719482422,668.7312622070312,0.15187294648022867,0.10169191658496857
HEM_PA29.nii.gz,HEM_PA29.nii.gz,0,context,gamma,encoder_stage_4,1x256x24x24x24,0.09989604353904724,0.03331140801310539,40.16648483276367,0.01222969176251572,40.16648483276367,594.229248046875,0.06759425754417796,0.025037715211510658
HEM_PA29.nii.gz,HEM_PA29.nii.gz,0,context,gamma,encoder_stage_5,1x320x12x12x12,0.2337837815284729,0.03356374055147171,13.537042617797852,0.006929915071939717,13.537042617797852,359.3997497558594,0.03766569850700669,0.008050794713199139
HEM_PA29.nii.gz,HEM_PA29.nii.gz,0,context,gamma,encoder_bottleneck_deepest,1x320x6x6x6,0.27852919697761536,0.027100984007120132,11.366189002990723,0.013511161808417183,11.366189002990723,138.1118621826172,0.08229697886458065,-0.01524419616907835
HEM_PA29.nii.gz,HEM_PA29.nii.gz,0,context,blur,encoder_stage_2,1x64x96x96x96,0.13955850899219513,0.12729686498641968,2134.9541015625,0.26976372338801713,2134.9541015625,3199.427490234375,0.6672925415809637,0.5045017600059509
HEM_PA29.nii.gz,HEM_PA29.nii.gz,0,context,blur,encoder_stage_3,1x128x48x48x48,0.18704473972320557,0.10834130644798279,633.0087890625,0.1264853887844006,633.0087890625,1647.7686767578125,0.38416119810459237,0.22437898814678192
HEM_PA29.nii.gz,HEM_PA29.nii.gz,0,context,blur,encoder_stage_4,1x256x24x24x24,0.3281616270542145,0.10511016845703125,197.90838623046875,0.06025816226868985,197.90838623046875,1075.900390625,0.18394675562437712,0.08308776468038559
HEM_PA29.nii.gz,HEM_PA29.nii.gz,0,context,blur,encoder_stage_5,1x320x12x12x12,0.8170380592346191,0.12169123440980911,141.7495574951172,0.07256477080412682,141.7495574951172,661.1336669921875,0.2144037803126916,0.02881772257387638
HEM_PA29.nii.gz,HEM_PA29.nii.gz,0,context,blur,encoder_bottleneck_deepest,1x320x6x6x6,0.9134600162506104,0.09069676697254181,11.366189002990723,0.013511161808417183,11.366189002990723,251.45315551757812,0.045202013788990435,0.03840437904000282
HEM_PA29.nii.gz,HEM_PA29.nii.gz,1,context,gamma,encoder_stage_2,1x64x96x96x96,0.02709619142115116,0.019523579627275467,355.2178039550781,0.04004046847970446,355.2178039550781,1229.1851806640625,0.2889864029789011,0.11772630363702774
HEM_PA29.nii.gz,HEM_PA29.nii.gz,1,context,gamma,encoder_stage_3,1x128x48x48x48,0.03079182840883732,0.016156520694494247,93.1236801147461,0.017964503671745284,93.1236801147461,658.5699462890625,0.14140286941346672,0.053027696907520294
HEM_PA29.nii.gz,HEM_PA29.nii.gz,1,context,gamma,encoder_stage_4,1x256x24x24x24,0.0580388568341732,0.019249144941568375,40.13739013671875,0.012287497672776405,40.13739013671875,453.5079040527344,0.0885042791493476,0.05175456777215004
