variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,delta_dice_vs_A_init,delta_foreground_iou_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A_uniform_balanced,reverse,20,HEP_PA28.nii.gz,full_volume,544283,253632,6715153,364087,0.6379743126148328,0.6821315553661731,0.5991864548587029,0.46840108708935096,0.08290997686784962,0.08425641582197468,-0.056311925374789795,0.15454165152966298
A_uniform_balanced,reverse,20,HEM_PA107.nii.gz,full_volume,501360,96576,11682025,319255,0.7068621431305607,0.8384843862888336,0.6109564168337162,0.5466255120253033,0.08223088123757205,0.09247002296518408,-0.08537849626987748,0.1391419849746836
A0_confidence_rank,forward,4,CYST_PA62.nii.gz,full_volume,389811,194810,11896260,823515,0.43361789863661165,0.6667755691294018,0.3212747439682328,0.27682766437332756,0.00392330224170645,0.0031900678851439768,-0.005284415085278549,0.005469263825220949
A0_confidence_rank,forward,4,HEM_PA29.nii.gz,full_volume,553376,139791,14361716,858679,0.5257174777766905,0.7983299839721164,0.39189408344575816,0.35659208452385094,0.004125183639300922,0.0037852829433256407,-0.0019932120053682834,0.005034506446278675
A0_confidence_rank,forward,4,HEP_PA28.nii.gz,full_volume,417894,158866,6809919,490476,0.5627709358776672,0.7245544073791526,0.460048218237062,0.3915666263132053,0.007706600130684027,0.007421955045829043,-0.013889073361810333,0.01540341490802205
A0_confidence_rank,forward,4,HEM_PA107.nii.gz,full_volume,406840,36702,11741899,413775,0.6436542296566012,0.9172524811630015,0.4957745105804793,0.47455025387342137,0.019022967763612564,0.020394764813302158,-0.006610401395709564,0.02396007872144673
A0_confidence_rank,forward,8,CYST_PA62.nii.gz,full_volume,400462,228640,11862430,812864,0.4347111528917277,0.636561320739721,0.3300530937274896,0.2777194469217721,0.005016556496822477,0.004081850433588496,-0.035498663474959335,0.014247613584477736
A0_confidence_rank,forward,8,HEM_PA29.nii.gz,full_volume,564521,145401,14356106,847534,0.5320708000133837,0.7951873586112277,0.39978683549861727,0.362463530269876,0.010478505875994082,0.009656728689350691,-0.005135837366257001,0.012927258499137784
A0_confidence_rank,forward,8,HEP_PA28.nii.gz,full_volume,429088,174240,6794545,479282,0.5676901074156346,0.7112018669778296,0.47237139051267657,0.3963458678563841,0.01262577166865142,0.012201196589007812,-0.027241613763133277,0.02772658718363663
A0_confidence_rank,forward,8,HEM_PA107.nii.gz,full_volume,419913,50379,11728222,400702,0.6505704903606534,0.8928771911918553,0.5117052454561518,0.48210779867599546,0.02593922846766472,0.027952309615876247,-0.030985691366855805,0.03989081359711927
A0_confidence_rank,forward,12,CYST_PA62.nii.gz,full_volume,414506,244741,11846329,798820,0.44271278075674486,0.6287567482294193,0.3416278889597684,0.2842846042054309,0.013018184361839658,0.010647007717247303,-0.04330323598526109,0.02582240881675657
A0_confidence_rank,forward,12,HEM_PA29.nii.gz,full_volume,611238,155037,14346470,800817,0.5611987164479211,0.7976744641284135,0.4328712408511,0.39004602154819246,0.039606422310531464,0.03723921996766716,-0.0026487318490712175,0.04601166385162053
A0_confidence_rank,forward,12,HEP_PA28.nii.gz,full_volume,445207,192223,6776562,463163,0.5760214775520766,0.6984406130869272,0.4901163622752843,0.40451556569958197,0.020957141805093338,0.02037089443220569,-0.04000286765403571,0.045471558946244384
