variant,order,step,scope,case_count,mean_dice,std_dice,mean_foreground_iou,std_foreground_iou,mean_precision,mean_recall,delta_mean_dice_vs_A_init,delta_mean_foreground_iou_vs_A_init
A0_confidence_rank,forward,4,full_volume,4,0.5414401354868927,0.07545787039321246,0.3748841572709513,0.07099526623318911,0.776728110410918,0.417247889057883,0.008694513443826102,0.008698017671900204
A0_confidence_rank,forward,8,full_volume,4,0.5462606376703498,0.07743449907654859,0.3796591609310069,0.07324883031478376,0.7589569343801583,0.42847914129873377,0.013515015627283189,0.01347302133195577
A0_confidence_rank,forward,12,full_volume,4,0.5591714807284202,0.07644083277642798,0.39194389284701286,0.07272956072027155,0.7478539338255962,0.4483397945559971,0.02642585868535352,0.025757753247961757
A0_confidence_rank,forward,16,full_volume,4,0.5863765194131387,0.08471346615044745,0.419742786831997,0.08251408867640918,0.7428169151701456,0.48780995572701724,0.053630897370072095,0.0535566472329459
A0_confidence_rank,forward,20,full_volume,4,0.623713212611605,0.0691751400236056,0.4569066563240497,0.07411506257616178,0.7342531011939253,0.5445535977803997,0.09096759056853831,0.09072051672499859
A0_confidence_rank,reverse,20,full_volume,4,0.6394867852471305,0.06491956700135552,0.4734312562199034,0.07128329562728562,0.7341350756334825,0.5681576438722757,0.1067411632040639,0.10724511662085229
A1_world,forward,4,full_volume,4,0.5415303560068594,0.07494747756671419,0.37491655585454875,0.07045141956060356,0.7769264565775987,0.417311129832168,0.008784733963792757,0.008730416255497642
A1_world,forward,8,full_volume,4,0.5476908998147304,0.0777000485618324,0.3810514431496851,0.07362731364058783,0.7594604512041135,0.43010006064861184,0.014945277771663767,0.01486530355063398
A1_world,forward,12,full_volume,4,0.5589951296384438,0.07680636734253173,0.39182257242203106,0.07330598841828312,0.7469747939094553,0.4485727446131533,0.02624950759537714,0.02563643282297995
A1_world,forward,16,full_volume,4,0.5859827193886042,0.08428406388927963,0.41929651619296116,0.08208459809391222,0.7401769143601684,0.4881793938117921,0.05323709734553761,0.05311037659391005
A1_world,forward,20,full_volume,4,0.6122051945939938,0.06383864168391888,0.44415153121578305,0.06562313998897354,0.7314851951525525,0.5294522759387732,0.07945957255092717,0.07796539161673194
A1_world,reverse,20,full_volume,4,0.6174355489545605,0.06105756059969446,0.4493878248340608,0.0634664488006875,0.7286015029964713,0.5385128355494861,0.0846899269114939,0.0832016852350097
A2_joint_product,forward,4,full_volume,4,0.5418585514242037,0.07584972067335623,0.3753207952714213,0.07144014342956043,0.7764302397751057,0.41783509680465725,0.009112929381137058,0.009134655672370207
A2_joint_product,forward,8,full_volume,4,0.5470862480932619,0.07743017495291239,0.3804457709880015,0.07330222831845977,0.7584953731781088,0.4296529704359159,0.01434062605019526,0.014259631388950367
A2_joint_product,forward,12,full_volume,4,0.5613640311326882,0.07658367791004524,0.39408590584354,0.07298147808488747,0.747309749536017,0.4513487959726808,0.028618409089621544,0.027899766244488866
A2_joint_product,forward,16,full_volume,4,0.5887590754836876,0.08480349191418755,0.4221595941590307,0.08275643971387621,0.7414254969451671,0.4917426930809642,0.05601345344062092,0.055973454559979596
A2_joint_product,forward,20,full_volume,4,0.6240063827391286,0.06285225991647966,0.456539677298864,0.06671318835755272,0.7331432858824167,0.5456299784427046,0.09126076069606193,0.09035353769981291
A2_joint_product,reverse,20,full_volume,4,0.6428516837333218,0.06261420922978192,0.4768458460931202,0.0687278724974467,0.7317394088764919,0.5748723576637876,0.11010606169025516,0.11065970649406909
A_init_no_adaptation,forward,0,full_volume,4,0.5327456220430666,0.07015163291495173,0.3661861395990511,0.0648177344984454,0.7836723858729597,0.40478107308264094,,
A_uniform_balanced,forward,4,full_volume,4,0.5411515717327507,0.07462090426677709,0.3745256159376145,0.07009444590023238,0.7771040890869824,0.41680418867900876,0.008405949689684111,0.008339476338563412
A_uniform_balanced,forward,8,full_volume,4,0.5472743483296113,0.07758222185139664,0.3806427715376024,0.07350139607142604,0.7597249920727192,0.4294909413466529,0.014528726286544669,0.01445663193855129
A_uniform_balanced,forward,12,full_volume,4,0.5583054801657326,0.07646816142672132,0.3911202755331822,0.072940559553738,0.7471744017627308,0.44759000326092746,0.025559858122665924,0.024934135934131074
A_uniform_balanced,forward,16,full_volume,4,0.5854774598255434,0.08406885168961793,0.4187638724698741,0.08186183933971675,0.740427580817911,0.4873830874443912,0.05273183778247681,0.05257773287082301
A_uniform_balanced,forward,20,full_volume,4,0.6119283202556689,0.06367193729110886,0.44385364293409935,0.06558227626380556,0.7318226275665943,0.5287868176553745,0.07918269821260226,0.07766750333504824
A_uniform_balanced,reverse,20,full_volume,4,0.6193564987375794,0.06436664151429859,0.45174880632178116,0.06760735933589712,0.7302610938582496,0.5403287987470007,0.08661087669451273,0.08556266672273005
A_uniform_balanced,forward,0,full_volume,4,0.5327456220430666,0.07015163291495173,0.3661861395990511,0.0648177344984454,0.7836723858729597,0.40478107308264094,,
A0_confidence_rank,forward,0,full_volume,4,0.5327456220430666,0.07015163291495173,0.3661861395990511,0.0648177344984454,0.7836723858729597,0.40478107308264094,,
A1_world,forward,0,full_volume,4,0.5327456220430666,0.07015163291495173,0.3661861395990511,0.0648177344984454,0.7836723858729597,0.40478107308264094,,
A2_joint_product,forward,0,full_volume,4,0.5327456220430666,0.07015163291495173,0.3661861395990511,0.0648177344984454,0.7836723858729597,0.40478107308264094,,
