case,order,step,confidence_uniform_left,confidence_uniform_right,confidence_uniform_dice_delta,confidence_uniform_foreground_iou_delta,confidence_uniform_precision_delta,confidence_uniform_recall_delta,confidence_uniform_dice_win,world_uniform_left,world_uniform_right,world_uniform_dice_delta,world_uniform_foreground_iou_delta,world_uniform_precision_delta,world_uniform_recall_delta,world_uniform_dice_win,joint_uniform_left,joint_uniform_right,joint_uniform_dice_delta,joint_uniform_foreground_iou_delta,joint_uniform_precision_delta,joint_uniform_recall_delta,joint_uniform_dice_win,joint_confidence_left,joint_confidence_right,joint_confidence_dice_delta,joint_confidence_foreground_iou_delta,joint_confidence_precision_delta,joint_confidence_recall_delta,joint_confidence_dice_win
CYST_PA37.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.0005126862498217033,0.000814851923392701,0.002348274539114792,-0.002044811488987386,True,A1_world_pairwise,A_uniform_balanced,0.0008243399705780696,0.001310551481215172,0.00048554941690204245,0.001283951400061878,True,A2_joint_pairwise,A_uniform_balanced,-0.0003832855466335827,-0.0006086990847425922,-0.0012473940479883483,0.0008321907222622604,False,A2_joint_pairwise,A0_confidence_rank,-0.000895971796455286,-0.0014235510081352931,-0.00359566858710314,0.0028770022112496463,False
CYST_PA37.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,8.611582592887856e-05,0.00013657754729479166,0.0012576277030228455,-0.001553422681556338,True,A1_world_pairwise,A_uniform_balanced,0.0007005366181446204,0.0011116418130125982,-3.337410052572931e-05,0.0017198608260087234,True,A2_joint_pairwise,A_uniform_balanced,-0.0008460117857810312,-0.0013406406921117053,-0.0024875358126061897,0.0014820920482194744,False,A2_joint_pairwise,A0_confidence_rank,-0.0009321276117099098,-0.001477218239406497,-0.0037451635156290353,0.0030355147297758123,False
CYST_PA38.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,-0.0001780268527552531,-0.00032904290077251375,0.00032055928946150836,-0.0006693809073924362,False,A1_world_pairwise,A_uniform_balanced,0.0003155959291289978,0.0005835855374634047,0.000343473848472331,0.0002880879854599838,True,A2_joint_pairwise,A_uniform_balanced,1.1459518554413073e-05,2.1184220751480076e-05,-0.0004703074325681511,0.0004872076224691213,True,A2_joint_pairwise,A0_confidence_rank,0.00018948637130966617,0.0003502271215239938,-0.0007908667220296595,0.0011565885298615575,True
CYST_PA38.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,-0.00020394089316733144,-0.0003769363740133702,4.885660827647076e-05,-0.00045331491829736503,False,A1_world_pairwise,A_uniform_balanced,0.00033713918605304816,0.0006234460824059429,0.00030527584042616684,0.00036858315786802986,True,A2_joint_pairwise,A_uniform_balanced,1.9142001619565363e-05,3.5387038371137436e-05,-0.0008013814178655654,0.0008303712522084172,True,A2_joint_pairwise,A0_confidence_rank,0.0002230828947868968,0.00041232341238450765,-0.0008502380261420361,0.0012836861705057823,True
CYST_PA53.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.0001226246766763417,0.00022265544417765515,0.0006181424271964886,-0.0004397217003960785,True,A1_world_pairwise,A_uniform_balanced,0.0005277162817807213,0.0009585695050736698,0.000801431911230166,0.00021595799486895384,True,A2_joint_pairwise,A_uniform_balanced,-0.0002057419069634303,-0.00037345849038394885,-0.0003887348527672474,2.6019035526125833e-06,False,A2_joint_pairwise,A0_confidence_rank,-0.000328366583639772,-0.000596113934561604,-0.001006877279963736,0.0004423236039486911,False
CYST_PA53.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,-9.027865994815087e-05,-0.00016378512962267333,0.00012345182494655216,-0.00033304365473774133,False,A1_world_pairwise,A_uniform_balanced,0.0004952630376624523,0.0008990162413806679,0.0006484385537873782,0.0003200341369746784,True,A2_joint_pairwise,A_uniform_balanced,-0.00040881559745187257,-0.0007414554988024458,-0.0009635045441543921,0.00022376370552701363,False,A2_joint_pairwise,A0_confidence_rank,-0.0003185369375037217,-0.0005776703691797724,-0.0010869563691009443,0.000556807360264755,False
CYST_PA54.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,4.2522867722216695e-05,7.683651470091757e-05,0.0005526956829284835,-0.0005237998820349921,True,A1_world_pairwise,A_uniform_balanced,0.00030631477072684543,0.0005536329894605396,0.000300327259864841,0.0003125192573486535,True,A2_joint_pairwise,A_uniform_balanced,-0.00024025886479206449,-0.00043401807138521153,-0.0009817487914461909,0.0005854233975685075,False,A2_joint_pairwise,A0_confidence_rank,-0.0002827817325142812,-0.0005108545860861291,-0.0015344444743746743,0.0011092232796034995,False
CYST_PA54.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,2.128310309768011e-06,3.8445149114219035e-06,0.00021790597601978323,-0.0002376907027721309,True,A1_world_pairwise,A_uniform_balanced,0.0003011392946464797,0.0005441234713314813,9.266404211860646e-05,0.0005326032413969228,True,A2_joint_pairwise,A_uniform_balanced,-0.00034939938303224505,-0.0006309336209278094,-0.001475747892218826,0.0009067460142790917,False,A2_joint_pairwise,A0_confidence_rank,-0.00035152769334201306,-0.0006347781358392313,-0.0016936538682386093,0.0011444367170512226,False
CYST_PA74.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.0011345695402625866,0.0019681100094585124,0.0029853972880522495,-0.0011305260444477438,True,A1_world_pairwise,A_uniform_balanced,-0.000104277575084466,-0.00018067918815278805,-0.0005158191071695795,0.00040139198320787717,False,A2_joint_pairwise,A_uniform_balanced,7.278919469033696e-05,0.00012614083447415325,-0.00011139620590083776,0.0002982821159618343,True,A2_joint_pairwise,A0_confidence_rank,-0.0010617803455722497,-0.0018419691749843592,-0.0030967934939530872,0.0014288081604095781,False
CYST_PA74.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,0.0008943729705914727,0.0015504188702835098,0.0022671938920214574,-0.000791736480639238,True,A1_world_pairwise,A_uniform_balanced,-0.0004286582748513901,-0.0007421757482503066,-0.0013219624234306337,0.000673896632358062,False,A2_joint_pairwise,A_uniform_balanced,-0.00042176822261741354,-0.0007302510435532872,-0.0013512969754523318,0.0007254515659811389,False,A2_joint_pairwise,A0_confidence_rank,-0.0013161411932088862,-0.002280669913836797,-0.0036184908674737892,0.0015171880466203769,False
