variant,order,step,scope,case_count,mean_dice,std_dice,mean_foreground_iou,std_foreground_iou,mean_precision,mean_recall
A0_confidence_rank,forward,4,full_volume,18,0.9182325159527915,0.036537606192236734,0.8509099827766262,0.06172634266628599,0.8917790432862162,0.9484876593503136
A0_confidence_rank,forward,8,full_volume,18,0.9174407146974161,0.03692569506787576,0.8496000931962091,0.062364052404953574,0.8882591370797835,0.9509080839920107
A0_confidence_rank,forward,12,full_volume,18,0.9159724711667206,0.037706782340688465,0.8471831030645197,0.06360696430907894,0.8827085680392299,0.9543540973669555
A0_confidence_rank,forward,16,full_volume,18,0.9133808625894737,0.03904949445865914,0.8429306207889525,0.06568083073341889,0.874444456846724,0.9588005163268919
A0_confidence_rank,forward,20,full_volume,18,0.9092119930848691,0.04125165413683301,0.8361453776493243,0.06900581837925282,0.8630484059452123,0.9639712526970796
A0_confidence_rank,reverse,20,full_volume,18,0.9083530758447621,0.041749541269672896,0.8347610722015362,0.06976246485232675,0.8610999337306615,0.964590417284475
A1_world_pairwise,forward,4,full_volume,18,0.9182205482670471,0.03655404696916722,0.8508913297443028,0.06175257724101165,0.8915944132406006,0.9486781258465804
A1_world_pairwise,forward,8,full_volume,18,0.9173761094410605,0.03701537647038545,0.8494998183503348,0.06250859045744098,0.8877276803809091,0.9514032817339501
A1_world_pairwise,forward,12,full_volume,18,0.9158483760322578,0.037885990236519965,0.8469919974963458,0.06388840549121236,0.8817724205232988,0.9552315714480025
A1_world_pairwise,forward,16,full_volume,18,0.9131134173608159,0.03936929199401704,0.8425144718161017,0.06617906790839792,0.8729908782659236,0.960048434415589
A1_world_pairwise,forward,20,full_volume,18,0.908730293026831,0.04177307580361011,0.8353988835710363,0.06981842366920096,0.8610694168873609,0.9654928804905984
A1_world_pairwise,reverse,20,full_volume,18,0.9079866165491409,0.04220479746069327,0.8342019172749618,0.07047525517301197,0.8593955916542959,0.9660302653971358
A2_joint_pairwise,forward,4,full_volume,18,0.9182332429157989,0.036545069820104505,0.8509120480037585,0.0617380812097401,0.891738328743409,0.948534590401886
A2_joint_pairwise,forward,8,full_volume,18,0.9174012762498998,0.036975519723866444,0.849538350619206,0.06244513472193218,0.8879397092263415,0.9511993497981747
A2_joint_pairwise,forward,12,full_volume,18,0.9158241884958611,0.037837828217655786,0.8469453238634793,0.0638126840071241,0.8818804369912053,0.955029077937722
A2_joint_pairwise,forward,16,full_volume,18,0.9129758026487662,0.039317241061912,0.8422748982665715,0.06609148212398383,0.872853773354048,0.9598815078063284
A2_joint_pairwise,forward,20,full_volume,18,0.9084226084033623,0.04173050321195413,0.8348756519564899,0.06973500883399665,0.8605755765614611,0.9653894384794997
A2_joint_pairwise,reverse,20,full_volume,18,0.9074795689740073,0.04225759673914216,0.8333562422534638,0.07053134213174678,0.858400602885765,0.9661315505872489
A_init_no_adaptation,forward,0,full_volume,18,0.9186083456992811,0.03631637016699134,0.8515281309988547,0.06135455408297429,0.8938517803391987,0.946904515109463
A_uniform_balanced,forward,4,full_volume,18,0.9182146206370612,0.03654903227008503,0.8508806034115316,0.061743736118888046,0.8916524657977963,0.9485980282017117
A_uniform_balanced,forward,8,full_volume,18,0.9173450326796709,0.03699913000194978,0.8494448540825481,0.062480999600961006,0.8878228267202045,0.9512251777882752
A_uniform_balanced,forward,12,full_volume,18,0.9157690437989299,0.03786958860221103,0.8468549418540339,0.063860993658876,0.8818379749599832,0.9549817603626527
A_uniform_balanced,forward,16,full_volume,18,0.9129216384437393,0.03940476228458231,0.8421934257802763,0.06622963013412468,0.8729231610740549,0.9597139549182836
A_uniform_balanced,forward,20,full_volume,18,0.9083901698341226,0.0418488571898907,0.8348354572751728,0.06991192151297136,0.8607801231482534,0.9651123185743659
A_uniform_balanced,reverse,20,full_volume,18,0.9078105037495595,0.042186103102020235,0.8339030881728932,0.07042639942258394,0.8595955812169832,0.9653752493289818
