method,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,aggregation
confidence,overall,32,26,0.9898449138358788,0.5000000668889437,0.8767170643575649,0.9991000215949095,0.2076269979939588,patch_macro
confidence,foreground,32,20,0.5855311957463053,0.13268296641554078,0.5613562210095806,0.6963002066824877,0.03775882114146213,patch_macro
real_blur,overall,32,26,0.9898449138358788,0.4999999345456332,0.9102072058157522,0.9989254747602391,0.18595839997396546,patch_macro
real_blur,foreground,32,20,0.5855311957463053,0.10426748580992067,0.5360791404845114,0.7123547727144011,0.01634616526652661,patch_macro
imagined_blur,overall,32,26,0.9898449138358788,0.49999993255966996,0.8656208998741654,0.9988082068524569,0.20060107785511638,patch_macro
imagined_blur,foreground,32,20,0.5855311957463053,0.16366166085356057,0.5951570523079609,0.7324373503469203,0.09394212542364025,patch_macro
