case,patch_index,patch_kind,method,scope,voxel_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,disagreement_probability_mse,disagreement_probability_mae,source_gt_dice,real_blur_gt_dice,real_blur_gt_dice_drop_vs_source
HEM_PA29.nii.gz,2,foreground,confidence,foreground,535431,0.6429717367877467,0.04350057455165715,0.462583008078177,0.5804322437082415,-0.06210264241919862,,,0.7770518629702569,0.8025131654181675,-0.025461302447910672
HEM_PA29.nii.gz,2,foreground,real_blur,overall,7077888,0.9720889903880932,0.4999999296086723,0.9747237280068541,0.9991491632509535,0.2708772166092197,0.011972568536662839,0.019525759004923034,0.7770518629702569,0.8025131654181675,-0.025461302447910672
HEM_PA29.nii.gz,2,foreground,real_blur,foreground,535431,0.6429717367877467,0.052015021705778125,0.670605075020118,0.750028907693653,0.283160903599087,0.011972568536662839,0.019525759004923034,0.7770518629702569,0.8025131654181675,-0.025461302447910672
HEM_PA29.nii.gz,2,foreground,imagined_blur,overall,7077888,0.9720889903880932,0.499999929092214,0.963971884318336,0.9988175160040764,0.2648404445845661,0.0011823510334704069,0.004744934869129928,0.7770518629702569,0.8025131654181675,-0.025461302447910672
HEM_PA29.nii.gz,2,foreground,imagined_blur,foreground,535431,0.6429717367877467,0.060490142725332756,0.49844963083208027,0.637111493873649,-0.0025733792839155926,0.0011823510334704069,0.004744934869129928,0.7770518629702569,0.8025131654181675,-0.025461302447910672
HEM_PA29.nii.gz,3,foreground,confidence,overall,7077888,0.9600993968822338,0.5000000696868441,0.9649995737747569,0.998295035381685,0.3152764851113239,,,0.5497185860743953,0.37197527793191865,0.17774330814247663
HEM_PA29.nii.gz,3,foreground,confidence,foreground,404359,0.4263266058131512,0.05059447120081416,0.3798003626331821,0.3384426113466631,-0.2059195209334561,,,0.5497185860743953,0.37197527793191865,0.17774330814247663
HEM_PA29.nii.gz,3,foreground,real_blur,overall,7077888,0.9600993968822338,0.4999999292698181,0.9614982346157703,0.9981066821818008,0.31290223388651545,0.012650584679799811,0.02062894071195,0.5497185860743953,0.37197527793191865,0.17774330814247663
HEM_PA29.nii.gz,3,foreground,real_blur,foreground,404359,0.4263266058131512,0.050353897764731835,0.22522796023530958,0.2933042320951684,-0.4707244769453926,0.012650584679799811,0.02062894071195,0.5497185860743953,0.37197527793191865,0.17774330814247663
HEM_PA29.nii.gz,3,foreground,imagined_blur,overall,7077888,0.9600993968822338,0.4999999311315285,0.9613925485575113,0.9979811031386061,0.3128345259835451,0.0016090378792867842,0.006397990506633909,0.5497185860743953,0.37197527793191865,0.17774330814247663
HEM_PA29.nii.gz,3,foreground,imagined_blur,foreground,404359,0.4263266058131512,0.05685165040573359,0.3899222151525999,0.3550899090749302,-0.18857999675767453,0.0016090378792867842,0.006397990506633909,0.5497185860743953,0.37197527793191865,0.17774330814247663
HEP_PA28.nii.gz,0,context,confidence,overall,7077888,0.9771629616066262,0.5000000690825163,0.8512296066981025,0.9880716673338013,0.18190413214661222,,,0.0,0.0,0.0
HEP_PA28.nii.gz,0,context,confidence,foreground,0,,,,,,,,0.0,0.0,0.0
HEP_PA28.nii.gz,0,context,real_blur,overall,7077888,0.9771629616066262,0.49999992760025536,0.8020374190582129,0.980726090685478,0.15630192172296997,0.0022868099339953705,0.0036696847519124276,0.0,0.0,0.0
HEP_PA28.nii.gz,0,context,real_blur,foreground,0,,,,,,0.0022868099339953705,0.0036696847519124276,0.0,0.0,0.0
HEP_PA28.nii.gz,0,context,imagined_blur,overall,7077888,0.9771629616066262,0.49999993529845427,0.6653842480230188,0.9821629076454073,0.08804125469574066,0.00041777593948501485,0.001245473407059897,0.0,0.0,0.0
HEP_PA28.nii.gz,0,context,imagined_blur,foreground,0,,,,,,0.00041777593948501485,0.001245473407059897,0.0,0.0,0.0
HEP_PA28.nii.gz,1,context,confidence,overall,7077888,0.9971018190737124,0.5000000992715037,0.6113724398878813,0.9977464289214896,0.24345698683658346,,,0.42689911435196826,0.2970193539685751,0.12987976038339316
HEP_PA28.nii.gz,1,context,confidence,foreground,26716,0.2859709537355892,0.3501988397137733,0.25458969783582674,0.2025719430297078,-0.4729781254482944,,,0.42689911435196826,0.2970193539685751,0.12987976038339316
HEP_PA28.nii.gz,1,context,real_blur,overall,7077888,0.9971018190737124,0.49999996690154247,0.8978650897626659,0.9994414817661936,0.19807193342800108,0.0030472627874375347,0.0034033011432223212,0.42689911435196826,0.2970193539685751,0.12987976038339316
HEP_PA28.nii.gz,1,context,real_blur,foreground,26716,0.2859709537355892,0.08831806507657113,0.17941124040624495,0.19114439599839742,-0.5028587040577829,0.0030472627874375347,0.0034033011432223212,0.42689911435196826,0.2970193539685751,0.12987976038339316
HEP_PA28.nii.gz,1,context,imagined_blur,overall,7077888,0.9971018190737124,0.4999999029419339,0.6281308618010796,0.9978435535966763,0.2656348795113735,0.0001115540853862708,0.0001810322356437542,0.42689911435196826,0.2970193539685751,0.12987976038339316
HEP_PA28.nii.gz,1,context,imagined_blur,foreground,26716,0.2859709537355892,0.3432772644315942,0.29255740197106317,0.213705764586453,-0.3938261379966252,0.0001115540853862708,0.0001810322356437542,0.42689911435196826,0.2970193539685751,0.12987976038339316
HEP_PA28.nii.gz,2,foreground,confidence,overall,7077888,0.9698689778645834,0.5000000710000576,0.9569305858969357,0.9985026476829435,0.27063102137602224,,,0.6594945682371199,0.6048811792103314,0.054613389026788584
HEP_PA28.nii.gz,2,foreground,confidence,foreground,406264,0.5083541736407853,0.04215407359427734,0.22843600471051873,0.3615045751052121,-0.4702976639091477,,,0.6594945682371199,0.6048811792103314,0.054613389026788584
HEP_PA28.nii.gz,2,foreground,real_blur,overall,7077888,0.9698689778645834,0.4999999304581656,0.9557735412199111,0.9983380917950746,0.2699021284978955,0.009561554946611076,0.015383330798124883,0.6594945682371199,0.6048811792103314,0.054613389026788584
HEP_PA28.nii.gz,2,foreground,real_blur,foreground,406264,0.5083541736407853,0.04631441220436617,0.33780878495554784,0.3979051289235186,-0.2808843943225077,0.009561554946611076,0.015383330798124883,0.6594945682371199,0.6048811792103314,0.054613389026788584
HEP_PA28.nii.gz,2,foreground,imagined_blur,overall,7077888,0.9698689778645834,0.4999999311086143,0.9586015583356168,0.9984882448108907,0.2739902351321457,0.0015654650497152719,0.004741049729529078,0.6594945682371199,0.6048811792103314,0.054613389026788584
HEP_PA28.nii.gz,2,foreground,imagined_blur,foreground,406264,0.5083541736407853,0.04777912271759771,0.31658253672769576,0.3976821521419669,-0.3176471380456636,0.0015654650497152719,0.004741049729529078,0.6594945682371199,0.6048811792103314,0.054613389026788584
