case,patch_index,patch_kind,method,scope,region,voxel_count,reliability_mean
CYST_PA62.nii.gz,2,foreground,imagined_blur,foreground,TN,0,
CYST_PA62.nii.gz,3,context_fill,confidence,overall,TP,0,
CYST_PA62.nii.gz,3,context_fill,confidence,overall,FP,0,
CYST_PA62.nii.gz,3,context_fill,confidence,overall,FN,0,
CYST_PA62.nii.gz,3,context_fill,confidence,overall,TN,7077888,0.5000000596046448
CYST_PA62.nii.gz,3,context_fill,confidence,foreground,TP,0,
CYST_PA62.nii.gz,3,context_fill,confidence,foreground,FP,0,
CYST_PA62.nii.gz,3,context_fill,confidence,foreground,FN,0,
CYST_PA62.nii.gz,3,context_fill,confidence,foreground,TN,0,
CYST_PA62.nii.gz,3,context_fill,real_blur,overall,TP,0,
CYST_PA62.nii.gz,3,context_fill,real_blur,overall,FP,0,
CYST_PA62.nii.gz,3,context_fill,real_blur,overall,FN,0,
CYST_PA62.nii.gz,3,context_fill,real_blur,overall,TN,7077888,0.4999999403953552
CYST_PA62.nii.gz,3,context_fill,real_blur,foreground,TP,0,
CYST_PA62.nii.gz,3,context_fill,real_blur,foreground,FP,0,
CYST_PA62.nii.gz,3,context_fill,real_blur,foreground,FN,0,
CYST_PA62.nii.gz,3,context_fill,real_blur,foreground,TN,0,
CYST_PA62.nii.gz,3,context_fill,imagined_blur,overall,TP,0,
CYST_PA62.nii.gz,3,context_fill,imagined_blur,overall,FP,0,
CYST_PA62.nii.gz,3,context_fill,imagined_blur,overall,FN,0,
CYST_PA62.nii.gz,3,context_fill,imagined_blur,overall,TN,7077888,0.4999999403953552
CYST_PA62.nii.gz,3,context_fill,imagined_blur,foreground,TP,0,
CYST_PA62.nii.gz,3,context_fill,imagined_blur,foreground,FP,0,
CYST_PA62.nii.gz,3,context_fill,imagined_blur,foreground,FN,0,
CYST_PA62.nii.gz,3,context_fill,imagined_blur,foreground,TN,0,
HEM_PA29.nii.gz,0,context,confidence,overall,TP,0,
HEM_PA29.nii.gz,0,context,confidence,overall,FP,0,
HEM_PA29.nii.gz,0,context,confidence,overall,FN,0,
HEM_PA29.nii.gz,0,context,confidence,overall,TN,7077888,0.5000000596046448
HEM_PA29.nii.gz,0,context,confidence,foreground,TP,0,
HEM_PA29.nii.gz,0,context,confidence,foreground,FP,0,
HEM_PA29.nii.gz,0,context,confidence,foreground,FN,0,
HEM_PA29.nii.gz,0,context,confidence,foreground,TN,0,
HEM_PA29.nii.gz,0,context,real_blur,overall,TP,0,
