stage,state_shape,state_mb,identity_normalized_mse,intermediate_prediction_normalized_mse
decoder_stage_1_low_to_high,1x1x288x24x24x24,7.59375,0.0060354298911988735,0.0011225154157727957
decoder_stage_2_low_to_high,1x1x160x48x48x48,33.75,0.0018314330372959375,0.0008035238133743405
