case,patch_index,patch_kind,action_order,first_action,second_action,step1_state_normalized_mse,step1_state_sse,step1_state_target_sq,step1_mask_logit_normalized_mse,step1_mask_logit_sse,step1_mask_logit_target_sq,step2_free_rollout_state_normalized_mse,step2_free_rollout_state_sse,step2_free_rollout_state_target_sq,step2_free_rollout_mask_logit_normalized_mse,step2_free_rollout_mask_logit_sse,step2_free_rollout_mask_logit_target_sq,step2_teacher_forced_state_normalized_mse,step2_teacher_forced_state_sse,step2_teacher_forced_state_target_sq,step2_teacher_forced_mask_logit_normalized_mse,step2_teacher_forced_mask_logit_sse,step2_teacher_forced_mask_logit_target_sq,step2_identity_state_normalized_mse,step2_identity_state_sse,step2_identity_state_target_sq,step2_identity_mask_logit_normalized_mse,step2_identity_mask_logit_sse,step2_identity_mask_logit_target_sq
CYST_PA62.nii.gz,0,context,gamma_0.30_then_language,gamma,language,0.007402939316876101,146580.65625,19800332.0,0.0012588582300167715,46644.81640625,37053272.0,0.007774202044752773,152875.640625,19664480.0,0.0013852878303350202,50702.953125,36601024.0,0.0003557934491053158,6996.4931640625,19664480.0,0.00013837574182777647,5064.69384765625,36601024.0,0.007582901378526154,149113.8125,19664480.0,0.0012568230801069937,46001.01171875,36601024.0
CYST_PA62.nii.gz,0,context,language_then_gamma_0.30,language,gamma,0.00034680453797053724,6766.501953125,19510996.0,0.00012478567031221424,4514.20947265625,36175704.0,0.007772721742451364,152846.53125,19664480.0,0.0013859641476492571,50727.70703125,36601024.0,0.007408019116193258,145674.84375,19664480.0,0.0012385838576538185,45333.4375,36601024.0,0.007582901378526154,149113.8125,19664480.0,0.0012568230801069937,46001.01171875,36601024.0
CYST_PA62.nii.gz,0,context,blur_1.5_then_language,blur,language,0.03482691600739339,664677.125,19085156.0,0.0055621469309310115,192526.0625,34613624.0,0.03548305110711337,674006.375,18995164.0,0.005873858646698237,201318.09375,34273568.0,0.0003178736189609892,6038.0615234375,18995164.0,0.0001285764280281163,4406.77294921875,34273568.0,0.03562053346841333,676617.875,18995164.0,0.00683701021075483,234328.734375,34273568.0
CYST_PA62.nii.gz,0,context,language_then_blur_1.5,language,blur,0.00034680453797053724,6766.501953125,19510996.0,0.00012478567031221424,4514.20947265625,36175704.0,0.035547389851437974,675228.5,18995164.0,0.005965128415430807,204446.234375,34273568.0,0.03495037934392143,663888.1875,18995164.0,0.005654478128013984,193799.140625,34273568.0,0.03562053346841333,676617.875,18995164.0,0.00683701021075483,234328.734375,34273568.0
CYST_PA62.nii.gz,1,context,gamma_0.30_then_language,gamma,language,0.04506110739826721,273139.75,6061541.0,0.011624883411275768,84970.3125,7309347.5,0.04731699775493204,279467.4375,5906280.0,0.01176618114293193,79967.75,6796406.5,0.0018385194313298727,10858.810546875,5906280.0,0.00043297100793724595,2942.64697265625,6796406.5,0.04653199116025654,274830.96875,5906280.0,0.010549200706285004,71696.65625,6796406.5
CYST_PA62.nii.gz,1,context,language_then_gamma_0.30,language,gamma,0.0018110345191069603,10495.33984375,5795218.0,0.00044676782265908456,2802.953857421875,6273849.0,0.0473089131399121,279419.6875,5906280.0,0.011746161372189848,79831.6875,6796406.5,0.04575757181339185,270257.03125,5906280.0,0.01149049087558256,78094.046875,6796406.5,0.04653199116025654,274830.96875,5906280.0,0.010549200706285004,71696.65625,6796406.5
CYST_PA62.nii.gz,1,context,blur_1.5_then_language,blur,language,0.12284592657913777,728018.375,5926272.0,0.03341782715247276,222200.3125,6649155.0,0.12577958385694302,729406.8125,5799087.5,0.03412464529460674,211940.9375,6210788.0,0.0017259591756892787,10008.98828125,5799087.5,0.0004961359201974451,3081.39501953125,6210788.0,0.12695809901126687,736241.125,5799087.5,0.02875725572181823,178605.21875,6210788.0
CYST_PA62.nii.gz,1,context,language_then_blur_1.5,language,blur,0.0018110345191069603,10495.33984375,5795218.0,0.00044676782265908456,2802.953857421875,6273849.0,0.12603899967020674,730911.1875,5799087.5,0.03482709993884834,216303.734375,6210788.0,0.12386851810737465,718324.375,5799087.5,0.03366620658682924,209093.671875,6210788.0,0.12695809901126687,736241.125,5799087.5,0.02875725572181823,178605.21875,6210788.0
CYST_PA62.nii.gz,2,foreground,gamma_0.30_then_language,gamma,language,0.029631405949116445,174188.8125,5878520.0,0.00794740483463031,53356.97265625,6713760.5,0.03192765295720267,184801.421875,5788130.5,0.008675899383477051,54568.1796875,6289628.0,0.00224823492636137,13013.0771484375,5788130.5,0.0005854878820436598,3682.5009765625,6289628.0,0.03333952128411756,192973.5,5788130.5,0.012871621491366421,80957.7109375,6289628.0
CYST_PA62.nii.gz,2,foreground,language_then_gamma_0.30,language,gamma,0.0023895556230234464,14227.08203125,5953861.0,0.0005646243828722634,3855.528564453125,6828484.0,0.031940861561431624,184877.875,5788130.5,0.008699513409219114,54716.703125,6289628.0,0.029687510932934216,171835.1875,5788130.5,0.008382308391291187,52721.6015625,6289628.0,0.03333952128411756,192973.5,5788130.5,0.012871621491366421,80957.7109375,6289628.0
CYST_PA62.nii.gz,2,foreground,blur_1.5_then_language,blur,language,0.17523070240024266,915688.625,5225617.5,0.07840061208948661,331098.09375,4223157.0,0.1763604710834561,919472.6875,5213598.5,0.07488619041818763,305708.8125,4082312.25,0.0022922312559166187,11950.7734375,5213598.5,0.0009383561587668545,3830.662841796875,4082312.25,0.20524758475360158,1070078.5,5213598.5,0.17488958004131114,713953.875,4082312.25
CYST_PA62.nii.gz,2,foreground,language_then_blur_1.5,language,blur,0.0023895556230234464,14227.08203125,5953861.0,0.0005646243828722634,3855.528564453125,6828484.0,0.17605480408589191,917879.0625,5213598.5,0.07360438009120934,300476.0625,4082312.25,0.17252777759929155,899490.5625,5213598.5,0.07290734864781595,297630.5625,4082312.25,0.20524758475360158,1070078.5,5213598.5,0.17488958004131114,713953.875,4082312.25
CYST_PA62.nii.gz,3,context_fill,gamma_0.30_then_language,gamma,language,0.007336044467773195,131389.90625,17910184.0,0.0011716403900258975,36198.640625,30895692.0,0.007671354388455103,136769.140625,17828552.0,0.0013073086793856125,39983.18359375,30584348.0,0.0002923103740070983,5211.470703125,17828552.0,0.00013513585420187803,4133.0419921875,30584348.0,0.007358209390757028,131186.21875,17828552.0,0.001154177860641332,35299.77734375,30584348.0
CYST_PA62.nii.gz,3,context_fill,language_then_gamma_0.30,language,gamma,0.0003070641787219316,5425.615234375,17669320.0,0.0001509774879278516,4590.8310546875,30407388.0,0.007671635713881868,136774.15625,17828552.0,0.0013119536206477249,40125.24609375,30584348.0,0.007327788559328878,130643.859375,17828552.0,0.0011591123444089767,35450.6953125,30584348.0,0.007358209390757028,131186.21875,17828552.0,0.001154177860641332,35299.77734375,30584348.0
CYST_PA62.nii.gz,3,context_fill,blur_1.5_then_language,blur,language,0.05095466946812944,883092.625,17330946.0,0.007760582279704111,228099.5,29392060.0,0.05206950070485592,899028.875,17265940.0,0.00814539910364791,237290.59375,29131856.0,0.0003533445149996177,6100.8251953125,17265940.0,0.00012994173277721302,3785.44384765625,29131856.0,0.05228741166134019,902791.3125,17265940.0,0.008393914637639291,244530.3125,29131856.0
CYST_PA62.nii.gz,3,context_fill,language_then_blur_1.5,language,blur,0.0003070641787219316,5425.615234375,17669320.0,0.0001509774879278516,4590.8310546875,30407388.0,0.05215600048419026,900522.375,17265940.0,0.008306118781103407,241972.65625,29131856.0,0.05125974896240807,885047.75,17265940.0,0.007723124043315332,224988.9375,29131856.0,0.05228741166134019,902791.3125,17265940.0,0.008393914637639291,244530.3125,29131856.0
HEM_PA29.nii.gz,0,context,gamma_0.30_then_language,gamma,language,0.013194033511978035,234429.6875,17767856.0,0.002166438493964111,66423.953125,30660438.0,0.013526530019620269,240289.09375,17764282.0,0.002256398674209439,68924.296875,30546152.0,0.0002955405088371289,5250.06494140625,17764282.0,0.00013764435438852495,4204.50537109375,30546152.0,0.013245177176313684,235291.0625,17764282.0,0.002259544272957851,69020.3828125,30546152.0
HEM_PA29.nii.gz,0,context,language_then_gamma_0.30,language,gamma,0.0003043762643324234,5429.71826171875,17838836.0,0.0001396670552978895,4261.9033203125,30514736.0,0.013525617021841919,240272.875,17764282.0,0.0022560682316057354,68914.203125,30546152.0,0.013208395152137306,234637.65625,17764282.0,0.0021645320497324836,66118.125,30546152.0,0.013245177176313684,235291.0625,17764282.0,0.002259544272957851,69020.3828125,30546152.0
HEM_PA29.nii.gz,0,context,blur_1.5_then_language,blur,language,0.04647441613784878,862518.875,18559004.0,0.014272697062845244,475157.125,33291334.0,0.04764294045263061,883223.125,18538384.0,0.015159480624064112,502339.40625,33136980.0,0.0003910655660608012,7249.7236328125,18538384.0,0.00017845482906295323,5913.4541015625,33136980.0,0.043129157050582186,799544.875,18538384.0,0.00787076477699537,260813.375,33136980.0
HEM_PA29.nii.gz,0,context,language_then_blur_1.5,language,blur,0.0003043762643324234,5429.71826171875,17838836.0,0.0001396670552978895,4261.9033203125,30514736.0,0.047797053130413096,886080.125,18538384.0,0.015434025671621252,511437.0,33136980.0,0.046454065926134665,861183.3125,18538384.0,0.01420749944623801,470793.625,33136980.0,0.043129157050582186,799544.875,18538384.0,0.00787076477699537,260813.375,33136980.0
HEM_PA29.nii.gz,1,context,gamma_0.30_then_language,gamma,language,0.006817747164027119,134868.15625,19781924.0,0.0012786721910784547,46947.17578125,36715568.0,0.008131505242726827,163547.46875,20112816.0,0.0016763211789987897,64091.8671875,38233644.0,0.0021809164412258334,43864.37109375,20112816.0,0.0014264954994546164,54540.12109375,38233644.0,0.00801820839011305,161268.75,20112816.0,0.0012854461129182455,49147.2890625,38233644.0
HEM_PA29.nii.gz,1,context,language_then_gamma_0.30,language,gamma,0.0035634198773299686,74084.953125,20790408.0,0.0023852321643220665,96604.984375,40501292.0,0.008130123971700431,163519.6875,20112816.0,0.0016765000749405419,64098.70703125,38233644.0,0.007277774094388374,146376.53125,20112816.0,0.0017751336525757262,67869.828125,38233644.0,0.00801820839011305,161268.75,20112816.0,0.0012854461129182455,49147.2890625,38233644.0
HEM_PA29.nii.gz,1,context,blur_1.5_then_language,blur,language,0.10008189063568676,1604640.375,16033274.0,0.016935283794723404,514042.5625,30353348.0,0.3632654141283488,4049790.0,11148295.0,0.10959323301214724,2237545.75,20416824.0,0.10096029258285684,1125535.125,11148295.0,0.045367269782018986,926255.5625,20416824.0,0.42450293968718983,4732484.0,11148295.0,0.17869238623989706,3648331.0,20416824.0
HEM_PA29.nii.gz,1,context,language_then_blur_1.5,language,blur,0.0035634198773299686,74084.953125,20790408.0,0.0023852321643220665,96604.984375,40501292.0,0.3622020900953913,4037935.75,11148295.0,0.1081017547097433,2207094.5,20416824.0,0.35757351236220425,3986335.0,11148295.0,0.14411444453848454,2942359.25,20416824.0,0.42450293968718983,4732484.0,11148295.0,0.17869238623989706,3648331.0,20416824.0
HEM_PA29.nii.gz,2,foreground,gamma_0.30_then_language,gamma,language,0.04701387522289948,272349.96875,5792970.0,0.026945492697953936,175533.90625,6514407.0,0.048095893620760354,277102.6875,5761462.5,0.024617320489892767,154749.203125,6286192.0,0.002664333410353708,15350.45703125,5761462.5,0.0008295975951140214,5215.009765625,6286192.0,0.05089276377308713,293216.75,5761462.5,0.033715910602157874,211944.6875,6286192.0
HEM_PA29.nii.gz,2,foreground,language_then_gamma_0.30,language,gamma,0.002960646693274045,18484.4453125,6243381.0,0.0008805739840823465,7102.2509765625,8065479.0,0.04812281820805047,277257.8125,5761462.5,0.024681342257761137,155151.65625,6286192.0,0.0479725525419978,276392.0625,5761462.5,0.02838964849466895,178462.78125,6286192.0,0.05089276377308713,293216.75,5761462.5,0.033715910602157874,211944.6875,6286192.0
HEM_PA29.nii.gz,2,foreground,blur_1.5_then_language,blur,language,0.13055940242907946,798181.5,6113550.5,0.03254347800013415,219781.5,6753473.0,0.1335255655429864,814060.375,6096663.0,0.032237683094070685,212143.28125,6580599.5,0.002797408265595458,17054.85546875,6096663.0,0.0010870674722056098,7153.5556640625,6580599.5,0.14569273387753268,888239.5,6096663.0,0.05490613925068681,361315.3125,6580599.5
HEM_PA29.nii.gz,2,foreground,language_then_blur_1.5,language,blur,0.002960646693274045,18484.4453125,6243381.0,0.0008805739840823465,7102.2509765625,8065479.0,0.13346241624311528,813675.375,6096663.0,0.03228928126153248,212482.828125,6580599.5,0.12888546570476342,785771.25,6096663.0,0.03168676919177348,208517.9375,6580599.5,0.14569273387753268,888239.5,6096663.0,0.05490613925068681,361315.3125,6580599.5
HEM_PA29.nii.gz,3,foreground,gamma_0.30_then_language,gamma,language,0.03814690467645688,219815.96875,5762354.0,0.009824371608382091,58759.69921875,5981013.5,0.04134797604634007,233643.375,5650660.5,0.010739218474312775,59794.9375,5567904.0,0.0022591207548325544,12765.5244140625,5650660.5,0.0006683046971507367,3721.056396484375,5567904.0,0.04270970844912732,241338.0625,5650660.5,0.017091505057378862,95163.859375,5567904.0
HEM_PA29.nii.gz,3,foreground,language_then_gamma_0.30,language,gamma,0.002414055261323161,13993.720703125,5796769.0,0.0005798623796298887,3625.79248046875,6252850.0,0.041357690065612684,233698.265625,5650660.5,0.01076263673457732,59925.328125,5567904.0,0.03841381407978767,217063.421875,5650660.5,0.010255024545592021,57098.9921875,5567904.0,0.04270970844912732,241338.0625,5650660.5,0.017091505057378862,95163.859375,5567904.0
HEM_PA29.nii.gz,3,foreground,blur_1.5_then_language,blur,language,0.20193892928464105,1133318.125,5612182.5,0.047594850117236,271536.1875,5705159.0,0.20481525243097015,1129846.75,5516419.0,0.04621072285588481,244740.953125,5296194.0,0.0024085789112012704,13286.73046875,5516419.0,0.0009123958801240098,4832.2255859375,5296194.0,0.21607477604583697,1191959.0,5516419.0,0.07077965445563361,374862.78125,5296194.0
HEM_PA29.nii.gz,3,foreground,language_then_blur_1.5,language,blur,0.002414055261323161,13993.720703125,5796769.0,0.0005798623796298887,3625.79248046875,6252850.0,0.20495243381621303,1130603.5,5516419.0,0.04639834874817652,245734.65625,5296194.0,0.2019560153063065,1114074.0,5516419.0,0.04748366527453488,251482.703125,5296194.0,0.21607477604583697,1191959.0,5516419.0,0.07077965445563361,374862.78125,5296194.0
HEP_PA28.nii.gz,0,context,gamma_0.30_then_language,gamma,language,0.013423486074372605,83128.84375,6192791.0,0.0026042698302435334,22351.53125,8582648.0,0.015422568704991084,93004.296875,6030402.5,0.0025752907062627597,20528.1328125,7971190.5,0.0018164009626637691,10953.62890625,6030402.5,0.00048092213737160715,3833.52197265625,7971190.5,0.015485024372336672,93380.9296875,6030402.5,0.003497402419061494,27878.4609375,7971190.5
HEP_PA28.nii.gz,0,context,language_then_gamma_0.30,language,gamma,0.0017921498329243352,10782.890625,6016735.0,0.00044590849732582745,3537.127685546875,7932407.0,0.015424147942446629,93013.8203125,6030402.5,0.0025787254386593823,20555.51171875,7971190.5,0.013506883713400556,81451.9453125,6030402.5,0.0025257174081305673,20132.974609375,7971190.5,0.015485024372336672,93380.9296875,6030402.5,0.003497402419061494,27878.4609375,7971190.5
HEP_PA28.nii.gz,0,context,blur_1.5_then_language,blur,language,0.10018135527045118,568603.125,5675738.0,0.021008250038905246,134591.265625,6406591.0,0.10561317580750015,583957.375,5529209.5,0.023624072267210975,138191.609375,5849610.0,0.001889897402490356,10449.638671875,5529209.5,0.0008906445626022504,5209.92333984375,5849610.0,0.11939498313456924,660159.875,5529209.5,0.06333209607136202,370468.0625,5849610.0
HEP_PA28.nii.gz,0,context,language_then_blur_1.5,language,blur,0.0017921498329243352,10782.890625,6016735.0,0.00044590849732582745,3537.127685546875,7932407.0,0.10557585130387988,583751.0,5529209.5,0.023277061953702896,136161.734375,5849610.0,0.10184331051301275,563113.0,5529209.5,0.022328781587575924,130614.6640625,5849610.0,0.11939498313456924,660159.875,5529209.5,0.06333209607136202,370468.0625,5849610.0
HEP_PA28.nii.gz,1,context,gamma_0.30_then_language,gamma,language,0.016662687007496447,219789.40625,13190514.0,0.003874494283170599,118903.828125,30688864.0,0.018459074537159836,225340.296875,12207562.0,0.003304518823405191,91417.0546875,27664256.0,0.0024251183981801607,29604.783203125,12207562.0,0.000583915465287138,16153.5869140625,27664256.0,0.018995112670736385,231884.015625,12207562.0,0.0040373335225425905,111689.828125,27664256.0
HEP_PA28.nii.gz,1,context,language_then_gamma_0.30,language,gamma,0.002270910646480077,26841.62109375,11819761.0,0.0004722117109781529,12507.009765625,26486022.0,0.01845387284332449,225276.796875,12207562.0,0.0033033200178960173,91383.890625,27664256.0,0.017281463018578157,210964.53125,12207562.0,0.0037935498563561585,104945.734375,27664256.0,0.018995112670736385,231884.015625,12207562.0,0.0040373335225425905,111689.828125,27664256.0
HEP_PA28.nii.gz,1,context,blur_1.5_then_language,blur,language,0.11756639839196369,1166981.0,9926144.0,0.03833916184142636,770400.0,20094336.0,0.15845908577496765,1383544.625,8731242.0,0.06987962350489045,1142313.75,16346879.0,0.008934829231625925,78012.15625,8731242.0,0.006047823505789698,98863.0390625,16346879.0,0.2184193840922059,1907072.5,8731242.0,0.16302777123388507,2664995.25,16346879.0
HEP_PA28.nii.gz,1,context,language_then_blur_1.5,language,blur,0.002270910646480077,26841.62109375,11819761.0,0.0004722117109781529,12507.009765625,26486022.0,0.15759318662797342,1375984.25,8731242.0,0.06826283934688696,1115884.375,16346879.0,0.14401981699739855,1257471.875,8731242.0,0.060292155004022484,985588.5625,16346879.0,0.2184193840922059,1907072.5,8731242.0,0.16302777123388507,2664995.25,16346879.0
HEP_PA28.nii.gz,2,foreground,gamma_0.30_then_language,gamma,language,0.022775902400698596,149422.890625,6560569.5,0.009808551700579616,89357.75,9110188.0,0.023644770380914604,152186.65625,6436377.0,0.009207741479290016,79423.390625,8625719.0,0.0021369496950205836,13754.2138671875,6436377.0,0.0005185321815636471,4472.712890625,8625719.0,0.026009801884662755,167408.890625,6436377.0,0.015589419632728588,134469.953125,8625719.0
HEP_PA28.nii.gz,2,foreground,language_then_gamma_0.30,language,gamma,0.0024046511824044503,16403.130859375,6821418.0,0.0006019359615995035,6013.3173828125,9989962.0,0.023655714037571135,152257.09375,6436377.0,0.009219205197560922,79522.2734375,8625719.0,0.023809784603978295,153248.75,6436377.0,0.010837103840271171,93477.8125,8625719.0,0.026009801884662755,167408.890625,6436377.0,0.015589419632728588,134469.953125,8625719.0
HEP_PA28.nii.gz,2,foreground,blur_1.5_then_language,blur,language,0.14622885816263276,845446.125,5781664.0,0.06564595212699632,389586.40625,5934660.0,0.1465291020676778,837730.6875,5717162.5,0.05938997998687995,338820.28125,5705007.5,0.002230926672540793,12754.5703125,5717162.5,0.0008608251891266137,4911.01416015625,5705007.5,0.18180704807673387,1039420.4375,5717162.5,0.1615786876704369,921807.625,5705007.5
HEP_PA28.nii.gz,2,foreground,language_then_blur_1.5,language,blur,0.0024046511824044503,16403.130859375,6821418.0,0.0006019359615995035,6013.3173828125,9989962.0,0.14604017945965328,834935.4375,5717162.5,0.058068618884374826,331281.90625,5705007.5,0.14630167281409265,836430.4375,5717162.5,0.06367821930996585,363284.71875,5705007.5,0.18180704807673387,1039420.4375,5717162.5,0.1615786876704369,921807.625,5705007.5
HEP_PA28.nii.gz,3,context_fill,gamma_0.30_then_language,gamma,language,0.03135438435055369,194238.96875,6194954.0,0.010016836926616984,81456.6875,8131977.0,0.03404606155315552,206498.828125,6065278.0,0.010158291715489483,77720.734375,7650965.0,0.002403285670191045,14576.595703125,6065278.0,0.0005297693593124364,4053.246826171875,7650965.0,0.03619492740068963,219532.296875,6065278.0,0.016935640430651558,129573.9921875,7650965.0
HEP_PA28.nii.gz,3,context_fill,language_then_gamma_0.30,language,gamma,0.002444500398699423,15691.23828125,6418996.0,0.0005076041199760223,4435.29150390625,8737698.0,0.03406196921229332,206595.3125,6065278.0,0.010192485727290609,77982.3515625,7650965.0,0.03169442264229273,192235.484375,6065278.0,0.010205693824243085,78083.40625,7650965.0,0.03619492740068963,219532.296875,6065278.0,0.016935640430651558,129573.9921875,7650965.0
HEP_PA28.nii.gz,3,context_fill,blur_1.5_then_language,blur,language,0.1887632874816075,1070181.0,5669434.0,0.092174706430299,465371.75,5048801.0,0.19147866211679537,1074134.5,5609682.5,0.08887737637103754,425364.8125,4785974.0,0.002544104093402345,14271.6162109375,5609682.5,0.0007694386103212742,3682.51318359375,4785974.0,0.23254346391261893,1304495.0,5609682.5,0.22274290457908882,1066041.75,4785974.0
HEP_PA28.nii.gz,3,context_fill,language_then_blur_1.5,language,blur,0.002444500398699423,15691.23828125,6418996.0,0.0005076041199760223,4435.29150390625,8737698.0,0.19088907883824086,1070827.125,5609682.5,0.0870198652353732,416474.8125,4785974.0,0.18625048075358988,1044806.0625,5609682.5,0.0899833424711459,430657.9375,4785974.0,0.23254346391261893,1304495.0,5609682.5,0.22274290457908882,1066041.75,4785974.0
HEM_PA107.nii.gz,0,context,gamma_0.30_then_language,gamma,language,0.011505735289143065,212243.03125,18446716.0,0.0019978131478268902,64803.6484375,32437292.0,0.01174885325663561,215568.5,18348046.0,0.0020211038579123026,64861.515625,32092124.0,0.00027431001286867276,5033.052734375,18348046.0,0.00011589722710761526,3719.38818359375,32092124.0,0.011503159519002732,211060.5,18348046.0,0.002109356138284895,67693.71875,32092124.0
HEM_PA107.nii.gz,0,context,language_then_gamma_0.30,language,gamma,0.0003256041401310577,5977.248046875,18357408.0,0.00012537723125690496,4084.090087890625,32574416.0,0.011746460290648934,215524.59375,18348046.0,0.002020596285945424,64845.2265625,32092124.0,0.011624322795735307,213283.609375,18348046.0,0.002021805207953827,64884.0234375,32092124.0,0.011503159519002732,211060.5,18348046.0,0.002109356138284895,67693.71875,32092124.0
HEM_PA107.nii.gz,0,context,blur_1.5_then_language,blur,language,0.05489572815295082,1017308.75,18531656.0,0.00785996184483478,255664.46875,32527444.0,0.055586440435237194,1025870.4375,18455408.0,0.008504358947105885,274285.0,32252284.0,0.000265285526969588,4895.95263671875,18455408.0,0.0001130170988917405,3645.0595703125,32252284.0,0.052748959139781684,973503.5625,18455408.0,0.00602288498002188,194251.796875,32252284.0
HEM_PA107.nii.gz,0,context,language_then_blur_1.5,language,blur,0.0003256041401310577,5977.248046875,18357408.0,0.00012537723125690496,4084.090087890625,32574416.0,0.05571454313012208,1028234.625,18455408.0,0.008690664551074895,280293.78125,32252284.0,0.05527726615418093,1020164.5,18455408.0,0.008035889217954301,259175.78125,32252284.0,0.052748959139781684,973503.5625,18455408.0,0.00602288498002188,194251.796875,32252284.0
HEM_PA107.nii.gz,1,context,gamma_0.30_then_language,gamma,language,0.019971482060666894,122363.2734375,6126900.0,0.005478465938556849,41040.9140625,7491315.0,0.022963655342434698,137154.875,5972693.5,0.006853606707033304,47494.2265625,6929815.0,0.0022763765810810484,13596.099609375,5972693.5,0.0005792875377986281,4014.35546875,6929815.0,0.024806019260824284,148158.75,5972693.5,0.011319255095554499,78440.34375,6929815.0
HEM_PA107.nii.gz,1,context,language_then_gamma_0.30,language,gamma,0.0022959167820532375,13929.5693359375,6067105.5,0.000530649676989602,3935.7578125,7416866.5,0.022972848221660798,137209.78125,5972693.5,0.006880708801389359,47682.0390625,6929815.0,0.020167774807128475,120455.9375,5972693.5,0.00559946630970668,38803.265625,6929815.0,0.024806019260824284,148158.75,5972693.5,0.011319255095554499,78440.34375,6929815.0
HEM_PA107.nii.gz,1,context,blur_1.5_then_language,blur,language,0.12457148573165988,783160.8125,6286838.5,0.03252705763295685,258910.109375,7959838.0,0.12697618917468798,780489.875,6146742.0,0.03299085822733133,245180.734375,7431778.0,0.0022259325994872566,13682.2333984375,6146742.0,0.0005550028155905289,4124.65771484375,7431778.0,0.13044955360091573,801839.75,6146742.0,0.03488841474072557,259282.953125,7431778.0
HEM_PA107.nii.gz,1,context,language_then_blur_1.5,language,blur,0.0022959167820532375,13929.5693359375,6067105.5,0.000530649676989602,3935.7578125,7416866.5,0.12722337296733782,782009.25,6146742.0,0.03349810772065581,248950.5,7431778.0,0.1260066715017484,774530.5,6146742.0,0.03441291656586082,255749.15625,7431778.0,0.13044955360091573,801839.75,6146742.0,0.03488841474072557,259282.953125,7431778.0
HEM_PA107.nii.gz,2,foreground,gamma_0.30_then_language,gamma,language,0.025479681762585357,158081.15625,6204204.5,0.005694201160429685,46432.01953125,8154264.0,0.028104627408716047,170115.609375,6052939.5,0.006211290801402227,47515.3125,7649829.0,0.0022241735748288085,13462.7880859375,6052939.5,0.00047091675084338485,3602.4326171875,7649829.0,0.028564788645252442,172900.9375,6052939.5,0.008139564091890159,62266.2734375,7649829.0
HEM_PA107.nii.gz,2,foreground,language_then_gamma_0.30,language,gamma,0.002244242008982824,13696.1904296875,6102813.5,0.00047771843850305464,3753.850341796875,7857872.0,0.028104864896634107,170117.046875,6052939.5,0.006204798111336868,47465.64453125,7649829.0,0.025810677398972845,156230.46875,6052939.5,0.005748054343763763,43971.6328125,7649829.0,0.028564788645252442,172900.9375,6052939.5,0.008139564091890159,62266.2734375,7649829.0
HEM_PA107.nii.gz,2,foreground,blur_1.5_then_language,blur,language,0.14686243811671337,896452.875,6104031.0,0.03206487281562743,257851.40625,8041554.0,0.14990681287178528,892929.375,5956563.0,0.032317575507248945,240950.40625,7455708.0,0.002331185864860323,13885.85546875,5956563.0,0.0005816647669476862,4336.72265625,7455708.0,0.15665566073925516,933129.3125,5956563.0,0.038156080381635114,284480.59375,7455708.0
HEM_PA107.nii.gz,2,foreground,language_then_blur_1.5,language,blur,0.002244242008982824,13696.1904296875,6102813.5,0.00047771843850305464,3753.850341796875,7857872.0,0.15012797648576873,894246.75,5956563.0,0.03278696000433493,244450.0,7455708.0,0.14797275920694536,881409.0625,5956563.0,0.03152209857199343,235019.5625,7455708.0,0.15665566073925516,933129.3125,5956563.0,0.038156080381635114,284480.59375,7455708.0
HEM_PA107.nii.gz,3,context_fill,gamma_0.30_then_language,gamma,language,0.007083413182446717,132880.15625,18759340.0,0.0015008827344485552,50718.75390625,33792616.0,0.00795722029616296,149343.625,18768316.0,0.0021823534857946998,73616.1953125,33732480.0,0.00040969046958248676,7689.2001953125,18768316.0,0.00022618393658537707,7629.7451171875,33732480.0,0.007364151304251271,138212.71875,18768316.0,0.0013495805591154282,45524.69921875,33732480.0
HEM_PA107.nii.gz,3,context_fill,language_then_gamma_0.30,language,gamma,0.00033118063189599,6074.6953125,18342544.0,0.00014810968030352524,4788.009765625,32327460.0,0.007953195894080214,149268.09375,18768316.0,0.002177863423471977,73464.734375,33732480.0,0.007220011274586382,135507.453125,18768316.0,0.0016477342923645105,55582.1640625,33732480.0,0.007364151304251271,138212.71875,18768316.0,0.0013495805591154282,45524.69921875,33732480.0
HEM_PA107.nii.gz,3,context_fill,blur_1.5_then_language,blur,language,0.05843827489579175,1047599.8125,17926604.0,0.009339682043506225,288280.53125,30866204.0,0.05919529540554633,1061251.125,17927964.0,0.009865755529885233,303429.125,30755792.0,0.00032824021238203626,5884.6787109375,17927964.0,0.00016883067085685032,5192.52099609375,30755792.0,0.0586863767687173,1052127.25,17927964.0,0.010273253977657281,315962.0625,30755792.0
HEM_PA107.nii.gz,3,context_fill,language_then_blur_1.5,language,blur,0.00033118063189599,6074.6953125,18342544.0,0.00014810968030352524,4788.009765625,32327460.0,0.05930319945979365,1063185.625,17927964.0,0.010015291388041641,308028.21875,30755792.0,0.058540494336110895,1049511.875,17927964.0,0.00942824749074906,289973.21875,30755792.0,0.0586863767687173,1052127.25,17927964.0,0.010273253977657281,315962.0625,30755792.0
