num_samples,case,action_order,step1_state_normalized_mse,step1_mask_logit_normalized_mse,step2_free_rollout_state_normalized_mse,step2_free_rollout_mask_logit_normalized_mse,step2_teacher_forced_state_normalized_mse,step2_teacher_forced_mask_logit_normalized_mse,step2_identity_state_normalized_mse,step2_identity_mask_logit_normalized_mse
4,CYST_PA62.nii.gz,blur_1.5_then_language,0.0670929473656671,0.01300681135683706,0.06815435677994085,0.01297527253403585,0.0007213013476918182,0.00020494677216285136,0.07161957635510079,0.018608488495276757
4,CYST_PA62.nii.gz,gamma_0.30_then_language,0.014608070415777847,0.0026981231142662833,0.01532736003960767,0.0028057570712461603,0.0007335175347346022,0.000197117310870372,0.01520925793204231,0.002914551600014633
4,CYST_PA62.nii.gz,language_then_blur_1.5,0.000754445033757315,0.00019782190970580568,0.06820991346367618,0.01306944334777504,0.06698745488779301,0.012558084736683177,0.07161957635510079,0.018608488495276757
4,CYST_PA62.nii.gz,language_then_gamma_0.30,0.000754445033757315,0.00019782190970580568,0.015327453750009466,0.002807990461086539,0.014605575841333894,0.0026360542374450607,0.01520925793204231,0.002914551600014633
4,HEM_PA107.nii.gz,blur_1.5_then_language,0.07665484090151493,0.013359858696777532,0.07755822929461634,0.013657328329244225,0.0007909125266481708,0.00022207890274288027,0.07755944741273979,0.013530647692740184
4,HEM_PA107.nii.gz,gamma_0.30_then_language,0.01262824939648085,0.0024793176001200457,0.013678374461089746,0.002903916842801639,0.0008095141563748073,0.0002358820815875145,0.013640734492972864,0.0031581047204900167
4,HEM_PA107.nii.gz,language_then_blur_1.5,0.0008119052150761765,0.00020656531971442247,0.07770539214308293,0.013886830933962578,0.07683793091244426,0.013350153616582162,0.07755944741273979,0.013530647692740184
4,HEM_PA107.nii.gz,language_then_gamma_0.30,0.0008119052150761765,0.00020656531971442247,0.013677090554117715,0.00290354863503294,0.012727962484022068,0.002527740647950591,0.013640734492972864,0.0031581047204900167
4,HEM_PA29.nii.gz,blur_1.5_then_language,0.09496648884599125,0.019454046048507166,0.16651234979301696,0.04885740789123926,0.028163030642485133,0.01442986666676187,0.18431649943446404,0.07099617986447396
4,HEM_PA29.nii.gz,gamma_0.30_then_language,0.01754326355260341,0.0043528048716520665,0.018555428680846874,0.004310350103000113,0.0015668824930397814,0.0008393578797728519,0.018890836700381206,0.005274162119695277
4,HEM_PA29.nii.gz,language_then_blur_1.5,0.002210265972439768,0.0013077374117009372,0.16630349870547678,0.04855142862442911,0.1633753658404948,0.05919483641617364,0.18431649943446404,0.07099617986447396
4,HEM_PA29.nii.gz,language_then_gamma_0.30,0.002210265972439768,0.0013077374117009372,0.018558796874168493,0.004316917934846181,0.017741600579871206,0.004583057042099617,0.018890836700381206,0.005274162119695277
4,HEP_PA28.nii.gz,blur_1.5_then_language,0.13496521455307325,0.04695153144490448,0.15161301575959774,0.0625527280590586,0.004513489005972651,0.003446779087604645,0.19193695639162192,0.1536770086721761
4,HEP_PA28.nii.gz,gamma_0.30_then_language,0.020118347169219314,0.005522022516337063,0.022024673341353492,0.005183553630109633,0.0022410564216543897,0.0005492563747410757,0.02316899637656543,0.0077749117689361645
4,HEP_PA28.nii.gz,language_then_blur_1.5,0.0022434302786015405,0.0004984891049629376,0.15107097432118316,0.06117949163808806,0.14467418920166106,0.058436638063275655,0.19193695639162192,0.1536770086721761
4,HEP_PA28.nii.gz,language_then_gamma_0.30,0.0022434302786015405,0.0004984891049629376,0.02202834759999225,0.005190386615778561,0.02075174388341079,0.005714269957276652,0.02316899637656543,0.0077749117689361645
