step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,strengths,+0.15,identity,0.005408630742020104,0.002626692258392013
0,train,strengths,+0.15,action_agnostic,0.005408630742020104,0.002626692258392013
0,train,strengths,+0.15,action_conditioned,0.005408630742020104,0.002626692258392013
0,train,strengths,+0.15,action_conditioned_wrong_action,0.005408630742020104,0.002626692258392013
0,train,strengths,+0.30,identity,0.02674223959215058,0.015125110998819507
0,train,strengths,+0.30,action_agnostic,0.02674223959215058,0.015125110998819507
0,train,strengths,+0.30,action_conditioned,0.02674223959215058,0.015125110998819507
0,train,strengths,+0.30,action_conditioned_wrong_action,0.02674223959215058,0.015125110998819507
0,train,strengths,-0.15,identity,0.018548776709891558,0.011836353370716375
0,train,strengths,-0.15,action_agnostic,0.018548776709891558,0.011836353370716375
0,train,strengths,-0.15,action_conditioned,0.018548776709891558,0.011836353370716375
0,train,strengths,-0.15,action_conditioned_wrong_action,0.018548776709891558,0.011836353370716375
0,train,strengths,-0.30,identity,0.06948434223753758,0.03273922654276944
0,train,strengths,-0.30,action_agnostic,0.06948434223753758,0.03273922654276944
0,train,strengths,-0.30,action_conditioned,0.06948434223753758,0.03273922654276944
0,train,strengths,-0.30,action_conditioned_wrong_action,0.06948434223753758,0.03273922654276944
0,train,case_names,CYST_PA20.nii.gz,identity,0.011636649849291152,0.0074595548184105635
0,train,case_names,CYST_PA20.nii.gz,action_agnostic,0.011636649849291152,0.0074595548184105635
0,train,case_names,CYST_PA20.nii.gz,action_conditioned,0.011636649849291152,0.0074595548184105635
0,train,case_names,CYST_PA20.nii.gz,action_conditioned_wrong_action,0.011636649849291152,0.0074595548184105635
0,train,case_names,CYST_PA56.nii.gz,identity,0.0038943511423280086,0.0007082403764490862
0,train,case_names,CYST_PA56.nii.gz,action_agnostic,0.0038943511423280086,0.0007082403764490862
0,train,case_names,CYST_PA56.nii.gz,action_conditioned,0.0038943511423280086,0.0007082403764490862
0,train,case_names,CYST_PA56.nii.gz,action_conditioned_wrong_action,0.0038943511423280086,0.0007082403764490862
0,train,case_names,CYST_PA69.nii.gz,identity,0.010089707462695158,0.0021995319521160785
0,train,case_names,CYST_PA69.nii.gz,action_agnostic,0.010089707462695158,0.0021995319521160785
0,train,case_names,CYST_PA69.nii.gz,action_conditioned,0.010089707462695158,0.0021995319521160785
0,train,case_names,CYST_PA69.nii.gz,action_conditioned_wrong_action,0.010089707462695158,0.0021995319521160785
0,train,case_names,HCC_10076307_20130925.nii.gz,identity,0.012430184272232383,0.0049285797701893305
0,train,case_names,HCC_10076307_20130925.nii.gz,action_agnostic,0.012430184272232383,0.0049285797701893305
0,train,case_names,HCC_10076307_20130925.nii.gz,action_conditioned,0.012430184272232383,0.0049285797701893305
0,train,case_names,HCC_10076307_20130925.nii.gz,action_conditioned_wrong_action,0.012430184272232383,0.0049285797701893305
0,train,case_names,HCC_10136895_20170421.nii.gz,identity,0.06370336617378293,0.04174723982523591
0,train,case_names,HCC_10136895_20170421.nii.gz,action_agnostic,0.06370336617378293,0.04174723982523591
0,train,case_names,HCC_10136895_20170421.nii.gz,action_conditioned,0.06370336617378293,0.04174723982523591
0,train,case_names,HCC_10136895_20170421.nii.gz,action_conditioned_wrong_action,0.06370336617378293,0.04174723982523591
0,train,case_names,HCC_10140276_20170721.nii.gz,identity,0.007577638673592403,0.0015587756504156108
0,train,case_names,HCC_10140276_20170721.nii.gz,action_agnostic,0.007577638673592403,0.0015587756504156108
0,train,case_names,HCC_10140276_20170721.nii.gz,action_conditioned,0.007577638673592403,0.0015587756504156108
0,train,case_names,HCC_10140276_20170721.nii.gz,action_conditioned_wrong_action,0.007577638673592403,0.0015587756504156108
0,train,case_names,HEM_PA97.nii.gz,identity,0.10034327691231061,0.05053803629059434
0,train,case_names,HEM_PA97.nii.gz,action_agnostic,0.10034327691231061,0.05053803629059434
0,train,case_names,HEM_PA97.nii.gz,action_conditioned,0.10034327691231061,0.05053803629059434
0,train,case_names,HEM_PA97.nii.gz,action_conditioned_wrong_action,0.10034327691231061,0.05053803629059434
0,train,case_names,HEM_PA99.nii.gz,identity,0.014649624882004888,0.0028837741437052673
0,train,case_names,HEM_PA99.nii.gz,action_agnostic,0.014649624882004888,0.0028837741437052673
0,train,case_names,HEM_PA99.nii.gz,action_conditioned,0.014649624882004888,0.0028837741437052673
0,train,case_names,HEM_PA99.nii.gz,action_conditioned_wrong_action,0.014649624882004888,0.0028837741437052673
0,val,strengths,+0.15,identity,0.00519715777309595,0.0014288552509921682
0,val,strengths,+0.15,action_agnostic,0.00519715777309595,0.0014288552509921682
0,val,strengths,+0.15,action_conditioned,0.00519715777309595,0.0014288552509921682
0,val,strengths,+0.15,action_conditioned_wrong_action,0.00519715777309595,0.0014288552509921682
0,val,strengths,+0.30,identity,0.016556537960158393,0.004342120049228324
