uncertainty_variant,num_voxels,error_voxels,roc_auc,pr_auc
visual_only,113246208,1278833,0.940076109899941,0.19718740831335427
language_only,113246208,1278833,0.9373189016025876,0.19530677677788189
visual_language,113246208,1278833,0.9397845366540243,0.1971383820928252
