num_patches,case,uncertainty_variant,mean_original_dice,mean_mean,mean_variance,mean_std,mean_pairwise_abs,mean_error_mean,mean_correct_mean,mean_error_minus_correct,variance_error_mean,variance_correct_mean,variance_error_minus_correct,std_error_mean,std_correct_mean,std_error_minus_correct,pairwise_abs_error_mean,pairwise_abs_correct_mean,pairwise_abs_error_minus_correct,tp_voxels,tn_voxels,fp_voxels,fn_voxels
4,CYST_PA62.nii.gz,language_only,0.8924920707941055,0.011262032669072556,1.7661011952441186e-05,0.0003074395208435463,0.0006148790416870926,0.20127269625663757,0.009995599743013787,0.18128149677067995,0.0007407103839796036,1.3050540474068839e-05,0.000714609303031466,0.012734108604490757,0.00022789206560024566,0.012278324473300017,0.025468217208981514,0.0004557841312004913,0.024556648946600035,393086,27684538,60472,173456
4,CYST_PA62.nii.gz,visual_language,0.8924920707941055,0.011741951573685008,0.0002506010278011672,0.0013176412321759116,0.0017425598926092307,0.22675058990716934,0.010303753428206044,0.20614308305084705,0.013971559703350067,0.00016099640197353438,0.013649566899402998,0.06521260365843773,0.0008963230648209998,0.06341995752882212,0.08572566509246826,0.001190718088782839,0.08334422891493887,393086,27684538,60472,173456
4,CYST_PA62.nii.gz,visual_only,0.8924920707941055,0.01184779126202081,0.0003153720317641273,0.0014552923385162475,0.0021690381691025578,0.23235847800970078,0.010370778385599596,0.2116169212386012,0.017687747720628977,0.00020202805899316445,0.017283691602642648,0.07261677831411362,0.0009852655057438287,0.07064624730264768,0.10808081552386284,0.0014703044435175143,0.10514020663686097,393086,27684538,60472,173456
4,HEM_PA107.nii.gz,language_only,0.6480747910537211,0.01030314527462835,1.5107058516150573e-05,0.0002450974643717245,0.000490194928743449,0.09846633176008861,0.009660165291387983,0.08558611137170663,0.0002805490221362561,1.2473191873141332e-05,0.0002639180996387343,0.0048190221811334295,0.00020054880589225394,0.004551623773294083,0.009638044362266859,0.00040109761178450787,0.009103247546588165,384198,27721718,18085,187551
4,HEM_PA107.nii.gz,visual_language,0.6480747910537211,0.01057809451611607,0.00014045544958207756,0.0008269438695366046,0.001096342282929202,0.10525997231403987,0.009867807850408245,0.0921028951803727,0.0033761396383245787,0.00011108518083347008,0.003228026063879952,0.019206476708253224,0.0006530379760748263,0.018335759406906082,0.02522814894715945,0.0008690412215429598,0.024069427318556175,384198,27721718,18085,187551
4,HEM_PA107.nii.gz,visual_only,0.6480747910537211,0.010621858760904964,0.00017582262807991356,0.0009048474603926074,0.0013367409702378318,0.10665895541508992,0.009899085387777982,0.09346017489829367,0.004256364734222491,0.00013873697025701404,0.0040713821072131395,0.02119869428376357,0.0007122879033570423,0.020248977079364107,0.03129121412833532,0.0010542525852552612,0.029885544014780368,384198,27721718,18085,187551
4,HEM_PA29.nii.gz,language_only,0.6271639040084203,0.01740544848154,1.5273233202606207e-05,0.00031500340267124065,0.0006300068053424813,0.1241108626127243,0.01578144263486079,0.1030689390997082,0.00023885537909033397,1.1414480013627326e-05,0.00022363607240549754,0.004644462838768959,0.0002401511374282878,0.0043242613222294005,0.009288925677537918,0.0004803022748565756,0.008648522644458801,536985,27435404,34779,304384
4,HEM_PA29.nii.gz,visual_language,0.6271639040084203,0.017674379050860785,0.00013453260180540383,0.0010511756118384322,0.0014080481487942715,0.13061733295520148,0.01594340009627738,0.10935946616033583,0.002664594833428661,9.196773680741899e-05,0.0025419711843521022,0.017767202109098434,0.0007645430451256356,0.01674781138232558,0.02359553799033165,0.0010271607898792107,0.02222599027057433,536985,27435404,34779,304384
4,HEM_PA29.nii.gz,visual_only,0.6271639040084203,0.017748335376528555,0.00016344526375178248,0.0011174970423219307,0.0016746781184863147,0.13211794445912042,0.015993676614162976,0.11079304230709729,0.003307455296938618,0.00011045227802242152,0.003160185592908723,0.019372951860229175,0.0008039719250866725,0.01830098929349293,0.028828637053569157,0.0012081180466864106,0.02721781299139002,536985,27435404,34779,304384
4,HEP_PA28.nii.gz,language_only,0.4169359728709431,0.011405110613850411,1.554522708069328e-05,0.0002842604724833109,0.0005685209449666218,0.2883493632543832,0.005438563568532118,0.2829107996858511,0.0002929453821707284,9.984250215921975e-06,0.00028296113195480643,0.005288490516250022,0.00018057481707955958,0.005107915699170462,0.010576981032500044,0.00036114963415911916,0.010215831398340924,257358,27554088,236908,263198
4,HEP_PA28.nii.gz,visual_language,0.4169359728709431,0.011658495155643323,0.00013406644005442558,0.0009261954536441408,0.0012446408293271816,0.2924145353026688,0.005614692577182723,0.2867998427254861,0.0030501408796226315,7.637397058601891e-05,0.0029737669090366126,0.01934355236880947,0.0005492598181717767,0.018794292550637692,0.02618832617008593,0.0007334351350891666,0.025454891034996763,257358,27554088,236908,263198
4,HEP_PA28.nii.gz,visual_only,0.4169359728709431,0.011676898058794905,0.00016569608912320177,0.0010003623610828072,0.0014990579688856087,0.29250644450075924,0.00563214864814654,0.2868742958526127,0.003795714786974713,9.392836167165797e-05,0.0037017864253030552,0.021122497928445227,0.0005892834017231507,0.020533214526722077,0.032004447537474334,0.0008756295317198237,0.03112881800575451,257358,27554088,236908,263198
