case,patch_index,patch_kind,method,scope,voxel_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
CYST_PA62.nii.gz,2,foreground,real_gamma_world_stability,background,6874593,0.9952768112963196,0.5138271499459708,0.9916901902041363,0.9999003333368585,0.11678283324083409
CYST_PA62.nii.gz,2,foreground,real_blur_world_stability,overall,7077888,0.9918744122540509,0.4999999297258118,0.9762487363679767,0.9997606996256488,0.1481085949951048
CYST_PA62.nii.gz,2,foreground,real_blur_world_stability,foreground,203295,0.8768194003787599,0.047684521051078156,0.8434082046767803,0.9617000561104979,0.3909597019888445
CYST_PA62.nii.gz,2,foreground,real_blur_world_stability,background,6874593,0.9952768112963196,0.5133757704492597,0.9799641479072062,0.9998715587191416,0.11399586134351479
CYST_PA62.nii.gz,2,foreground,real_pairwise_world_stability,overall,7077888,0.9918744122540509,0.4999999290428318,0.9814816265714507,0.9998414744966811,0.14973595627996175
CYST_PA62.nii.gz,2,foreground,real_pairwise_world_stability,foreground,203295,0.8768194003787599,0.03913050059118913,0.8796195533050479,0.9683777379678767,0.43218351333057176
CYST_PA62.nii.gz,2,foreground,real_pairwise_world_stability,background,6874593,0.9952768112963196,0.5136287286615259,0.9850022676997787,0.9999273496340623,0.11519244820224821
CYST_PA62.nii.gz,2,foreground,real_gamma_joint_product,overall,7077888,0.9918744122540509,0.31649774177229867,0.9902532909045015,0.9999191729453697,0.15246385260600223
CYST_PA62.nii.gz,2,foreground,real_gamma_joint_product,foreground,203295,0.8768194003787599,0.0010230045907523744,0.8230299806114624,0.9513639210740769,0.36775593622718616
CYST_PA62.nii.gz,2,foreground,real_gamma_joint_product,background,6874593,0.9952768112963196,0.3258269393982996,0.9956361807038717,0.9999791446273636,0.1177180964717868
CYST_PA62.nii.gz,2,foreground,real_blur_joint_product,overall,7077888,0.9918744122540509,0.31882573508692846,0.986515195553678,0.9998876670896268,0.15130133817976596
CYST_PA62.nii.gz,2,foreground,real_blur_joint_product,foreground,203295,0.8768194003787599,0.0014778824287549855,0.850349074967887,0.9615202285123742,0.3988575644312672
CYST_PA62.nii.gz,2,foreground,real_blur_joint_product,background,6874593,0.9952768112963196,0.32821032435732506,0.990978060106272,0.9999569382546893,0.11661174689336247
CYST_PA62.nii.gz,2,foreground,real_pairwise_joint_product,overall,7077888,0.9918744122540509,0.31990774342212125,0.9877687357297736,0.9998982853825044,0.1516911764901928
CYST_PA62.nii.gz,2,foreground,real_pairwise_joint_product,foreground,203295,0.8768194003787599,0.0011965268365328168,0.8659051524456064,0.9633020254704081,0.4165674991308463
CYST_PA62.nii.gz,2,foreground,real_pairwise_joint_product,background,6874593,0.9952768112963196,0.3293326499985203,0.9919798918124783,0.9999618127132412,0.11684969094276675
CYST_PA62.nii.gz,3,context_fill,confidence_rank,overall,7077888,1.0,0.5000000596046448,,1.0,
CYST_PA62.nii.gz,3,context_fill,confidence_rank,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,confidence_rank,background,7077888,1.0,0.5000000596046448,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_gamma_world_stability,overall,7077888,1.0,0.4999999403953552,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_gamma_world_stability,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,real_gamma_world_stability,background,7077888,1.0,0.4999999403953552,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_blur_world_stability,overall,7077888,1.0,0.4999999403953552,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_blur_world_stability,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,real_blur_world_stability,background,7077888,1.0,0.4999999403953552,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_pairwise_world_stability,overall,7077888,1.0,0.4999999403953552,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_pairwise_world_stability,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,real_pairwise_world_stability,background,7077888,1.0,0.4999999403953552,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_gamma_joint_product,overall,7077888,1.0,0.25,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_gamma_joint_product,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,real_gamma_joint_product,background,7077888,1.0,0.25,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_blur_joint_product,overall,7077888,1.0,0.25,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_blur_joint_product,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,real_blur_joint_product,background,7077888,1.0,0.25,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_pairwise_joint_product,overall,7077888,1.0,0.25,,1.0,
CYST_PA62.nii.gz,3,context_fill,real_pairwise_joint_product,foreground,0,,,,,
CYST_PA62.nii.gz,3,context_fill,real_pairwise_joint_product,background,7077888,1.0,0.25,,1.0,
HEM_PA29.nii.gz,0,context,confidence_rank,overall,7077888,1.0,0.5000000596046448,,1.0,
HEM_PA29.nii.gz,0,context,confidence_rank,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,confidence_rank,background,7077888,1.0,0.5000000596046448,,1.0,
HEM_PA29.nii.gz,0,context,real_gamma_world_stability,overall,7077888,1.0,0.4999999403953552,,1.0,
HEM_PA29.nii.gz,0,context,real_gamma_world_stability,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,real_gamma_world_stability,background,7077888,1.0,0.4999999403953552,,1.0,
HEM_PA29.nii.gz,0,context,real_blur_world_stability,overall,7077888,1.0,0.4999999403953552,,1.0,
HEM_PA29.nii.gz,0,context,real_blur_world_stability,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,real_blur_world_stability,background,7077888,1.0,0.4999999403953552,,1.0,
HEM_PA29.nii.gz,0,context,real_pairwise_world_stability,overall,7077888,1.0,0.4999999403953552,,1.0,
HEM_PA29.nii.gz,0,context,real_pairwise_world_stability,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,real_pairwise_world_stability,background,7077888,1.0,0.4999999403953552,,1.0,
