method,case,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,aggregation
confidence_rank,CYST_PA62.nii.gz,background,4,2,0.9977765186359007,0.5094332366822398,0.996226539759245,0.9999915877712762,0.11432178439241011,case_patch_macro
confidence_rank,CYST_PA62.nii.gz,foreground,4,2,0.7342001678326089,0.04320462543334355,0.6460075641715373,0.8063804681052286,0.18305998388854178,case_patch_macro
confidence_rank,CYST_PA62.nii.gz,overall,4,2,0.9917392730712891,0.5000000653972891,0.9844330381745814,0.9998460996298258,0.20554804320961725,case_patch_macro
real_blur_joint_product,CYST_PA62.nii.gz,background,4,2,0.9977765186359007,0.2917979594708588,0.9924802220301001,0.9999828856579778,0.1134465405067441,case_patch_macro
real_blur_joint_product,CYST_PA62.nii.gz,foreground,4,2,0.7342001678326089,0.009741712309845326,0.6831540468656366,0.8052590996176721,0.21301596373976783,case_patch_macro
real_blur_joint_product,CYST_PA62.nii.gz,overall,4,2,0.9917392730712891,0.285333579473554,0.9819156692995257,0.999826616295955,0.20451692108587755,case_patch_macro
real_blur_world_stability,CYST_PA62.nii.gz,background,4,2,0.9977765186359007,0.5091836549140696,0.9848637197273427,0.9999487850471007,0.11166900858196795,case_patch_macro
real_blur_world_stability,CYST_PA62.nii.gz,foreground,4,2,0.7342001678326089,0.05794565060245348,0.6511587854143295,0.785453028606053,0.16049451617730345,case_patch_macro
real_blur_world_stability,CYST_PA62.nii.gz,overall,4,2,0.9917392730712891,0.4999999348030639,0.9740808410504085,0.9997409738399968,0.2014647059505167,case_patch_macro
real_gamma_joint_product,CYST_PA62.nii.gz,background,4,2,0.9977765186359007,0.290993963974561,0.9951940441905629,0.9999890890067262,0.11408559402827692,case_patch_macro
real_gamma_joint_product,CYST_PA62.nii.gz,foreground,4,2,0.7342001678326089,0.011137065698951183,0.6881008720022108,0.8237163169933653,0.22914849484425728,case_patch_macro
real_gamma_joint_product,CYST_PA62.nii.gz,overall,4,2,0.9917392730712891,0.28459575636873147,0.9846212715224131,0.9998446523771705,0.20554984529380843,case_patch_macro
real_gamma_world_stability,CYST_PA62.nii.gz,background,4,2,0.9977765186359007,0.5086981149624511,0.987573770996834,0.9999106122068995,0.11235838093713113,case_patch_macro
real_gamma_world_stability,CYST_PA62.nii.gz,foreground,4,2,0.7342001678326089,0.07243610551623841,0.6759067394253279,0.8217148192714779,0.2124233504265499,case_patch_macro
real_gamma_world_stability,CYST_PA62.nii.gz,overall,4,2,0.9917392730712891,0.49999993480393545,0.9806806312598514,0.9997288312640088,0.20383645505478465,case_patch_macro
real_pairwise_joint_product,CYST_PA62.nii.gz,background,4,2,0.9977765186359007,0.29337553005847,0.9936371241497604,0.9999855141266492,0.11371191778833903,case_patch_macro
real_pairwise_joint_product,CYST_PA62.nii.gz,foreground,4,2,0.7342001678326089,0.007360322939722955,0.6922308022171126,0.8065189385333997,0.22408231285349417,case_patch_macro
real_pairwise_joint_product,CYST_PA62.nii.gz,overall,4,2,0.9917392730712891,0.2867770092482078,0.9830594841148084,0.9998361412771234,0.20499092022920895,case_patch_macro
real_pairwise_world_stability,CYST_PA62.nii.gz,background,4,2,0.9977765186359007,0.509420528621902,0.9894615688174064,0.9999747215742661,0.11273026967925903,case_patch_macro
