step,split,model,state_normalized_mse,mask_logit_normalized_mse
0,train,identity,0.044483497738838196,0.01857997290790081
0,train,action_agnostic,0.044483497738838196,0.01857997290790081
0,train,action_conditioned,0.044483497738838196,0.01857997290790081
0,train,action_conditioned_wrong_action,0.044483497738838196,0.01857997290790081
0,val,identity,0.008047612383961678,0.0014959515538066626
0,val,action_agnostic,0.008047612383961678,0.0014959515538066626
0,val,action_conditioned,0.008047612383961678,0.0014959515538066626
0,val,action_conditioned_wrong_action,0.008047612383961678,0.0014959515538066626
30,train,identity,0.044483497738838196,0.01857997290790081
30,train,action_agnostic,0.03648701310157776,0.013709040358662605
30,train,action_conditioned,0.03666515275835991,0.013827451504766941
30,train,action_conditioned_wrong_action,0.036725424230098724,0.013819175772368908
30,val,identity,0.008047612383961678,0.0014959515538066626
30,val,action_agnostic,0.01103080715984106,0.003189272014424205
30,val,action_conditioned,0.011549494229257107,0.0033878106623888016
30,val,action_conditioned_wrong_action,0.011546366848051548,0.003385757328942418
100,train,identity,0.044483497738838196,0.01857997290790081
100,train,action_agnostic,0.022427981719374657,0.005817054770886898
100,train,action_conditioned,0.021306896582245827,0.005550743080675602
100,train,action_conditioned_wrong_action,0.022120987996459007,0.005528660025447607
100,val,identity,0.008047612383961678,0.0014959515538066626
100,val,action_agnostic,0.009593007154762745,0.0021155730355530977
100,val,action_conditioned,0.009778057225048542,0.002111057285219431
100,val,action_conditioned_wrong_action,0.009773649275302887,0.002113918075338006
300,train,identity,0.044483497738838196,0.01857997290790081
300,train,action_agnostic,0.018080513924360275,0.00467644864693284
300,train,action_conditioned,0.01615459844470024,0.0046411799266934395
300,train,action_conditioned_wrong_action,0.021819157525897026,0.0050166454166173935
300,val,identity,0.008047612383961678,0.0014959515538066626
300,val,action_agnostic,0.008718623779714108,0.0017419843934476376
300,val,action_conditioned,0.008913111872971058,0.0017932384507730603
300,val,action_conditioned_wrong_action,0.009062414057552814,0.001870795153081417
