variant,order,step,round,case,patch_index,patch_kind,augmentation,loss,gradient_norm,update_delta_norm,learning_rate,weight_decay,base_trainable_parameters,lora_trainable_parameters
A0_confidence_rank,reverse,16,4,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.00012572876585181803,0.0002905839355662465,0.026316823437809944,0.0001,0.0,0,589824
A0_confidence_rank,reverse,17,5,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.002085617743432522,0.0022457041777670383,0.026822561398148537,0.0001,0.0,0,589824
A0_confidence_rank,reverse,18,5,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.0008784711826592684,0.003062235424295068,0.029266661033034325,0.0001,0.0,0,589824
A0_confidence_rank,reverse,19,5,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.0011395628098398447,0.002846580231562257,0.03063230589032173,0.0001,0.0,0,589824
A0_confidence_rank,reverse,20,5,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.00012454873649403453,0.0003443793975748122,0.02794765681028366,0.0001,0.0,0,589824
A1_world,forward,1,1,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.0004796998400706798,0.00040712003828957677,0.03235442191362381,0.0001,0.0,0,589824
A1_world,forward,2,1,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.0020606268662959337,0.0016521315556019545,0.034172166138887405,0.0001,0.0,0,589824
A1_world,forward,3,1,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.0014381324872374535,0.001811246038414538,0.03014199435710907,0.0001,0.0,0,589824
A1_world,forward,4,1,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.003795573255047202,0.001560006639920175,0.024816837161779404,0.0001,0.0,0,589824
A1_world,forward,5,2,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.00046999347978271544,0.0004086836415808648,0.023506252095103264,0.0001,0.0,0,589824
A1_world,forward,6,2,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.0020171815995126963,0.0016117763007059693,0.027044283226132393,0.0001,0.0,0,589824
A1_world,forward,7,2,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.001384585164487362,0.0021823523566126823,0.030675509944558144,0.0001,0.0,0,589824
A1_world,forward,8,2,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.0037682517431676388,0.002076719654724002,0.02881431207060814,0.0001,0.0,0,589824
A1_world,forward,9,3,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.0004635375225916505,0.0004970395821146667,0.02648196369409561,0.0001,0.0,0,589824
A1_world,forward,10,3,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.0019494182197377086,0.0022592772729694843,0.02902420423924923,0.0001,0.0,0,589824
A1_world,forward,11,3,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.0013055093586444855,0.0028289882466197014,0.03210320323705673,0.0001,0.0,0,589824
A1_world,forward,12,3,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.0037162480875849724,0.002936541335657239,0.030794953927397728,0.0001,0.0,0,589824
A1_world,forward,13,4,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.0004615784273482859,0.0005963128642179072,0.027616001665592194,0.0001,0.0,0,589824
A1_world,forward,14,4,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.0018579447641968727,0.002909368369728327,0.02954709343612194,0.0001,0.0,0,589824
A1_world,forward,15,4,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.0012121166801080108,0.0034030466340482235,0.03229522705078125,0.0001,0.0,0,589824
A1_world,forward,16,4,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.0036358670331537724,0.0038843555375933647,0.03154682740569115,0.0001,0.0,0,589824
A1_world,forward,17,5,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.0004705861210823059,0.0007723608869127929,0.02761748991906643,0.0001,0.0,0,589824
A1_world,forward,18,5,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.0017521955305710435,0.0035427664406597614,0.0292027797549963,0.0001,0.0,0,589824
A1_world,forward,19,5,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.00112560810521245,0.00384537223726511,0.031358752399683,0.0001,0.0,0,589824
A1_world,forward,20,5,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.0035249325446784496,0.004746450111269951,0.03130693361163139,0.0001,0.0,0,589824
A1_world,reverse,1,1,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.003796367207542062,0.0016085240058600903,0.03515196591615677,0.0001,0.0,0,589824
A1_world,reverse,2,1,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.001460984698496759,0.0019001889741048217,0.03601856529712677,0.0001,0.0,0,589824
A1_world,reverse,3,1,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.002047061687335372,0.001507433713413775,0.02849646657705307,0.0001,0.0,0,589824
A1_world,reverse,4,1,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.00048026753938756883,0.00035274235415272415,0.023405902087688446,0.0001,0.0,0,589824
A1_world,reverse,5,2,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.0037616584450006485,0.0015475715044885874,0.024565180763602257,0.0001,0.0,0,589824
A1_world,reverse,6,2,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.0014207561034709215,0.0017908449517562985,0.02719733491539955,0.0001,0.0,0,589824
A1_world,reverse,7,2,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.0020022098906338215,0.001988958101719618,0.02907012589275837,0.0001,0.0,0,589824
A1_world,reverse,8,2,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.0004785484343301505,0.0004383461782708764,0.025882715359330177,0.0001,0.0,0,589824
A1_world,reverse,9,3,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.003711534198373556,0.0021621459163725376,0.027720408514142036,0.0001,0.0,0,589824
A1_world,reverse,10,3,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.0013588981237262487,0.0024170116521418095,0.030712956562638283,0.0001,0.0,0,589824
A1_world,reverse,11,3,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.0019283774308860302,0.0026014777831733227,0.03191293030977249,0.0001,0.0,0,589824
A1_world,reverse,12,3,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.0004782106261700392,0.0005787003319710493,0.02853669598698616,0.0001,0.0,0,589824
A1_world,reverse,13,4,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.0036351464223116636,0.0029426258988678455,0.029606837779283524,0.0001,0.0,0,589824
A1_world,reverse,14,4,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.0012687768321484327,0.0030790187884122133,0.032245270907878876,0.0001,0.0,0,589824
A1_world,reverse,15,4,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.0018330196617171168,0.0031832477543503046,0.03286588191986084,0.0001,0.0,0,589824
A1_world,reverse,16,4,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.00048542791046202183,0.0007477686740458012,0.028901206329464912,0.0001,0.0,0,589824
A1_world,reverse,17,5,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.0035351149272173643,0.0037523219361901283,0.02994675189256668,0.0001,0.0,0,589824
A1_world,reverse,18,5,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.0011710410472005606,0.0035819057375192642,0.03216175734996796,0.0001,0.0,0,589824
A1_world,reverse,19,5,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.0017293290002271533,0.003747091395780444,0.032303329557180405,0.0001,0.0,0,589824
A1_world,reverse,20,5,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.0005063108401373029,0.0010251582134515047,0.027721816673874855,0.0001,0.0,0,589824
A2_joint_product,forward,1,1,HEM_PA99.nii.gz,1,foreground,gamma:0.3,4.522374365478754e-05,0.0001289581850869581,0.02795192413032055,0.0001,0.0,0,589824
A2_joint_product,forward,2,1,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,7.250975613715127e-05,0.00010610435128910467,0.025793403387069702,0.0001,0.0,0,589824
A2_joint_product,forward,3,1,HEM_PA97.nii.gz,1,foreground,gamma:0.3,8.057511149672791e-05,0.0001788780646165833,0.02927531860768795,0.0001,0.0,0,589824
A2_joint_product,forward,4,1,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.00025996536714956164,0.0003740073007065803,0.03193838894367218,0.0001,0.0,0,589824
A2_joint_product,forward,5,2,HEM_PA99.nii.gz,1,foreground,gamma:0.3,3.873909008689225e-05,0.0001484832464484498,0.03274412453174591,0.0001,0.0,0,589824
A2_joint_product,forward,6,2,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,6.793400825699791e-05,0.000133615467348136,0.031658466905355453,0.0001,0.0,0,589824
A2_joint_product,forward,7,2,HEM_PA97.nii.gz,1,foreground,gamma:0.3,6.992234557401389e-05,0.00023167775361798704,0.033481694757938385,0.0001,0.0,0,589824
