variant,order,step,scope,case_count,mean_dice,std_dice,mean_foreground_iou,std_foreground_iou,mean_precision,mean_recall,delta_mean_dice_vs_A_init,delta_mean_foreground_iou_vs_A_init
A0_confidence_rank,forward,4,full_volume,4,0.5323078819708966,0.07017552528996643,0.36577972122496494,0.06481773552765396,0.7842646763656007,0.4040953982992831,-0.00045705924383765417,-0.00042328077568998257
A0_confidence_rank,forward,8,full_volume,4,0.5299953716720122,0.0696041767842321,0.3635812401523085,0.06429649353236698,0.7861700474526905,0.40071331048830616,-0.0027695695427221168,-0.0026217618483463934
A0_confidence_rank,forward,12,full_volume,4,0.5253974701711859,0.06893485158453423,0.35927609456676046,0.06377976495983255,0.7885444021946107,0.3945949582080793,-0.007367471043548401,-0.006926907433894458
A0_confidence_rank,forward,16,full_volume,4,0.5234360268270474,0.06959045570443725,0.35753718232717363,0.0645960419743873,0.7973885601315692,0.3901922490936124,-0.009328914387686904,-0.00866581967348129
A0_confidence_rank,forward,20,full_volume,4,0.5173957337940208,0.07014321264143526,0.35205796484694,0.06517181563651313,0.8032686443198017,0.38213183101522497,-0.01536920742071346,-0.014145037153714901
A0_confidence_rank,reverse,20,full_volume,4,0.5204912865438284,0.0698109626022122,0.3548592664307625,0.0648976197543978,0.8027027981252007,0.3857328891358109,-0.012273654670905909,-0.011343735569892432
A1_world,forward,4,full_volume,4,0.5314878551055429,0.07024476088411886,0.365019746393761,0.06481007460628302,0.7843147240330967,0.40314399968164216,-0.0012770861091914165,-0.0011832556068939182
A1_world,forward,8,full_volume,4,0.5283706562646568,0.06989851906796794,0.3620912923682251,0.06435078300370689,0.7860719566204302,0.3989862361953098,-0.004394284950077432,-0.004111709632429794
A1_world,forward,12,full_volume,4,0.5244116482303895,0.06984042425464261,0.35842304840835476,0.06411435827123053,0.7882023790611655,0.39386336948369577,-0.008353292984344729,-0.0077799535923001595
A1_world,forward,16,full_volume,4,0.5197113157092438,0.06986565989009902,0.35410369674738496,0.06396527150119105,0.7908154977586059,0.38785514776331764,-0.013053625505490496,-0.012099305253269965
A1_world,forward,20,full_volume,4,0.5144357712829131,0.06958607141490458,0.349262591186831,0.06352962035735961,0.7941602027969632,0.38112974763655333,-0.01832916993182121,-0.016940410813823914
A1_world,reverse,20,full_volume,4,0.5190874918303762,0.07149793830588332,0.3536851750868851,0.06565445007670768,0.7929809420399732,0.3867855538580959,-0.013677449384358109,-0.012517826913769847
A2_joint_product,forward,4,full_volume,4,0.5306396904411315,0.07041943487220388,0.3642438416033086,0.06490079735323433,0.7848149871097817,0.4020358071971648,-0.002125250773602816,-0.001959160397346338
A2_joint_product,forward,8,full_volume,4,0.5251872271124618,0.07069834225984281,0.35920802103751803,0.06481091616242969,0.7877704011651637,0.3949234312511293,-0.007577714102272481,-0.0069949809631368876
A2_joint_product,forward,12,full_volume,4,0.516404483289523,0.07139282811989427,0.35119575167421774,0.06489306862454976,0.7921075813012081,0.38389198711330863,-0.016360457925211236,-0.015007250326437183
A2_joint_product,forward,16,full_volume,4,0.5067086241692227,0.07288019257920234,0.34252253089968165,0.065623549720387,0.7967371702428481,0.3722086014000023,-0.02605631704551159,-0.023680471100973266
A2_joint_product,forward,20,full_volume,4,0.502899596083324,0.07575842392231476,0.3393543623900496,0.0680316855368875,0.7993320147969893,0.36773712850042833,-0.02986534513141026,-0.026848639610605296
A2_joint_product,reverse,20,full_volume,4,0.5026444040471701,0.07477397704024141,0.33903019506242393,0.0670015340350292,0.7998432589803088,0.36735985589852826,-0.030120537167564132,-0.027172806938230987
A_init_no_adaptation,forward,0,full_volume,4,0.5327649412147343,0.07013930927765905,0.3662030020006549,0.06480545934598952,0.7836840735505748,0.4048034036089597,,
