variant,order,step,case,patch_index,patch_kind,tp,fp,tn,fn,dice,precision,recall
A0_confidence_rank,forward,20,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,20,HEM_PA29.nii.gz,1,foreground,329052,5497,6536960,206379,0.7564587691671073,0.9835689241336845,0.6145553768832959
A0_confidence_rank,forward,20,HEP_PA28.nii.gz,0,context,0,159623,6918265,0,0.0,0.0,0.0
A0_confidence_rank,forward,20,HEP_PA28.nii.gz,1,foreground,156804,5896,6665728,249460,0.551191288025253,0.9637615242778119,0.38596577594864423
A0_confidence_rank,forward,20,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,20,HEM_PA107.nii.gz,1,foreground,201009,9840,6826731,40308,0.8890938283727657,0.953331531095713,0.8329665958055172
A0_confidence_rank,reverse,20,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,reverse,20,CYST_PA62.nii.gz,1,foreground,215138,25083,6689558,148109,0.7130054949061093,0.8955836500555738,0.5922636663207129
A0_confidence_rank,reverse,20,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,reverse,20,HEM_PA29.nii.gz,1,foreground,330946,5830,6536627,204485,0.7588703140424234,0.9826887901750718,0.6180927140938796
A0_confidence_rank,reverse,20,HEP_PA28.nii.gz,0,context,0,159852,6918036,0,0.0,0.0,0.0
A0_confidence_rank,reverse,20,HEP_PA28.nii.gz,1,foreground,183391,8238,6663386,222873,0.6134575919102582,0.9570106820992648,0.4514084437705531
A0_confidence_rank,reverse,20,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,reverse,20,HEM_PA107.nii.gz,1,foreground,201293,9956,6826615,40024,0.8895630692539873,0.9528707828202737,0.8341434710360232
A1_world,forward,4,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,4,CYST_PA62.nii.gz,1,foreground,214136,27699,6686942,149111,0.7077916712115052,0.8854632290611367,0.5895052127065055
A1_world,forward,4,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,4,HEM_PA29.nii.gz,1,foreground,342510,6221,6536236,192921,0.7747675199793703,0.9821610352965466,0.6396902682138315
A1_world,forward,4,HEP_PA28.nii.gz,0,context,0,161307,6916581,0,0.0,0.0,0.0
A1_world,forward,4,HEP_PA28.nii.gz,1,foreground,206604,13397,6658227,199660,0.6597973701228713,0.9391048222508079,0.5085461670243979
A1_world,forward,4,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,4,HEM_PA107.nii.gz,1,foreground,202391,10210,6826361,38926,0.8917513735961121,0.9519757668120093,0.8386935027370637
A1_world,forward,8,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,8,CYST_PA62.nii.gz,1,foreground,212978,27109,6687532,150269,0.7060036397749837,0.8870867643812451,0.58631729924817
A1_world,forward,8,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,8,HEM_PA29.nii.gz,1,foreground,338969,6147,6536310,196462,0.7699055246341194,0.9821885974570869,0.6330769044003802
A1_world,forward,8,HEP_PA28.nii.gz,0,context,0,160826,6917062,0,0.0,0.0,0.0
A1_world,forward,8,HEP_PA28.nii.gz,1,foreground,204539,12768,6658856,201725,0.6560247349539988,0.9412444145839757,0.5034632652659354
A1_world,forward,8,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,8,HEM_PA107.nii.gz,1,foreground,201611,10111,6826460,39706,0.8900381644847353,0.9522439803138077,0.8354612397800404
