variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,iou,delta_dice_vs_A,delta_iou_vs_A,delta_precision_vs_A,delta_recall_vs_A,delta_dice_vs_B,delta_iou_vs_B,delta_precision_vs_B,delta_recall_vs_B
A_init_no_adaptation,full_window_case_balanced,0,CYST_PA62.nii.gz,full_volume,382695,186539,11904531,830631,0.42937685127008346,0.6722982112804224,0.31540987335637743,0.2733799330649741,0.2733799330649741,0.0,0.0,0.0,0.0,-0.14019606210305396,-0.12480388119449026,0.0646362216561307,-0.22056726716480152
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA29.nii.gz,full_volume,545731,135941,14365566,866324,0.5213010101125887,0.8005771103991363,0.3864799883857215,0.3525403166416451,0.3525403166416451,0.0,0.0,0.0,0.0,-0.13594625850950015,-0.13693719717255687,0.09800641631173268,-0.23093718020898624
A_init_no_adaptation,full_window_case_balanced,0,HEP_PA28.nii.gz,full_volume,397741,139838,6828947,510629,0.5501452679174715,0.7398745114671518,0.4378623248235851,0.3794485445636744,0.3794485445636744,0.0,0.0,0.0,0.0,-0.08216368469614799,-0.08287001328748972,0.13954084103300424,-0.23001970562656182
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA107.nii.gz,full_volume,386717,31794,11746807,433898,0.6241770409143219,0.9240306706394814,0.47125265806742506,0.4536754069935911,0.4536754069935911,0.0,0.0,0.0,0.0,-0.11499504303433805,-0.13258388702933832,0.16125774289386907,-0.2457352107870317
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA81.nii.gz,full_volume,983408,162878,13579931,559031,0.731505081404755,0.8579080613389678,0.6375668665016898,0.5766716686692269,0.5766716686692269,0.0,0.0,0.0,0.0,-0.03695635512256823,-0.04731320628298363,0.1564980065840803,-0.21212054415117876
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA89.nii.gz,full_volume,480675,135927,6948819,177552,0.7541011382703092,0.7795547208734321,0.7302571909083037,0.6052667366782765,0.6052667366782765,0.0,0.0,0.0,0.0,0.014904902617248972,0.018977056590001484,0.11724204452900322,-0.10601661736756474
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA101.nii.gz,full_volume,756550,118064,13318328,263248,0.7987174912321079,0.8650101644839895,0.7418626041627852,0.6648873061935454,0.6648873061935454,0.0,0.0,0.0,0.0,-0.002247214133112574,-0.0031203070512261233,0.12691175753543815,-0.13367451201120228
A_init_no_adaptation,full_window_case_balanced,0,HCC_10020116_20180118.nii.gz,full_volume,221528,69567,2977338,36115,0.8074090002879334,0.7610161631082636,0.8598254173410494,0.6770208734451881,0.6770208734451881,0.0,0.0,0.0,0.0,0.03222084287400595,0.04411700163317811,0.11062194013280124,-0.09941663464561423
B_source_hard,full_window_case_balanced,150,CYST_PA62.nii.gz,full_volume,650315,419877,11671193,563011,0.5695729133731374,0.6076619896242917,0.535977140521179,0.39818381425946436,0.39818381425946436,0.14019606210305396,0.12480388119449026,-0.0646362216561307,0.22056726716480152,0.0,0.0,0.0,0.0
B_source_hard,full_window_case_balanced,150,HEM_PA29.nii.gz,full_volume,871827,369083,14132424,540228,0.6572472686220888,0.7025706940874036,0.6174171685947077,0.48947751381420196,0.48947751381420196,0.13594625850950015,0.13693719717255687,-0.09800641631173268,0.23093718020898624,0.0,0.0,0.0,0.0
