variant,case_count,mean_dice,std_dice,mean_iou,std_iou,mean_precision,std_precision,mean_recall,std_recall,mean_delta_dice_vs_A,std_delta_dice_vs_A,mean_delta_iou_vs_A,std_delta_iou_vs_A,mean_delta_precision_vs_A,std_delta_precision_vs_A,mean_delta_recall_vs_A,std_delta_recall_vs_A,mean_delta_dice_vs_B,std_delta_dice_vs_B,mean_delta_iou_vs_B,std_delta_iou_vs_B,mean_delta_precision_vs_B,std_delta_precision_vs_B,mean_delta_recall_vs_B,std_delta_recall_vs_B
A_init_no_adaptation,8,0.6520916101761964,0.13238929747043005,0.4978613482812652,0.14371277241249905,0.8000337016988557,0.07485332864541443,0.5725646154433671,0.1835203285406428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058172359013433254,0.06487490482131442,-0.05806680422436317,0.0674114374799532,0.12183937133450745,0.02975163104726154,-0.18481095899536765,0.057034228364366266
B_source_hard,8,0.7102639691896296,0.07597960453365589,0.5559281525056283,0.08875690444830846,0.6781943303643482,0.05470075508391545,0.7573755744387348,0.13587885882112594,0.058172359013433254,0.06487490482131442,0.05806680422436317,0.0674114374799532,-0.12183937133450745,0.02975163104726154,0.18481095899536765,0.057034228364366266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_wp_hard_fusion,8,0.7206757291764236,0.07209479741421448,0.5680702467872989,0.08426842920598254,0.6636507128987867,0.051145192537116684,0.79594584558335,0.12110762747079822,0.06858411900022734,0.08547243534610076,0.0702088985060338,0.09390682095369797,-0.1363829888000688,0.033671446587634164,0.22338123013998287,0.0924764337772103,0.010411759986794097,0.02566133951486796,0.01214209428167063,0.03198993675050548,-0.014543617465561348,0.00956405881281024,0.03857027114461521,0.046088650426318815
D_real_action_hard_fusion,8,0.7193320730937587,0.06937524717806716,0.5660880249466441,0.08138954457507931,0.646818510147301,0.046476812629007686,0.816844812583344,0.1176168879827002,0.06724046291756237,0.09210909448032994,0.06822667666537886,0.10295441080674056,-0.1532151915515547,0.037078841728528496,0.2442801971399768,0.11046157066696595,0.009068103904129127,0.032293454298110015,0.010159872441015703,0.041090790850414206,-0.03137582021704724,0.01182813883951416,0.05946923814460915,0.06265456827038357
