case,action_type,action,prediction_mse,prediction_mae,mask_consistency,effective_voxel_weight,patch_voxel_observations,metric_scope,gt_used
HEM_PA97.nii.gz,imagined_wp,bias_field:+0.15,8.245015273648418e-05,0.00027711696962935667,0.9997189890685318,97346302.0,353894400,inverse-overlap-normalized patch predictions,False
HEM_PA97.nii.gz,real_mri,gamma:-0.30,0.0024360836889471323,0.0031316800494868334,0.996868545658776,97346302.0,353894400,inverse-overlap-normalized patch predictions,False
HEM_PA97.nii.gz,real_mri,gamma:+0.30,0.0005558659443425412,0.0011146518644338957,0.9989185285127729,97346302.0,353894400,inverse-overlap-normalized patch predictions,False
HEM_PA97.nii.gz,real_mri,gaussian_noise:+0.02,0.0003097987313077928,0.0008395205769943191,0.9991944313919598,97346302.0,353894400,inverse-overlap-normalized patch predictions,False
HEM_PA97.nii.gz,real_mri,gaussian_noise:+0.05,0.0014388432917106335,0.0023883266015251063,0.9976583509561565,97346302.0,353894400,inverse-overlap-normalized patch predictions,False
HEM_PA97.nii.gz,real_mri,bias_field:+0.05,0.0002543177450764633,0.000708793665092721,0.9993176705366784,97346302.0,353894400,inverse-overlap-normalized patch predictions,False
HEM_PA97.nii.gz,real_mri,bias_field:+0.15,0.004434511292451936,0.005370674300129023,0.9946857290480331,97346302.0,353894400,inverse-overlap-normalized patch predictions,False
CYST_PA69.nii.gz,imagined_wp,gamma:-0.30,2.9593692023867157e-06,8.93138383069796e-05,0.9999117275265518,125779584.125,424673280,inverse-overlap-normalized patch predictions,False
CYST_PA69.nii.gz,imagined_wp,gamma:+0.30,2.1781668947050263e-06,7.547492824335779e-05,0.9999266017608166,125779584.125,424673280,inverse-overlap-normalized patch predictions,False
CYST_PA69.nii.gz,imagined_wp,gaussian_noise:+0.02,4.127423969584251e-06,0.00010274084960788899,0.9999011216717998,125779584.125,424673280,inverse-overlap-normalized patch predictions,False
CYST_PA69.nii.gz,imagined_wp,gaussian_noise:+0.05,7.889933742777976e-06,0.0001463305761415784,0.9998612513300834,125779584.125,424673280,inverse-overlap-normalized patch predictions,False
CYST_PA69.nii.gz,imagined_wp,bias_field:+0.05,4.5207857549365505e-06,0.00011040465452270883,0.9998965064553953,125779584.125,424673280,inverse-overlap-normalized patch predictions,False
CYST_PA69.nii.gz,imagined_wp,bias_field:+0.15,7.359819468238966e-05,0.0003423293118442391,0.9996766377048951,125779584.125,424673280,inverse-overlap-normalized patch predictions,False
CYST_PA69.nii.gz,real_mri,gamma:-0.30,0.0010349969824054934,0.001896241243201169,0.9981404692850029,125779584.125,424673280,inverse-overlap-normalized patch predictions,False
CYST_PA69.nii.gz,real_mri,gamma:+0.30,0.0005764926320240464,0.0012875915614794255,0.998745357793176,125779584.125,424673280,inverse-overlap-normalized patch predictions,False
CYST_PA69.nii.gz,real_mri,gaussian_noise:+0.02,0.00025780768339411856,0.000748035774369869,0.9992837400789109,125779584.125,424673280,inverse-overlap-normalized patch predictions,False
CYST_PA69.nii.gz,real_mri,gaussian_noise:+0.05,0.0013599838599280612,0.002476954806072292,0.9976839494499322,125779584.125,424673280,inverse-overlap-normalized patch predictions,False
CYST_PA69.nii.gz,real_mri,bias_field:+0.05,0.00023443319322916242,0.0006683365121068036,0.9993402218207564,125779584.125,424673280,inverse-overlap-normalized patch predictions,False
CYST_PA69.nii.gz,real_mri,bias_field:+0.15,0.0020433410803839635,0.0030886076889382486,0.9969626022564971,125779584.125,424673280,inverse-overlap-normalized patch predictions,False
HCC_10076307_20130925.nii.gz,imagined_wp,gamma:-0.30,5.629980438946237e-06,9.867079036386195e-05,0.9998972325457142,33358080.375,106168320,inverse-overlap-normalized patch predictions,False
HCC_10076307_20130925.nii.gz,imagined_wp,gamma:+0.30,3.061353223321407e-06,7.294257517251249e-05,0.9999274388701991,33358080.375,106168320,inverse-overlap-normalized patch predictions,False
HCC_10076307_20130925.nii.gz,imagined_wp,gaussian_noise:+0.02,6.7944831822340235e-06,0.00010964843085725556,0.9998870551015633,33358080.375,106168320,inverse-overlap-normalized patch predictions,False
HCC_10076307_20130925.nii.gz,imagined_wp,gaussian_noise:+0.05,1.2102730355297806e-05,0.00015187384243811622,0.9998489084220872,33358080.375,106168320,inverse-overlap-normalized patch predictions,False
HCC_10076307_20130925.nii.gz,imagined_wp,bias_field:+0.05,8.918613171349045e-06,0.00012776070277986106,0.9998846643764644,33358080.375,106168320,inverse-overlap-normalized patch predictions,False
HCC_10076307_20130925.nii.gz,imagined_wp,bias_field:+0.15,7.111419569955428e-05,0.0003288959132283195,0.9997060644710435,33358080.375,106168320,inverse-overlap-normalized patch predictions,False
HCC_10076307_20130925.nii.gz,real_mri,gamma:-0.30,0.00025388192438666586,0.0007030151140184856,0.9993250735729724,33358080.375,106168320,inverse-overlap-normalized patch predictions,False
HCC_10076307_20130925.nii.gz,real_mri,gamma:+0.30,0.00032232694972101326,0.0007821762269399986,0.9992166215889454,33358080.375,106168320,inverse-overlap-normalized patch predictions,False
HCC_10076307_20130925.nii.gz,real_mri,gaussian_noise:+0.02,0.0002448707193804316,0.0007121426816628498,0.9992933271418799,33358080.375,106168320,inverse-overlap-normalized patch predictions,False
HCC_10076307_20130925.nii.gz,real_mri,gaussian_noise:+0.05,0.000933387382195833,0.0017500094907842878,0.9983410353839943,33358080.375,106168320,inverse-overlap-normalized patch predictions,False
HCC_10076307_20130925.nii.gz,real_mri,bias_field:+0.05,0.0003559047701332216,0.0008230578672175423,0.9991707443986876,33358080.375,106168320,inverse-overlap-normalized patch predictions,False
HCC_10076307_20130925.nii.gz,real_mri,bias_field:+0.15,0.0017925136464331205,0.0027343468162959084,0.9973775394442193,33358080.375,106168320,inverse-overlap-normalized patch predictions,False
CYST_PA20.nii.gz,imagined_wp,gamma:-0.30,3.2270672781132272e-06,8.071536537070483e-05,0.9999225548417138,24634367.625,84934656,inverse-overlap-normalized patch predictions,False
CYST_PA20.nii.gz,imagined_wp,gamma:+0.30,2.4654666867415134e-06,6.890104402283407e-05,0.99993375109015,24634367.625,84934656,inverse-overlap-normalized patch predictions,False
CYST_PA20.nii.gz,imagined_wp,gaussian_noise:+0.02,5.95009115940025e-06,0.00010601669684537858,0.9998955346636385,24634367.625,84934656,inverse-overlap-normalized patch predictions,False
CYST_PA20.nii.gz,imagined_wp,gaussian_noise:+0.05,1.235382117475661e-05,0.0001549973031888591,0.9998503691040049,24634367.625,84934656,inverse-overlap-normalized patch predictions,False
CYST_PA20.nii.gz,imagined_wp,bias_field:+0.05,6.546501593767078e-06,0.0001138784872749939,0.9998873195146611,24634367.625,84934656,inverse-overlap-normalized patch predictions,False
CYST_PA20.nii.gz,imagined_wp,bias_field:+0.15,2.5892615355787805e-05,0.0002179115055258424,0.9997895546750412,24634367.625,84934656,inverse-overlap-normalized patch predictions,False
CYST_PA20.nii.gz,real_mri,gamma:-0.30,0.0002486563142840006,0.0006647391122430102,0.9993522413384865,24634367.625,84934656,inverse-overlap-normalized patch predictions,False
CYST_PA20.nii.gz,real_mri,gamma:+0.30,0.0001453672767942556,0.0004920326262142583,0.9995071113582117,24634367.625,84934656,inverse-overlap-normalized patch predictions,False
CYST_PA20.nii.gz,real_mri,gaussian_noise:+0.02,3.526520705337038e-05,0.00026493111709844546,0.9997473093243245,24634367.625,84934656,inverse-overlap-normalized patch predictions,False
CYST_PA20.nii.gz,real_mri,gaussian_noise:+0.05,0.0003039650371855708,0.0008441789470043094,0.9991680017806018,24634367.625,84934656,inverse-overlap-normalized patch predictions,False
CYST_PA20.nii.gz,real_mri,bias_field:+0.05,2.2452980713543647e-05,0.00018447708405160585,0.9998242673582737,24634367.625,84934656,inverse-overlap-normalized patch predictions,False
CYST_PA20.nii.gz,real_mri,bias_field:+0.15,0.00019055247608044208,0.0006190153663883732,0.9993772495915653,24634367.625,84934656,inverse-overlap-normalized patch predictions,False
