case,action,raw_support_voxels_before,raw_support_voxels_after,raw_support_identical,raw_outside_support_values_identical,preprocessed_shape_before,preprocessed_shape_after,preprocessed_shape_identical,padded_shape_identical,sliding_window_count_before,sliding_window_count_after,sliding_window_topology_identical,raw_action_generation
MET_PA19.nii.gz,bias_field:+0.05,5275008,5275008,True,True,"[1, 24, 456, 482]","[1, 24, 456, 482]",True,True,20,20,True,V0 stable case/action/seed
MET_PA19.nii.gz,bias_field:+0.15,5275008,5275008,True,True,"[1, 24, 456, 482]","[1, 24, 456, 482]",True,True,20,20,True,V0 stable case/action/seed
HEM_PA24.nii.gz,gamma:-0.30,4531822,4531822,True,True,"[1, 25, 451, 402]","[1, 25, 451, 402]",True,True,16,16,True,V0 stable case/action/seed
HEM_PA24.nii.gz,gamma:+0.30,4531822,4531822,True,True,"[1, 25, 451, 402]","[1, 25, 451, 402]",True,True,16,16,True,V0 stable case/action/seed
HEM_PA24.nii.gz,gaussian_noise:+0.02,4531822,4531822,True,True,"[1, 25, 451, 402]","[1, 25, 451, 402]",True,True,16,16,True,V0 stable case/action/seed
HEM_PA24.nii.gz,gaussian_noise:+0.05,4531822,4531822,True,True,"[1, 25, 451, 402]","[1, 25, 451, 402]",True,True,16,16,True,V0 stable case/action/seed
HEM_PA24.nii.gz,bias_field:+0.05,4531822,4531822,True,True,"[1, 25, 451, 402]","[1, 25, 451, 402]",True,True,16,16,True,V0 stable case/action/seed
HEM_PA24.nii.gz,bias_field:+0.15,4531822,4531822,True,True,"[1, 25, 451, 402]","[1, 25, 451, 402]",True,True,16,16,True,V0 stable case/action/seed
CYST_PA74.nii.gz,gamma:-0.30,5306500,5306500,True,True,"[1, 24, 455, 486]","[1, 24, 455, 486]",True,True,20,20,True,V0 stable case/action/seed
CYST_PA74.nii.gz,gamma:+0.30,5306500,5306500,True,True,"[1, 24, 455, 486]","[1, 24, 455, 486]",True,True,20,20,True,V0 stable case/action/seed
