variant,order,step,scope,case_count,mean_dice,std_dice,mean_foreground_iou,std_foreground_iou,mean_precision,mean_recall
A0_confidence_rank,forward,4,full_volume,8,0.8286502555245349,0.05676936894103371,0.7113824448895658,0.08154736990112063,0.8387526238549676,0.8256271780119
A0_confidence_rank,forward,8,full_volume,8,0.8306786986904302,0.05426723158173221,0.7140284542885991,0.0783450129750845,0.8345161212259298,0.8333035930124775
A0_confidence_rank,forward,12,full_volume,8,0.8322556840172952,0.05223344082043916,0.716085961831324,0.07564163587061108,0.8258213568158568,0.8442946012025978
A0_confidence_rank,forward,16,full_volume,8,0.8335657486339803,0.050733920753334494,0.7178370227696844,0.07382015497132458,0.8134515965877903,0.8593938137500523
A0_confidence_rank,forward,20,full_volume,8,0.8322080343789982,0.05102052519851765,0.7158647778318639,0.07398809802138659,0.7941211043275542,0.8778462627160954
A0_confidence_rank,reverse,20,full_volume,8,0.8316376285094725,0.051093238284773065,0.7150321646198955,0.0740010560169333,0.7910119498196171,0.8802401902682867
A1_world_pairwise,forward,4,full_volume,8,0.8287802909434514,0.056620516616425365,0.7115532786098184,0.08136467149508325,0.8384675967864077,0.8261283103472739
A1_world_pairwise,forward,8,full_volume,8,0.8310085171534803,0.05391049097176809,0.7144679320598986,0.07790581322746218,0.833706569900694,0.834690138192696
A1_world_pairwise,forward,12,full_volume,8,0.8326950381462981,0.051618942578549584,0.7166581031151222,0.07487239270634091,0.8243093105546551,0.8466491477729108
A1_world_pairwise,forward,16,full_volume,8,0.8342360264012523,0.04952903902979757,0.7186808797751194,0.07222779634905455,0.8117031428737107,0.862665421232479
A1_world_pairwise,forward,20,full_volume,8,0.8322814342512144,0.05011173133704521,0.7158661569412534,0.07284360454522228,0.791372727737937,0.8813366124879789
A1_world_pairwise,reverse,20,full_volume,8,0.8318521816960469,0.050098653900184316,0.715230129518234,0.0727366705208927,0.7883527244969097,0.883971861514457
A2_joint_pairwise,forward,4,full_volume,8,0.8287274555569406,0.05672187437557639,0.7114893112271858,0.08149297816735214,0.8387262566713292,0.8257925833114479
A2_joint_pairwise,forward,8,full_volume,8,0.8309545808034327,0.05404907554269169,0.7144063107770378,0.07808445183351113,0.8341231937602376,0.8341884593662887
A2_joint_pairwise,forward,12,full_volume,8,0.8326621311138169,0.051992329178262686,0.71665537783724,0.07536111678911755,0.8244684586786319,0.8463707630117936
A2_joint_pairwise,forward,16,full_volume,8,0.8342746231386856,0.05039461563778647,0.7188453010068274,0.07347623364834219,0.8114336009720398,0.8629904116275956
A2_joint_pairwise,forward,20,full_volume,8,0.8326440920091692,0.05034726153853703,0.7164264781389875,0.07313900660182183,0.7911527425371366,0.8823310474235012
A2_joint_pairwise,reverse,20,full_volume,8,0.8319544628431002,0.050385308075445834,0.7154132794648069,0.07309003762983408,0.7876336744759693,0.8850354025239935
A3_world_actual,forward,4,full_volume,8,0.8287556208261359,0.056641191843126354,0.7115198250363701,0.08138874642948882,0.8384783273118688,0.8260652449927324
A3_world_actual,forward,8,full_volume,8,0.8309452416788926,0.053951139066470574,0.7143799732736159,0.07795205836824508,0.8337425630322572,0.8345226492702421
A3_world_actual,forward,12,full_volume,8,0.8325839996992452,0.05175443941104915,0.7165109948118591,0.07504153156648595,0.8243447435826468,0.8463721170694802
A3_world_actual,forward,16,full_volume,8,0.8340851559552864,0.049757316695273154,0.7184855265378827,0.07253062478811761,0.8117916461366668,0.8622392798292318
A3_world_actual,forward,20,full_volume,8,0.8322122020435154,0.05030783028918935,0.7157874513426268,0.07309497420812831,0.791466661156617,0.8810346081417844
A3_world_actual,reverse,20,full_volume,8,0.8317801239174623,0.05025422768917304,0.7151425635421407,0.07293588807943215,0.7886523353019583,0.8834385182129912
A4_joint_actual,forward,4,full_volume,8,0.8286987371427978,0.056757232707951376,0.7114519370417797,0.08153702184684822,0.8387736596618321,0.8256916259790841
A4_joint_actual,forward,8,full_volume,8,0.8309177901556347,0.0540997610703974,0.7143586731063976,0.07814789601821605,0.834162987336412,0.8340735501946734
A4_joint_actual,forward,12,full_volume,8,0.8325682052046414,0.052117594686640886,0.7165324125572219,0.07551965859953069,0.8243724339325151,0.8462622620813549
A4_joint_actual,forward,16,full_volume,8,0.8340218482951891,0.05075545151918808,0.7185159346631118,0.07394870699468264,0.8108780091952087,0.8630221956251016
A4_joint_actual,forward,20,full_volume,8,0.832485305668292,0.05048050008037931,0.716208441835673,0.07330277788006659,0.7907666411704518,0.8824378868593136
A4_joint_actual,reverse,20,full_volume,8,0.831775863731554,0.05047441676262839,0.7151607911363154,0.07318738446331477,0.7872842676775451,0.8850608298744075
A_init_no_adaptation,forward,0,full_volume,8,0.8272198656961188,0.058469442442853646,0.7095198187190126,0.0836887791521328,0.8411074783148462,0.8209024697121823
A_uniform_balanced,forward,4,full_volume,8,0.828703215307319,0.0566782862347683,0.7114478337506358,0.08143034193446881,0.8385370065304494,0.825923388909531
A_uniform_balanced,forward,8,full_volume,8,0.8308517289590207,0.053986597661169373,0.7142465058697032,0.07798021233912181,0.8338707462677641,0.8342479177763511
A_uniform_balanced,forward,12,full_volume,8,0.8325512980707888,0.05151960903972586,0.7164326199481024,0.07469669192115148,0.8247919365417264,0.8459554188335323
A_uniform_balanced,forward,16,full_volume,8,0.833518781426848,0.04923654220519598,0.7175817516218359,0.07165378120619134,0.8118447438039531,0.861054657902173
A_uniform_balanced,forward,20,full_volume,8,0.8315442159056838,0.05020014147377749,0.7147878516347694,0.07281578533921713,0.791565691917259,0.8795598795470666
A_uniform_balanced,reverse,20,full_volume,8,0.8312857177665424,0.050167661086690574,0.7144010462778889,0.07269060287798886,0.7893018564720798,0.8816152629122211
