variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou
A_uniform_balanced,forward,16,HEM_PA81.nii.gz,full_volume,1128147,275828,13466981,414292,0.765776296202774,0.8035378122829823,0.7314046130835644,0.620451781834021
A_uniform_balanced,forward,16,HEM_PA89.nii.gz,full_volume,505141,163347,6921399,153086,0.7614913527019744,0.755647072198753,0.7674267387998366,0.6148454065002057
A_uniform_balanced,forward,16,HEM_PA101.nii.gz,full_volume,808060,161397,13274995,211738,0.8124247519800126,0.8335181446933696,0.7923726071241559,0.6841038101244926
A_uniform_balanced,forward,16,HCC_10020116_20180118.nii.gz,full_volume,234337,86044,2960861,23306,0.8108210039721534,0.7314322634613164,0.909541497343223,0.6818325976833572
A_uniform_balanced,forward,16,MET_PA13.nii.gz,full_volume,207808,35869,5065759,20292,0.8809585884856617,0.8528010440049738,0.9110390179745725,0.787243956676731
A_uniform_balanced,forward,16,HCC_10074592_20130816.nii.gz,full_volume,258623,71125,3861740,8512,0.8665785421933612,0.7843049844123391,0.9681359612181107,0.7645686749837404
A_uniform_balanced,forward,16,CYST_PA19.nii.gz,full_volume,244349,34940,5678001,27854,0.8861379675498466,0.8748966124695208,0.8976719580607121,0.7955545136955751
A_uniform_balanced,forward,16,HEM_PA13.nii.gz,full_volume,396090,65220,5744750,38770,0.8839617483290001,0.8586200169083696,0.9108448696132089,0.7920532714765638
A_uniform_balanced,forward,20,HEM_PA81.nii.gz,full_volume,1189471,352680,13390129,352968,0.7712344266174759,0.7713064414574189,0.7711624252239473,0.6276497676399213
A_uniform_balanced,forward,20,HEM_PA89.nii.gz,full_volume,517103,202281,6882465,141124,0.7507242610577296,0.7188135960766433,0.7855998006766662,0.6009275916086777
A_uniform_balanced,forward,20,HEM_PA101.nii.gz,full_volume,830160,193635,13242757,189638,0.8124514029946276,0.8108654564634522,0.8140435654904207,0.6841416048516894
A_uniform_balanced,forward,20,HCC_10020116_20180118.nii.gz,full_volume,238715,94973,2951932,18928,0.8073819907970324,0.7153838316031742,0.9265340024762947,0.6769828935726115
A_uniform_balanced,forward,20,MET_PA13.nii.gz,full_volume,213974,40333,5061295,14126,0.8871098470793334,0.8414003546894109,0.9380710214818062,0.7971225594468638
A_uniform_balanced,forward,20,HCC_10074592_20130816.nii.gz,full_volume,259911,78999,3853866,7224,0.8577283865059525,0.7669027175356289,0.9729574934022124,0.7508970514309488
A_uniform_balanced,forward,20,CYST_PA19.nii.gz,full_volume,246313,38721,5674220,25890,0.8840511308473773,0.86415304840826,0.9048871614199696,0.7921968069367434
A_uniform_balanced,forward,20,HEM_PA13.nii.gz,full_volume,401473,74375,5735595,33387,0.8816722813459419,0.8437000891040837,0.9232235662052155,0.7883845375906998
A_uniform_balanced,reverse,20,HEM_PA81.nii.gz,full_volume,1204850,362710,13380099,337589,0.7748234002647589,0.7686149174513256,0.7811329978041271,0.6324177269074492
A_uniform_balanced,reverse,20,HEM_PA89.nii.gz,full_volume,517483,208449,6876297,140744,0.7477219018913289,0.7128532700032509,0.7861771091128137,0.5970893390378873
A_uniform_balanced,reverse,20,HEM_PA101.nii.gz,full_volume,831297,198065,13238327,188501,0.8113539206308926,0.8075846980945479,0.8151584921719791,0.6825866292021352
A_uniform_balanced,reverse,20,HCC_10020116_20180118.nii.gz,full_volume,239219,95562,2951343,18424,0.8075938854604134,0.7145536933099549,0.9284901976766301,0.6772808991945187
A_uniform_balanced,reverse,20,MET_PA13.nii.gz,full_volume,214354,40785,5060843,13746,0.8871552171906655,0.8401459596533655,0.9397369574747918,0.797195827212377
A_uniform_balanced,reverse,20,HCC_10074592_20130816.nii.gz,full_volume,259934,79673,3853192,7201,0.8568188785348633,0.7653964729820056,0.9730435921912142,0.749504048349519
A_uniform_balanced,reverse,20,CYST_PA19.nii.gz,full_volume,246402,38945,5673996,25801,0.8838740920096853,0.8635170511692781,0.905214123282991,0.7919125303713989
A_uniform_balanced,reverse,20,HEM_PA13.nii.gz,full_volume,401797,75539,5734431,33063,0.880944446149731,0.84174878911291,0.9239686335832222,0.7872213699478251
