case,action_family,action_strength,pairwise_disagreement_mean,actual_disagreement_mean,pairwise_world_mean,actual_world_mean,mean_abs_world_map_delta,mean_abs_joint_map_delta,actual_disagreement_voxels
HEM_PA99.nii.gz,gamma,0.3,0.0038750842213630676,0.001068573328666389,0.4999999403953552,0.4999999403953552,0.06182059273123741,0.029138602316379547,7077888
HCC_10140276_20170721.nii.gz,blur,1.5,0.002651774324476719,0.0034951744601130486,0.4999999403953552,0.4999999403953552,0.0050477515906095505,0.001978478627279401,7077888
HEM_PA97.nii.gz,gamma,0.3,0.002154463669285178,0.0007641496486030519,0.4999999403953552,0.4999999403953552,0.047232452780008316,0.023218264803290367,7077888
CYST_PA69.nii.gz,blur,1.5,0.00498754670843482,0.006566379219293594,0.4999999403953552,0.4999999403953552,0.004534889943897724,0.0017781124915927649,7077888
