variant,order,step,round,case,patch_index,reliability_source,pseudo_positive_voxels,pseudo_negative_voxels,positive_fraction,positive_weight_sum,positive_weight_mean,L_pos,negative_weight_sum,negative_weight_mean,L_neg,total_loss
A_uniform_balanced,reverse,6,2,HEM_PA97.nii.gz,1,uniform_balanced,279645,6798243,0.039509668946266174,279645.0,1.0,0.038940683007240295,6798243.0,1.0,0.02261882834136486,0.030779756605625153
A_uniform_balanced,reverse,7,2,HCC_10140276_20170721.nii.gz,1,uniform_balanced,182869,6895019,0.025836661458015442,182869.0,1.0,1.241931676864624,6895019.0,1.0,0.006001172121614218,0.62396639585495
A_uniform_balanced,reverse,8,2,HEM_PA99.nii.gz,1,uniform_balanced,396048,6681840,0.0559556744992733,396048.0,1.0,0.04727652668952942,6681840.0,1.0,0.0035467389971017838,0.025411631911993027
A_uniform_balanced,reverse,9,3,CYST_PA69.nii.gz,1,uniform_balanced,435789,6642099,0.061570484191179276,435789.0,1.0,0.3619864583015442,6642099.0,0.9999999403953552,0.024579526856541634,0.19328299164772034
A_uniform_balanced,reverse,10,3,HEM_PA97.nii.gz,1,uniform_balanced,279645,6798243,0.039509668946266174,279645.0,1.0,0.0336759127676487,6798243.0,1.0,0.025860708206892014,0.029768310487270355
A_uniform_balanced,reverse,11,3,HCC_10140276_20170721.nii.gz,1,uniform_balanced,182869,6895019,0.025836661458015442,182869.0,1.0,1.106770634651184,6895019.0,1.0,0.0069616446271538734,0.5568661689758301
A_uniform_balanced,reverse,12,3,HEM_PA99.nii.gz,1,uniform_balanced,396048,6681840,0.0559556744992733,396048.0,1.0,0.04037696495652199,6681840.0,1.0,0.004289861302822828,0.022333413362503052
A_uniform_balanced,reverse,13,4,CYST_PA69.nii.gz,1,uniform_balanced,435789,6642099,0.061570484191179276,435789.0,1.0,0.29367631673812866,6642099.0,0.9999999403953552,0.026896629482507706,0.16028647124767303
A_uniform_balanced,reverse,14,4,HEM_PA97.nii.gz,1,uniform_balanced,279645,6798243,0.039509668946266174,279645.0,1.0,0.027613388374447823,6798243.0,1.0,0.03089151158928871,0.02925245091319084
A_uniform_balanced,reverse,15,4,HCC_10140276_20170721.nii.gz,1,uniform_balanced,182869,6895019,0.025836661458015442,182869.0,1.0,0.9340688586235046,6895019.0,1.0,0.008520268835127354,0.4712945520877838
A_uniform_balanced,reverse,16,4,HEM_PA99.nii.gz,1,uniform_balanced,396048,6681840,0.0559556744992733,396048.0,1.0,0.03277214616537094,6681840.0,1.0,0.00552750239148736,0.01914982497692108
A_uniform_balanced,reverse,17,5,CYST_PA69.nii.gz,1,uniform_balanced,435789,6642099,0.061570484191179276,435789.0,1.0,0.2175266444683075,6642099.0,0.9999999403953552,0.030382823199033737,0.12395473569631577
A_uniform_balanced,reverse,18,5,HEM_PA97.nii.gz,1,uniform_balanced,279645,6798243,0.039509668946266174,279645.0,1.0,0.021749140694737434,6798243.0,1.0,0.0380476675927639,0.029898405075073242
