split,case,patch_index,patch_kind,action_family,strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HCC_10140276_20170721.nii.gz,3,foreground,gamma,-0.3,0.03526129573583603,0.01498061791062355,0.00237503694370389
train,HCC_10140276_20170721.nii.gz,3,foreground,gamma,-0.15,0.008702780120074749,0.0038630415219813585,0.000643596809823066
train,HCC_10140276_20170721.nii.gz,3,foreground,gamma,0.15,0.008364088833332062,0.0035689668729901314,0.0007695714593864977
train,HCC_10140276_20170721.nii.gz,3,foreground,gamma,0.3,0.03259645029902458,0.012388840317726135,0.0025651855394244194
train,HCC_10140276_20170721.nii.gz,3,foreground,blur,0.5,0.005592662375420332,0.0024455301463603973,0.0004676104581449181
train,HCC_10140276_20170721.nii.gz,3,foreground,blur,1.5,0.11604544520378113,0.12376990169286728,0.05569898709654808
train,HEM_PA97.nii.gz,0,context,gamma,0.0,0.0,0.0,0.0
train,HEM_PA97.nii.gz,0,context,blur,0.0,0.0,0.0,0.0
train,HEM_PA97.nii.gz,0,context,gamma,-0.3,0.02880491316318512,0.3398493528366089,0.0787736177444458
train,HEM_PA97.nii.gz,0,context,gamma,-0.15,0.006350948940962553,0.15529416501522064,0.0836910679936409
train,HEM_PA97.nii.gz,0,context,gamma,0.15,0.004958998877555132,0.013061806559562683,0.007282204460352659
train,HEM_PA97.nii.gz,0,context,gamma,0.3,0.017559364438056946,0.20932647585868835,0.1188277080655098
train,HEM_PA97.nii.gz,0,context,blur,0.5,0.0016550362342968583,0.02506091818213463,0.01436311099678278
train,HEM_PA97.nii.gz,0,context,blur,1.5,0.035320550203323364,0.3778208792209625,0.1003187820315361
train,HEM_PA97.nii.gz,1,context,gamma,0.0,0.0,0.0,0.0
train,HEM_PA97.nii.gz,1,context,blur,0.0,0.0,0.0,0.0
train,HEM_PA97.nii.gz,1,context,gamma,-0.3,0.03895781189203262,0.04748408868908882,0.009438525885343552
train,HEM_PA97.nii.gz,1,context,gamma,-0.15,0.009173371829092503,0.010277966968715191,0.0020512444898486137
train,HEM_PA97.nii.gz,1,context,gamma,0.15,0.007986098527908325,0.0073529756627976894,0.0016293803928419948
train,HEM_PA97.nii.gz,1,context,gamma,0.3,0.029458392411470413,0.02523430809378624,0.00763323251157999
train,HEM_PA97.nii.gz,1,context,blur,0.5,0.007081219926476479,0.004335370380431414,0.0009835397358983755
train,HEM_PA97.nii.gz,1,context,blur,1.5,0.12307517975568771,0.1346844881772995,0.03513409569859505
train,HEM_PA97.nii.gz,2,foreground,gamma,0.0,0.0,0.0,0.0
train,HEM_PA97.nii.gz,2,foreground,blur,0.0,0.0,0.0,0.0
train,HEM_PA97.nii.gz,2,foreground,gamma,-0.3,0.03944537416100502,0.37572163343429565,0.2125268429517746
