split,case,patch_index,patch_kind,action_family,strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HCC_10140276_20170721.nii.gz,3,foreground,gamma,-0.3,0.03526129573583603,0.014978079125285149,0.0023743081837892532
train,HCC_10140276_20170721.nii.gz,3,foreground,gamma,-0.15,0.008702780120074749,0.0038633462972939014,0.0006460794829763472
train,HCC_10140276_20170721.nii.gz,3,foreground,gamma,0.15,0.008364088833332062,0.0035689212381839752,0.0007685826858505607
train,HCC_10140276_20170721.nii.gz,3,foreground,gamma,0.3,0.03259645029902458,0.012384932488203049,0.0025593137834221125
train,HCC_10140276_20170721.nii.gz,3,foreground,blur,0.5,0.005592662375420332,0.002445656806230545,0.0004663064028136432
train,HCC_10140276_20170721.nii.gz,3,foreground,blur,1.5,0.11604544520378113,0.12380188703536987,0.055750783532857895
train,HEM_PA97.nii.gz,0,context,gamma,0.0,0.0,0.0,0.0
train,HEM_PA97.nii.gz,0,context,blur,0.0,0.0,0.0,0.0
train,HEM_PA97.nii.gz,0,context,gamma,-0.3,0.02880491316318512,0.34033623337745667,0.07905919849872589
train,HEM_PA97.nii.gz,0,context,gamma,-0.15,0.006350948940962553,0.15445972979068756,0.08332684636116028
train,HEM_PA97.nii.gz,0,context,gamma,0.15,0.004958998877555132,0.013125387020409107,0.007338327821344137
train,HEM_PA97.nii.gz,0,context,gamma,0.3,0.017559364438056946,0.20921993255615234,0.11886473000049591
train,HEM_PA97.nii.gz,0,context,blur,0.5,0.0016550362342968583,0.025198230519890785,0.014459122903645039
train,HEM_PA97.nii.gz,0,context,blur,1.5,0.035320550203323364,0.37832045555114746,0.10058945417404175
train,HEM_PA97.nii.gz,1,context,gamma,0.0,0.0,0.0,0.0
train,HEM_PA97.nii.gz,1,context,blur,0.0,0.0,0.0,0.0
train,HEM_PA97.nii.gz,1,context,gamma,-0.3,0.03895781189203262,0.047481317073106766,0.009440106339752674
train,HEM_PA97.nii.gz,1,context,gamma,-0.15,0.009173371829092503,0.010276077315211296,0.002046399749815464
train,HEM_PA97.nii.gz,1,context,gamma,0.15,0.007986098527908325,0.007346723228693008,0.00162838539108634
train,HEM_PA97.nii.gz,1,context,gamma,0.3,0.029458392411470413,0.025233861058950424,0.007648795377463102
